keyword,doc_freq,total_freq,tfidf
string,9,5401,0.0
get,8,6179,0.0
set,7,1967,0.01
length,7,1400,0.05
util,7,1479,0.01
java,7,1430,0.0
node,6,2766,0.15
list,6,3495,0.02
map,6,1603,0.02
add,6,1397,0.01
character,6,429,0.11
name,6,1688,0.02
override,5,941,0.01
regex,5,685,0.18
exception,5,816,0.0
array,5,1750,0.03
com,5,1569,0.03
start,5,1062,0.06
state,4,799,0.04
tree,4,697,0.09
next,4,937,0.09
result,4,894,0.02
max,4,737,0.05
str,4,494,0.09
root,4,718,0.11
index,4,1230,0.04
end,4,737,0.09
stack,3,1118,0.14
group,3,826,0.08
left,3,533,0.08
right,3,592,0.09
token,3,367,0.04
hash,3,489,0.03
min,3,418,0.05
builder,3,656,0.02
pattern,3,247,0.03
matcher,3,640,0.12
size,3,1066,0.02
num,3,302,0.04
count,3,713,0.04
bitmap,2,655,0.11
transition,2,128,0.03
states,2,30,0.01
dfa,2,54,0.03
manager,2,801,0.05
pop,2,255,0.12
push,2,219,0.07
empty,2,454,0.06
child,2,328,0.05
match,2,269,0.04
expression,2,734,0.13
github,2,482,0.06
tokens,2,165,0.04
capture,2,283,0.07
non,2,1515,0.18
last,2,327,0.05
first,2,273,0.05
input,2,601,0.02
integer,2,881,0.06
nullable,2,543,0.09
number,2,206,0.02
system,2,549,0.03
out,2,357,0.02
arrays,2,413,0.07
queue,2,422,0.08
put,2,1125,0.05
row,2,296,0.03
info,2,861,0.04
append,2,429,0.03
type,2,1006,0.01
buffer,2,143,0.01
args,2,526,0.04
object,2,909,0.03
utils,2,2652,0.09
listener,2,782,0.04
key,2,1367,0.04
value,2,1301,0.01
cache,2,993,0.14
,2,1523,
nfa,1,210,0.13
yatt,1,86,0.06
dfargx,1,86,0.06
top,1,346,0.07
pack,1,60,0.02
operating,1,44,0.02
shunting,1,43,0.03
table,1,75,0.01
bracket,1,36,0.02
syntax,1,46,0.02
visit,1,114,0.03
branch,1,51,0.02
accept,1,96,0.03
closure,1,58,0.03
flags,1,138,0.03
other,1,53,0.01
automata,1,22,0.01
nbr,1,49,0.03
matched,1,90,0.05
nodes,1,85,0.01
random,1,75,0.01
automaton,1,26,0.01
current,1,276,0.02
iterator,1,114,0.02
initial,1,84,0.03
step,1,45,0.01
transaction,1,42,0.01
steps,1,33,0.01
strings,1,72,0.02
generex,1,14,0.01
passed,1,12,0.01
classes,1,27,0.01
mifmif,1,10,0.01
common,1,258,0.03
order,1,149,0.03
reg,1,10,0.0
exp,1,37,0.01
build,1,415,0.04
found,1,142,0.03
prepare,1,8,0.0
sgreben,1,378,0.26
output,1,348,0.02
repeat,1,178,0.06
separated,1,142,0.1
possessive,1,138,0.09
separator,1,137,0.05
compile,1,116,0.04
fluent,1,91,0.05
reluctant,1,80,0.05
raw,1,147,0.03
children,1,172,0.04
times,1,94,0.03
replacement,1,90,0.05
bound,1,58,0.02
charclass,1,50,0.03
optional,1,83,0.01
complement,1,58,0.04
least,1,56,0.04
whitespace,1,48,0.02
negative,1,48,0.02
positive,1,47,0.02
lookahead,1,35,0.02
lookbehind,1,55,0.04
visitor,1,80,0.02
nullary,1,32,0.02
pos,1,184,0.03
regular,1,59,0.03
all,1,250,0.03
follow,1,45,0.02
symbol,1,35,0.01
operator,1,33,0.01
generate,1,37,0.01
parent,1,206,0.03
leaf,1,27,0.01
firstpos,1,10,0.01
marked,1,9,0.0
regextodfa,1,7,0.0
leafs,1,13,0.01
move,1,72,0.02
equals,1,1417,0.1
test,1,1227,0.09
org,1,784,0.01
junit,1,698,0.14
examples,1,496,0.16
eprogrammerz,1,496,0.26
sum,1,441,0.12
arr,1,374,0.1
nums,1,283,0.11
algorithm,1,314,0.07
find,1,563,0.06
idx,1,282,0.06
word,1,275,0.05
val,1,285,0.04
matrix,1,287,0.04
groups,1,108,0.03
seq,1,199,0.07
property,1,186,0.01
tail,1,144,0.05
head,1,423,0.13
lower,1,158,0.04
sequence,1,316,0.06
upper,1,135,0.06
def,1,105,0.03
unicode,1,78,0.04
cursor,1,85,0.02
has,1,184,0.03
from,1,415,0.04
ascii,1,79,0.04
begin,1,97,0.03
mode,1,188,0.02
digit,1,116,0.05
satisfied,1,50,0.02
saved,1,98,0.02
category,1,116,0.02
study,1,44,0.03
func,1,153,0.05
model,1,160,0.01
trytocatch,1,102,0.07
regexreplacer,1,96,0.07
text,1,675,0.02
update,1,248,0.03
panel,1,122,0.02
real,1,181,0.06
controller,1,77,0.01
document,1,75,0.01
version,1,476,0.05
event,1,235,0.01
replace,1,223,0.06
area,1,76,0.02
pane,1,62,0.01
reset,1,100,0.03
ckb,1,54,0.04
action,1,162,0.01
work,1,62,0.03
check,1,89,0.01
ref,1,100,0.02
observer,1,60,0.01
alias,1,65,0.02
flag,1,193,0.05
generator,1,57,0.01
replacer,1,72,0.05
with,1,208,0.02
register,1,57,0.01
not,1,225,0.02
impl,1,124,0.02
argument,1,103,0.02
reading,1,23,0.01
values,1,50,0.0
arg,1,53,0.01
caching,1,19,0.01
substitute,1,13,0.01
missing,1,18,0.01
ignore,1,54,0.01
error,1,113,0.01
marcelsauer,1,10,0.01
validate,1,24,0.01
tokenreplacer,1,10,0.01
sep,1,92,0.06
arguments,1,21,0.01
constants,1,82,0.01
std,1,6,0.0
ensure,1,12,0.01
delimiter,1,12,0.0
started,1,16,0.01
replacements,1,6,0.0
replaced,1,5,0.0
enabled,1,110,0.02
view,1,2498,0.13
file,1,2131,0.03
activity,1,1689,0.14
app,1,966,0.08
item,1,878,0.06
android,1,892,0.06
path,1,901,0.03
intent,1,694,0.07
content,1,685,0.05
fragment,1,658,0.08
color,1,614,0.05
blankj,1,548,0.27
layout,1,595,0.04
anim,1,519,0.18
drawable,1,514,0.09
files,1,179,0.02
time,1,658,0.04
code,1,488,0.03
items,1,306,0.04
