keyword,doc_freq,total_freq,tfidf
get,5,11704,0.0
string,5,7118,0.0
set,5,4987,0.0
request,4,2192,0.03
exception,4,2837,0.0
list,4,3363,0.0
type,4,3294,0.01
util,4,1831,0.0
name,4,2058,0.0
com,3,1912,0.01
annotation,3,585,0.01
message,3,1284,0.01
add,3,1557,0.0
code,3,1330,0.02
route,3,3307,0.23
java,3,1685,0.0
org,3,2729,0.01
value,3,3844,0.01
builder,3,1265,0.01
non,2,209,0.01
router,2,175,0.01
android,2,130,0.0
github,2,103,0.0
support,2,110,0.0
view,2,149,0.0
intent,2,98,0.0
bundle,2,177,0.01
transaction,2,72,0.0
override,2,1071,0.0
nullable,2,41,0.0
container,2,291,0.01
provider,2,229,0.01
result,2,1282,0.01
big,2,1362,0.07
decimal,2,1341,0.09
data,2,2155,0.01
api,2,1199,0.02
routes,2,249,0.02
method,2,432,0.01
logger,2,1570,0.02
node,2,3643,0.04
json,2,3709,0.06
speed,2,2239,0.16
object,2,2172,0.01
params,2,740,0.02
utils,2,594,0.0
command,1,231,0.01
,1,251,
fragment,1,88,0.0
commands,1,48,0.0
lib,1,73,0.0
activity,1,84,0.0
satellite,1,60,0.01
start,1,574,0.01
app,1,196,0.0
toast,1,25,0.0
satellites,1,17,0.0
apply,1,53,0.0
animation,1,19,0.0
tag,1,730,0.01
click,1,18,0.0
fragments,1,11,0.0
listener,1,44,0.0
with,1,267,0.01
and,1,258,0.01
duration,1,335,0.02
navigation,1,16,0.0
back,1,41,0.0
content,1,266,0.0
replace,1,142,0.01
finish,1,51,0.0
activities,1,13,0.0
address,1,1895,0.06
service,1,2039,0.03
contargo,1,1228,0.19
iris,1,1226,0.19
net,1,1278,0.03
dto,1,1035,0.06
terminal,1,931,0.08
distance,1,1644,0.08
seaport,1,721,0.11
connection,1,690,0.02
part,1,585,0.03
transport,1,499,0.04
revision,1,480,0.04
location,1,970,0.03
springframework,1,565,0.02
response,1,1312,0.02
run,1,449,0.01
main,1,411,0.01
geo,1,477,0.03
truck,1,363,0.06
unique,1,346,0.03
country,1,466,0.04
city,1,289,0.03
addresses,1,223,0.03
edge,1,3682,0.18
graph,1,2239,0.09
ors,1,2035,0.32
routing,1,2182,0.23
map,1,2563,0.01
storage,1,1845,0.07
heigit,1,1554,0.25
graphhopper,1,1514,0.19
edges,1,655,0.04
way,1,1516,0.19
profile,1,1345,0.07
entry,1,1256,0.02
has,1,1281,0.05
key,1,1457,0.01
values,1,558,0.01
weighting,1,1025,0.13
nodes,1,646,0.03
weight,1,1047,0.06
max,1,1246,0.02
coordinate,1,843,0.06
encoder,1,941,0.06
info,1,1103,0.01
array,1,1246,0.01
core,1,945,0.01
index,1,954,0.01
isochrone,1,681,0.11
cell,1,730,0.03
param,1,737,0.02
filter,1,817,0.02
parameter,1,588,0.02
ode,1,3278,0.52
jpo,1,1425,0.23
dot,1,1434,0.12
its,1,1422,0.18
status,1,1245,0.03
plugin,1,843,0.03
time,1,1278,0.02
lane,1,670,0.07
offset,1,609,0.02
msg,1,610,0.03
generic,1,524,0.03
kafka,1,574,0.04
payload,1,465,0.02
file,1,900,0.0
topic,1,434,0.02
obj,1,592,0.02
metadata,1,452,0.02
integer,1,1190,0.02
properties,1,629,0.02
point,1,950,0.03
serial,1,411,0.02
parser,1,413,0.01
rsu,1,361,0.06
version,1,446,0.01
other,1,516,0.02
controller,1,322,0.01
element,1,228,0.0
kevelbreh,1,25,0.0
journey,1,38,0.01
conductor,1,18,0.0
lang,1,152,0.0
append,1,415,0.01
creator,1,104,0.01
bluelinelabs,1,13,0.0
interceptor,1,16,0.0
matcher,1,92,0.0
javax,1,229,0.0
elements,1,128,0.01
pattern,1,287,0.01
args,1,45,0.0
processing,1,47,0.0
uri,1,102,0.0
spec,1,32,0.0
rendering,1,9,0.0
routerroute,1,9,0.0
path,1,903,0.01
model,1,782,0.01
