keyword,doc_freq,total_freq,tfidf
string,16,44918,0.0
name,16,19975,0.02
get,15,54017,0.0
java,15,8727,0.0
set,14,18908,0.01
list,14,15425,0.01
util,14,6951,0.01
exception,14,15355,0.01
map,11,14439,0.02
com,10,4790,0.01
org,9,15745,0.03
time,8,8341,0.05
key,7,10472,0.04
override,7,8192,0.01
value,7,11153,0.01
type,7,6542,0.01
object,7,15144,0.05
data,7,5497,0.01
scheduler,6,7469,0.23
request,6,5425,0.03
client,5,7921,0.07
add,5,7139,0.01
job,5,10645,0.21
logger,5,5541,0.03
api,5,2494,0.02
service,5,8051,0.06
listener,5,3233,0.02
model,5,2875,0.01
result,4,10968,0.03
schedule,4,2733,0.12
next,4,1941,0.02
date,4,2969,0.03
builder,4,1987,0.01
task,4,7659,0.1
log,4,3306,0.02
springframework,4,2081,0.03
message,4,4118,0.02
array,4,4329,0.01
system,4,5598,0.04
factory,4,2292,0.02
action,4,1717,0.01
info,4,7492,0.04
file,4,8913,0.01
manager,4,4313,0.03
table,3,2423,0.02
bean,3,1675,0.03
thread,3,1888,0.02
cron,3,461,0.03
count,3,3227,0.02
status,3,3005,0.03
provider,3,797,0.01
jobs,3,1213,0.05
config,3,4165,0.03
put,3,7984,0.04
trigger,3,1423,0.05
args,3,2586,0.02
path,3,3469,0.01
annotation,3,1507,0.01
calendar,3,637,0.02
commands,3,2366,0.05
connection,3,3671,0.04
stream,3,4628,0.02
http,3,2215,0.02
context,3,1936,0.01
day,2,1653,0.06
days,2,329,0.01
month,2,634,0.03
last,2,1888,0.03
role,2,633,0.01
allocation,2,202,0.01
execution,2,889,0.02
millis,2,1138,0.03
zone,2,434,0.01
expression,2,255,0.01
executor,2,4737,0.11
delay,2,504,0.02
unit,2,3310,0.06
base,2,608,0.01
all,2,2426,0.03
property,2,2120,0.02
plugin,2,286,0.0
configuration,2,1236,0.01
required,2,348,0.01
title,2,527,0.01
github,2,74,0.0
driver,2,535,0.02
options,2,1473,0.02
port,2,2285,0.04
resources,2,313,0.01
quartz,2,877,0.05
triggers,2,322,0.02
repository,2,672,0.01
simple,2,1221,0.02
group,2,1430,0.02
controller,2,527,0.01
state,2,3620,0.02
mapping,2,1097,0.02
persistence,2,557,0.01
command,2,9442,0.1
redis,2,5143,0.19
entry,2,5637,0.05
names,2,889,0.01
out,2,3536,0.02
println,2,2523,0.03
username,2,560,0.01
session,2,2631,0.03
servlet,2,1607,0.03
input,2,2523,0.01
android,2,183,0.0
remote,2,1424,0.04
settings,2,544,0.01
progress,2,389,0.01
url,2,2936,0.02
execute,2,1026,0.02
bundle,2,224,0.0
json,2,7178,0.05
server,2,6275,0.07
param,2,2384,0.03
equals,2,3706,0.03
output,2,3009,0.02
event,2,4677,0.03
channel,2,1968,0.03
start,2,2658,0.02
end,2,1682,0.02
template,2,235,0.0
files,2,794,0.01
filter,2,668,0.01
response,2,2301,0.02
web,2,719,0.01
utils,2,1965,0.01
user,2,3165,0.03
application,2,784,0.01
properties,2,2234,0.03
source,2,2013,0.02
active,2,1446,0.04
common,2,2509,0.03
resource,2,2038,0.02
employee,1,1081,0.06
shift,1,1041,0.04
solution,1,870,0.04
preferences,1,817,0.02
period,1,905,0.03
shifts,1,416,0.03
employees,1,326,0.02
afternoon,1,530,0.03
morning,1,508,0.03
button,1,865,0.01
workday,1,389,0.03
mindforger,1,379,0.02
shiftsolver,1,379,0.02
panel,1,472,0.01
ctx,1,492,0.01
html,1,359,0.01
solver,1,331,0.02
editor,1,398,0.01
sportak,1,259,0.02
weekend,1,250,0.02
solutions,1,116,0.01
night,1,214,0.01
yes,1,285,0.02
ria,1,188,0.01
backtrack,1,179,0.01
click,1,218,0.0
shared,1,279,0.01
widget,1,258,0.0
year,1,343,0.02
assignee,1,171,0.01
style,1,383,0.01
sort,1,1256,0.04
executions,1,107,0.0
running,1,700,0.03
current,1,2049,0.02
pool,1,750,0.01
wisp,1,31,0.0
coreoz,1,29,0.0
threads,1,123,0.0
duration,1,674,0.02
delegate,1,174,0.0
runnable,1,450,0.02
run,1,1191,0.02
initial,1,279,0.01
instant,1,176,0.01
launcher,1,295,0.01
ended,1,20,0.0
concurrent,1,1083,0.03
started,1,205,0.01
size,1,3625,0.01
milli,1,32,0.0
docker,1,234,0.01
nomad,1,173,0.01
rendering,1,88,0.0
option,1,1110,0.01
rundeck,1,77,0.01
description,1,818,0.01
build,1,370,0.0
valfadeev,1,43,0.0
mode,1,1500,0.02
network,1,214,0.0
empty,1,805,0.01
plugins,1,70,0.0
step,1,105,0.0
hashicorp,1,22,0.0
dtolabs,1,21,0.0
parse,1,1492,0.02
address,1,1226,0.02
composer,1,20,0.0
admin,1,829,0.03
dto,1,158,0.0
lombok,1,225,0.0
constructor,1,176,0.0
domain,1,276,0.01
access,1,2004,0.05
column,1,894,0.01
fired,1,140,0.01
getter,1,145,0.0
level,1,516,0.01
blob,1,71,0.0
find,1,456,0.01
javax,1,1522,0.02
nullable,1,94,0.0
bind,1,551,0.01
redisson,1,8203,0.54
future,1,7280,0.16
async,1,7175,0.16
codec,1,5373,0.14
cache,1,3127,0.05
keys,1,1254,0.02
read,1,3044,0.03
params,1,2307,0.02
timeout,1,2519,0.07
completable,1,1915,0.06
lock,1,2215,0.04
raw,1,1928,0.04
reactive,1,1588,0.07
write,1,1987,0.02
values,1,1003,0.01
decoder,1,1499,0.04
inputdata,1,57,0.0
teacher,1,40,0.0
studentgroup,1,37,0.0
subject,1,233,0.01
gene,1,32,0.0
slot,1,435,0.01
hours,1,70,0.0
chromosome,1,31,0.0
fitness,1,23,0.0
teacherid,1,23,0.0
nosubject,1,22,0.0
daysperweek,1,20,0.0
hoursperday,1,20,0.0
slotno,1,18,0.0
print,1,2075,0.02
geneno,1,13,0.0
password,1,941,0.02
random,1,418,0.01
nostudentgroup,1,13,0.0
temp,1,441,0.01
nostgrp,1,12,0.0
line,1,1115,0.01
student,1,10,0.0
firstlist,1,11,0.0
email,1,87,0.0
country,1,13,0.0
view,1,2201,0.01
easyappointments,1,138,0.01
fragment,1,127,0.0
customer,1,112,0.0
services,1,109,0.0
appointment,1,59,0.0
adapter,1,513,0.01
recycler,1,54,0.0
holder,1,488,0.01
text,1,1846,0.01
support,1,416,0.01
show,1,328,0.01
customers,1,33,0.0
instance,1,3027,0.02
layout,1,626,0.0
app,1,129,0.0
fragments,1,22,0.0
inflater,1,33,0.0
error,1,1944,0.01
category,1,153,0.0
item,1,853,0.01
obj,1,8904,0.13
str,1,7256,0.14
code,1,6074,0.05
protocol,1,5023,0.12
history,1,3905,0.11
trans,1,3267,0.12
select,1,3142,0.08
svr,1,2910,0.16
tcontrol,1,2397,0.14
proxy,1,3177,0.07
cmmn,1,2009,0.11
login,1,2706,0.07
err,1,2136,0.06
hash,1,3546,0.03
index,1,3035,0.01
main,1,1033,0.01
jda,1,396,0.02
append,1,1938,0.01
guild,1,334,0.02
utilities,1,329,0.01
verify,1,313,0.01
saber,1,290,0.02
nmathe,1,269,0.02
msg,1,1985,0.04
document,1,355,0.01
head,1,282,0.01
integer,1,2415,0.02
rsvp,1,211,0.01
length,1,2325,0.01
shard,1,166,0.01
usage,1,406,0.02
prefix,1,554,0.01
collection,1,1434,0.02
chan,1,163,0.01
logging,1,385,0.01
retries,1,22,0.0
polling,1,69,0.0
score,1,690,0.02
max,1,1948,0.01
ops,1,20,0.0
clock,1,40,0.0
failure,1,180,0.0
function,1,475,0.0
format,1,1149,0.01
remove,1,2155,0.05
attempts,1,202,0.01
triggered,1,40,0.0
operations,1,177,0.01
davidmarquis,1,6,0.0
suppress,1,435,0.01
redisscheduler,1,6,0.0
warnings,1,435,0.01
optional,1,112,0.0
block,1,233,0.0
num,1,310,0.0
attempted,1,5,0.0
linuxserver,1,308,0.02
ftp,1,397,0.02
davos,1,312,0.02
host,1,1753,0.03
transfer,1,1292,0.06
debug,1,1501,0.03
directory,1,499,0.01
filters,1,183,0.0
download,1,112,0.0
delete,1,1192,0.03
workflow,1,530,0.02
schedules,1,46,0.0
local,1,1389,0.02
identity,1,169,0.01
actions,1,279,0.01
selector,1,216,0.01
neo,1,203,0.01
boot,1,294,0.01
spring,1,364,0.01
rabbit,1,95,0.01
mongo,1,110,0.0
jpa,1,84,0.0
component,1,153,0.0
amqp,1,46,0.0
autoconfigure,1,66,0.0
alarm,1,462,0.02
react,1,125,0.0
intent,1,127,0.0
notification,1,491,0.01
sound,1,73,0.0
alarms,1,16,0.0
tag,1,216,0.0
interval,1,664,0.02
facebook,1,40,0.0
icon,1,78,0.0
flipper,1,42,0.0
receiver,1,79,0.0
database,1,952,0.01
content,1,820,0.01
res,1,1198,0.02
module,1,64,0.0
color,1,1060,0.01
player,1,27,0.0
snooze,1,26,0.0
fire,1,332,0.01
listeners,1,509,0.01
detail,1,482,0.02
exceptions,1,126,0.0
instruction,1,146,0.0
misfire,1,139,0.01
load,1,742,0.01
operable,1,107,0.01
repeat,1,211,0.01
with,1,908,0.01
node,1,7811,0.05
proactive,1,5440,0.36
nodes,1,2563,0.05
tasks,1,1066,0.03
script,1,2341,0.05
