keyword,doc_freq,total_freq,tfidf
get,4,12752,0.0
string,4,8976,0.0
java,4,1774,0.0
set,4,5920,0.0
exception,4,2846,0.0
sql,4,3814,0.13
list,4,3040,0.0
name,4,6047,0.02
override,4,3130,0.01
file,3,2201,0.01
schema,3,3070,0.14
connection,3,1434,0.04
map,3,1400,0.0
table,3,5680,0.12
index,3,2717,0.02
type,3,5295,0.02
data,3,3012,0.02
value,3,1823,0.01
properties,2,1051,0.03
action,2,881,0.02
org,2,1736,0.01
dialect,2,1206,0.15
util,2,1099,0.0
com,2,2344,0.01
api,2,1470,0.03
column,2,2414,0.06
statement,2,2044,0.08
key,2,1436,0.01
result,2,1455,0.01
tables,2,562,0.04
add,2,2216,0.01
view,2,2144,0.03
create,2,1438,0.02
names,2,292,0.01
output,1,434,0.01
path,1,534,0.0
settings,1,62,0.0
generation,1,65,0.01
extension,1,90,0.0
plugin,1,56,0.0
jpa,1,38,0.0
generate,1,167,0.01
mode,1,235,0.01
property,1,453,0.01
url,1,421,0.01
sequence,1,192,0.01
hibernate,1,125,0.01
processor,1,54,0.0
provider,1,108,0.0
project,1,34,0.0
sequences,1,60,0.01
decorator,1,28,0.0
filter,1,381,0.01
format,1,316,0.01
export,1,173,0.02
skip,1,50,0.0
devskiller,1,25,0.0
delimiter,1,84,0.01
information,1,65,0.01
extractor,1,31,0.0
engine,1,85,0.0
files,1,94,0.0
database,1,285,0.01
gradle,1,16,0.0
ref,1,1523,0.07
columns,1,609,0.03
version,1,1129,0.03
quantumdb,1,623,0.1
operation,1,534,0.03
core,1,702,0.01
parameter,1,505,0.02
stream,1,764,0.01
log,1,782,0.01
query,1,742,0.02
foreign,1,503,0.06
operations,1,222,0.02
catalog,1,426,0.05
argument,1,491,0.02
state,1,476,0.01
mapping,1,496,0.03
sets,1,207,0.02
strings,1,131,0.01
update,1,667,0.02
append,1,1131,0.02
check,1,433,0.01
entry,1,949,0.02
collect,1,409,0.03
versions,1,136,0.01
change,1,2486,0.11
object,1,2607,0.02
obevo,1,1745,0.25
impl,1,1256,0.05
collections,1,997,0.08
immutable,1,1223,0.07
eclipse,1,947,0.06
source,1,1330,0.03
platform,1,873,0.06
field,1,997,0.02
pattern,1,922,0.03
env,1,795,0.05
physical,1,710,0.07
mutable,1,923,0.09
function,1,773,0.02
info,1,1145,0.01
factory,1,793,0.01
cato,1,595,0.08
lists,1,417,0.03
content,1,654,0.01
builder,1,1084,0.01
deploy,1,571,0.07
metadata,1,530,0.02
reveng,1,467,0.07
args,1,535,0.01
with,1,570,0.01
the,1,10490,0.8
model,1,3353,0.03
attribute,1,1787,0.05
erdesignerng,1,1674,0.26
cell,1,1060,0.05
editor,1,1098,0.06
types,1,698,0.02
element,1,1328,0.03
relation,1,998,0.08
button,1,944,0.02
attributes,1,630,0.03
item,1,851,0.01
component,1,809,0.03
serializer,1,753,0.05
designer,1,724,0.11
layout,1,692,0.01
graph,1,806,0.04
node,1,781,0.01
domain,1,655,0.03
xml,1,846,0.03
area,1,551,0.04
bundle,1,574,0.02
comment,1,535,0.03
menu,1,539,0.02
size,1,774,0.0
