keyword,doc_freq,total_freq,tfidf
get,2,28144,0.0
string,2,15981,0.0
file,2,9533,0.02
name,2,6845,0.01
set,2,7424,0.0
java,2,6763,0.0
add,2,5157,0.01
exception,2,4957,0.0
out,2,3410,0.02
util,1,11069,0.01
vcf,1,9819,0.52
header,1,7396,0.11
variant,1,6530,0.29
list,1,7019,0.0
com,1,6297,0.01
sam,1,6322,0.34
jvarkit,1,5931,0.37
htsjdk,1,5819,0.33
line,1,5615,0.05
stream,1,5794,0.02
utils,1,2534,0.01
github,1,5522,0.07
lindenb,1,5522,0.33
start,1,5245,0.04
write,1,5041,0.05
sequence,1,4910,0.1
names,1,2907,0.03
log,1,4351,0.02
print,1,4283,0.05
end,1,4073,0.05
override,1,4021,0.0
reader,1,3738,0.04
writer,1,3830,0.05
samtools,1,3715,0.21
tree,1,3568,0.05
interval,1,3463,0.1
element,1,3523,0.03
contig,1,3529,0.22
record,1,3376,0.05
read,1,3395,0.03
attribute,1,3339,0.04
map,1,3511,0.0
path,1,3246,0.01
context,1,3332,0.01
description,1,3319,0.05
ctx,1,3317,0.08
length,1,3301,0.01
sample,1,2824,0.05
size,1,3285,0.01
factory,1,3218,0.02
fxml,1,711,0.02
javafx,1,859,0.02
text,1,1266,0.0
bank,1,234,0.01
scene,1,768,0.01
chart,1,1335,0.03
event,1,1200,0.01
market,1,199,0.01
value,1,2491,0.0
row,1,812,0.01
property,1,749,0.01
agent,1,185,0.0
system,1,613,0.0
govt,1,142,0.01
loader,1,199,0.0
table,1,1527,0.01
charts,1,86,0.0
type,1,2088,0.0
stage,1,520,0.01
println,1,1500,0.02
config,1,354,0.0
node,1,1306,0.01
account,1,106,0.0
step,1,261,0.01
view,1,461,0.0
controller,1,118,0.0
fields,1,209,0.0
integer,1,1498,0.01
field,1,543,0.0
simeng,1,98,0.01
loan,1,96,0.0
series,1,278,0.01
data,1,2349,0.01
simple,1,886,0.02
product,1,86,0.0
deposit,1,79,0.0
sim,1,79,0.0
markets,1,46,0.0
listener,1,224,0.0
values,1,606,0.01
col,1,402,0.01
