keyword,doc_freq,total_freq,tfidf
get,1,1279,0.0
result,1,1069,0.05
instances,1,645,0.35
string,1,724,0.0
instance,1,432,0.05
classifier,1,502,0.3
set,1,597,0.0
num,1,466,0.1
options,1,372,0.06
weka,1,416,0.37
collective,1,408,0.44
test,1,414,0.06
add,1,395,0.01
value,1,383,0.01
train,1,336,0.18
utils,1,282,0.02
current,1,299,0.04
index,1,311,0.02
trainset,1,306,0.33
text,1,291,0.02
length,1,277,0.02
option,1,166,0.04
split,1,257,0.09
exception,1,251,0.0
testset,1,234,0.25
override,1,233,0.0
core,1,211,0.03
rms,1,212,0.23
append,1,214,0.02
inst,1,218,0.18
out,1,208,0.02
folds,1,206,0.22
name,1,174,0.0
tmp,1,190,0.08
attribute,1,161,0.03
eval,1,180,0.13
dist,1,174,0.09
util,1,108,0.0
str,1,160,0.05
last,1,161,0.04
system,1,160,0.02
model,1,163,0.01
evaluation,1,157,0.14
node,1,145,0.01
distribution,1,138,0.09
data,1,146,0.01
indices,1,135,0.09
tree,1,123,0.03
println,1,131,0.02
values,1,73,0.01
