keyword,doc_freq,total_freq,tfidf
get,2,10407,0.0
string,2,6082,0.0
file,2,4964,0.02
index,2,4323,0.04
exception,2,3899,0.0
read,2,3288,0.08
util,2,2465,0.01
value,2,2486,0.01
list,2,3237,0.0
java,2,2469,0.0
length,2,2367,0.02
start,2,2463,0.04
set,2,2299,0.0
line,2,1921,0.04
size,2,1764,0.01
reader,2,1685,0.04
array,2,1794,0.01
tag,2,1671,0.04
map,2,1421,0.0
sam,1,4959,0.65
stream,1,4171,0.04
record,1,3943,0.15
header,1,3515,0.13
htsjdk,1,3152,0.44
sequence,1,2525,0.13
reference,1,2502,0.12
override,1,2229,0.01
input,1,2168,0.02
name,1,2042,0.01
type,1,1989,0.01
path,1,1929,0.02
block,1,1719,0.07
output,1,1968,0.03
samtools,1,1804,0.25
iterator,1,1899,0.08
cram,1,1713,0.27
vcf,1,1531,0.2
codec,1,1430,0.1
buffer,1,1483,0.04
reads,1,729,0.1
utils,1,807,0.01
alignment,1,1376,0.12
end,1,1357,0.04
interval,1,1148,0.08
records,1,490,0.03
bases,1,983,0.15
write,1,1211,0.03
format,1,1160,0.03
bin,1,1034,0.09
feature,1,1026,0.05
node,1,1115,0.02
hmm,1,573,0.09
temp,1,625,0.03
observation,1,334,0.04
stop,1,493,0.03
out,1,813,0.01
system,1,419,0.01
vector,1,240,0.01
println,1,310,0.01
mean,1,190,0.02
data,1,1292,0.01
states,1,178,0.01
opdf,1,181,0.03
bed,1,217,0.03
add,1,1197,0.0
obs,1,187,0.03
chr,1,419,0.07
args,1,216,0.0
means,1,126,0.02
chrom,1,172,0.03
train,1,143,0.01
integer,1,907,0.02
run,1,233,0.01
cluster,1,114,0.01
print,1,231,0.01
real,1,140,0.01
wig,1,117,0.02
next,1,1210,0.03
jahmm,1,110,0.02
score,1,318,0.02
num,1,483,0.02
