keyword,doc_freq,total_freq,tfidf
exception,21,7865,0.01
java,21,5934,0.0
get,20,14380,0.0
string,20,11600,0.0
object,18,7532,0.04
type,17,13217,0.04
override,17,4644,0.01
value,16,8804,0.02
set,16,4224,0.0
array,15,4649,0.02
list,14,4954,0.0
map,14,5370,0.01
util,14,3468,0.01
name,13,6374,0.01
length,13,3445,0.02
key,11,6091,0.04
write,10,3753,0.07
size,10,3514,0.02
stream,10,5262,0.03
serializer,10,4978,0.25
json,9,4873,0.07
field,9,6387,0.08
context,9,3243,0.02
read,8,3150,0.06
com,8,1954,0.01
file,7,1947,0.01
index,6,2326,0.01
,6,3713,
data,6,2463,0.01
lang,6,1108,0.03
hash,6,2306,0.03
input,6,1727,0.01
put,6,1933,0.02
serialization,6,608,0.04
integer,6,1401,0.02
method,5,3867,0.06
add,5,2169,0.0
local,5,1894,0.05
writer,5,1708,0.04
from,5,888,0.02
adapter,5,858,0.02
org,5,1498,0.0
strategy,5,1084,0.04
result,5,3472,0.02
collection,5,1258,0.03
time,5,2858,0.03
buffer,5,2487,0.04
serialize,5,1215,0.11
reader,4,2977,0.05
append,4,855,0.01
fields,4,754,0.02
tag,4,3684,0.06
clazz,4,1346,0.07
create,4,1737,0.02
component,4,386,0.01
instance,4,2266,0.03
obj,4,1772,0.05
output,4,1572,0.02
gson,4,503,0.02
types,4,958,0.02
out,4,1660,0.02
date,4,1960,0.04
parser,3,1865,0.05
info,3,1813,0.02
target,3,812,0.01
property,3,1461,0.02
element,3,763,0.01
position,3,636,0.01
android,3,183,0.0
node,3,1720,0.02
reflect,3,620,0.04
config,3,1955,0.02
cache,3,835,0.02
not,3,3474,0.07
http,3,1964,0.03
parse,3,1609,0.04
utils,3,1236,0.01
primitive,3,281,0.02
values,3,563,0.01
all,3,773,0.02
handler,3,1274,0.02
service,3,1027,0.01
system,3,906,0.01
factory,3,899,0.01
offset,3,1554,0.04
listener,3,360,0.0
core,3,395,0.01
google,3,236,0.01
token,3,1995,0.04
pointer,3,63,0.0
builder,3,997,0.01
deserializer,3,940,0.07
attribute,2,1373,0.03
methods,2,748,0.04
tags,2,675,0.03
annotations,2,836,0.04
stack,2,236,0.01
option,2,285,0.01
code,2,788,0.01
safe,2,260,0.02
val,2,918,0.03
creator,2,320,0.02
annotation,2,1635,0.03
loader,2,709,0.03
bundle,2,49,0.0
end,2,1318,0.03
assignable,2,297,0.03
runtime,2,390,0.01
deserialization,2,40,0.0
menu,2,81,0.0
item,2,1150,0.01
content,2,350,0.0
action,2,321,0.0
serializable,2,102,0.01
commons,2,73,0.0
logger,2,1040,0.01
log,2,773,0.01
format,2,1096,0.02
xml,2,115,0.0
async,2,1231,0.05
task,2,514,0.01
max,2,1102,0.01
editor,2,95,0.0
next,2,1739,0.03
promise,2,4218,0.27
buf,2,3488,0.13
function,2,1934,0.04
nullable,2,1396,0.05
visit,2,2101,0.1
entry,2,1128,0.02
objects,2,275,0.01
illegal,2,371,0.02
client,2,1792,0.03
converter,2,616,0.03
adapters,2,109,0.01
state,2,1335,0.01
url,2,448,0.01
response,2,992,0.01
deserialize,2,232,0.02
text,2,636,0.0
registry,2,289,0.01
parent,2,521,0.02
register,2,550,0.02
src,2,394,0.02
identifier,2,129,0.01
operation,2,408,0.02
bean,2,1340,0.05
constant,1,333,0.02
classfile,1,242,0.03
pool,1,699,0.03
stuffing,1,126,0.02
actual,1,420,0.03
table,1,332,0.01
raw,1,530,0.02
adt,1,93,0.01
attributes,1,322,0.01
loading,1,61,0.0
exceptions,1,125,0.01
res,1,115,0.0
num,1,199,0.0
ignore,1,224,0.01
frame,1,99,0.0
variable,1,365,0.01
verification,1,52,0.01
parcel,1,430,0.03
header,1,773,0.02
parcelable,1,88,0.01
start,1,1099,0.01
may,1,47,0.01
parceled,1,32,0.0
binder,1,30,0.0
finish,1,94,0.01
sub,1,419,0.02
flags,1,208,0.01
expected,1,79,0.0
version,1,331,0.01
accessible,1,107,0.01
view,1,108,0.0
exploit,1,48,0.01
modzero,1,17,0.0
intent,1,87,0.0
app,1,39,0.0
payload,1,107,0.0
sender,1,245,0.01
transformer,1,228,0.02
singleton,1,213,0.02
support,1,146,0.0
exploits,1,10,0.0
successful,1,47,0.01
toolbar,1,19,0.0
declared,1,128,0.01
widget,1,14,0.0
ifaces,1,9,0.0
internal,1,333,0.01
edit,1,16,0.0
pattern,1,395,0.01
serial,1,62,0.0
configuration,1,53,0.0
matcher,1,117,0.0
profiling,1,7,0.0
reload,1,74,0.01
apache,1,21,0.0
reloading,1,7,0.0
exps,1,5,0.0
patterns,1,27,0.0
black,1,9,0.0
reg,1,15,0.0
blacklist,1,8,0.0
whitelist,1,8,0.0
white,1,32,0.0
iterator,1,650,0.02
changed,1,33,0.0
invalid,1,78,0.0
regex,1,44,0.0
killer,1,3,0.0
iterable,1,111,0.01
concurrent,1,734,0.04
init,1,226,0.01
nibblesec,1,2,0.0
test,1,354,0.01
reservoir,1,81,0.01
callback,1,721,0.02
fail,1,44,0.0
observable,1,29,0.0
disk,1,32,0.0
subscriber,1,41,0.0
success,1,67,0.0
delete,1,149,0.01
