keyword,doc_freq,total_freq,tfidf
get,11,13178,0.0
string,10,14523,0.0
java,10,3371,0.0
exception,10,4906,0.0
name,9,5823,0.01
set,9,4586,0.0
type,8,7742,0.01
map,8,7199,0.01
request,8,3653,0.02
util,8,2421,0.0
object,8,9437,0.03
list,8,2949,0.0
logger,7,1230,0.01
com,7,2542,0.0
info,6,1474,0.01
output,6,10973,0.07
override,6,14956,0.01
context,6,7596,0.03
value,6,20778,0.03
stream,5,911,0.0
key,5,11514,0.04
http,5,6869,0.07
config,5,1785,0.01
message,4,3653,0.02
method,4,1556,0.01
client,4,1306,0.01
input,4,11014,0.05
utils,4,2144,0.01
handler,4,432,0.0
event,4,1655,0.01
url,4,649,0.0
hash,4,3839,0.03
write,4,5076,0.05
array,4,2995,0.01
services,3,609,0.01
data,3,3199,0.01
builder,3,3055,0.01
time,3,1197,0.01
mapper,3,772,0.01
function,3,1563,0.02
response,3,2072,0.01
add,3,2020,0.0
optional,3,832,0.02
log,3,1705,0.01
execution,3,407,0.01
entry,3,3297,0.03
org,3,817,0.0
service,2,2025,0.02
endpoint,2,217,0.01
error,2,5511,0.03
state,2,1397,0.01
headers,2,868,0.02
settings,2,3177,0.04
annotation,2,521,0.01
payload,2,1383,0.03
content,2,702,0.01
bucket,2,1180,0.03
mappers,2,118,0.01
listener,2,280,0.0
lambda,2,249,0.01
step,2,4957,0.1
size,2,4032,0.01
result,2,753,0.0
reader,2,199,0.0
amazonaws,2,267,0.01
memory,2,160,0.0
runtime,2,485,0.01
metadata,2,258,0.0
servlet,2,660,0.01
header,2,3659,0.06
path,2,2471,0.01
filter,2,1009,0.01
names,2,188,0.0
read,2,924,0.01
put,2,1026,0.01
binding,2,4161,0.09
field,2,3150,0.02
processor,2,133,0.0
date,2,339,0.0
core,2,1027,0.01
app,2,1440,0.01
objects,2,411,0.01
handle,2,127,0.0
user,2,1666,0.01
identifier,2,1311,0.04
security,2,1547,0.03
scalecube,1,273,0.01
registry,1,413,0.01
codec,1,2175,0.06
benchmarks,1,123,0.01
transport,1,294,0.01
qualifier,1,106,0.01
discovery,1,102,0.0
address,1,2349,0.04
router,1,169,0.01
tags,1,204,0.0
timer,1,769,0.02
metrics,1,333,0.01
mono,1,89,0.0
benchmark,1,53,0.0
socket,1,1745,0.03
publisher,1,73,0.0
flux,1,73,0.0
api,1,1648,0.01
methods,1,264,0.01
mode,1,386,0.01
job,1,251,0.0
reducer,1,179,0.01
reducers,1,94,0.01
driver,1,98,0.0
batch,1,163,0.0
ooso,1,62,0.0
wrapper,1,228,0.01
invoke,1,573,0.02
simple,1,249,0.0
gson,1,73,0.0
amazon,1,224,0.01
commons,1,161,0.0
mapping,1,194,0.0
session,1,139,0.0
javax,1,323,0.0
collections,1,549,0.02
enumeration,1,25,0.0
filters,1,71,0.0
empty,1,2070,0.03
cookie,1,143,0.0
locale,1,94,0.0
registration,1,59,0.0
parameter,1,232,0.0
dispatcher,1,11,0.0
encoding,1,267,0.01
code,1,2079,0.02
swim,1,12121,0.66
uri,1,9403,0.12
lane,1,8016,0.4
parser,1,6842,0.1
tree,1,6265,0.09
form,1,6139,0.14
host,1,5886,0.12
node,1,5515,0.03
page,1,5131,0.07
old,1,4882,0.14
downlink,1,4341,0.24
item,1,4401,0.03
index,1,4557,0.02
did,1,4274,0.22
def,1,3927,0.11
part,1,3976,0.11
agent,1,3307,0.08
slot,1,2575,0.08
view,1,2983,0.02
will,1,2918,0.13
link,1,2952,0.07
ref,1,2608,0.05
uplink,1,2626,0.14
decoder,1,2794,0.08
warp,1,2677,0.13
query,1,1232,0.01
slack,1,180,0.01
athena,1,95,0.01
text,1,851,0.0
cerberus,1,57,0.0
waf,1,55,0.0
env,1,78,0.0
with,1,423,0.0
blacklist,1,37,0.0
nike,1,35,0.0
integer,1,1552,0.01
rate,1,959,0.03
limit,1,548,0.02
results,1,72,0.0
model,1,1953,0.01
alb,1,33,0.0
target,1,489,0.0
functions,1,179,0.01
worker,1,258,0.01
source,1,440,0.0
microsoft,1,224,0.01
azure,1,173,0.01
operations,1,150,0.01
rpc,1,154,0.01
operation,1,575,0.01
status,1,2105,0.02
trigger,1,118,0.0
loader,1,542,0.01
level,1,512,0.01
messages,1,102,0.0
jerverless,1,76,0.01
server,1,982,0.01
console,1,113,0.0
middleware,1,91,0.0
command,1,1949,0.02
route,1,511,0.02
instance,1,621,0.0
exchange,1,32,0.0
cors,1,151,0.01
routes,1,83,0.0
runner,1,31,0.0
out,1,457,0.0
commands,1,24,0.0
desc,1,157,0.0
system,1,2069,0.01
line,1,343,0.0
yaml,1,14,0.0
post,1,570,0.01
net,1,115,0.0
sun,1,10,0.0
httpserver,1,10,0.0
stop,1,256,0.01
scanner,1,29,0.0
opipe,1,324,0.02
pointer,1,404,0.01
,1,545,
plugin,1,290,0.0
iopipe,1,211,0.01
statistics,1,216,0.01
thread,1,399,0.0
remote,1,920,0.02
gen,1,577,0.02
exec,1,521,0.02
json,1,1238,0.01
pool,1,127,0.0
bean,1,112,0.0
print,1,161,0.0
tracked,1,77,0.0
lang,1,396,0.01
nsnaps,1,77,0.0
para,1,1942,0.12
appid,1,923,0.06
erudika,1,765,0.05
token,1,1073,0.01
auth,1,888,0.02
pager,1,555,0.02
authentication,1,531,0.01
blank,1,475,0.03
param,1,702,0.01
entity,1,399,0.0
params,1,672,0.01
obj,1,439,0.01
email,1,341,0.01
all,1,678,0.01
secret,1,1493,0.04
group,1,1309,0.01
secrets,1,715,0.04
strongbox,1,781,0.06
schibsted,1,724,0.06
sdk,1,661,0.02
attribute,1,555,0.01
file,1,1012,0.0
types,1,395,0.0
region,1,480,0.01
lock,1,326,0.01
credentials,1,458,0.02
internal,1,317,0.01
aws,1,479,0.02
version,1,2463,0.03
not,1,562,0.01
principal,1,575,0.02
policy,1,1266,0.04
arn,1,270,0.02
condition,1,274,0.01
manager,1,403,0.0
role,1,214,0.0
test,1,152,0.0
fieldju,1,10,0.0
before,1,161,0.01
junit,1,2,0.0
apache,1,253,0.0
integration,1,7,0.0
run,1,314,0.0
