keyword,doc_freq,total_freq,tfidf
get,3,4057,0.0
java,3,1992,0.0
string,3,2140,0.0
list,3,789,0.0
set,3,701,0.0
util,3,481,0.0
exception,3,2628,0.01
value,3,584,0.01
add,3,658,0.01
file,2,950,0.01
path,2,394,0.01
key,2,3520,0.09
override,2,329,0.0
error,2,469,0.02
args,2,371,0.02
name,2,876,0.01
main,2,469,0.04
files,1,123,0.01
outputter,1,59,0.03
length,1,262,0.01
output,1,205,0.01
stream,1,172,0.0
input,1,227,0.01
map,1,279,0.0
finddups,1,33,0.02
duplicate,1,26,0.01
entry,1,161,0.01
identical,1,28,0.01
handler,1,85,0.01
find,1,72,0.01
duplicates,1,14,0.01
found,1,101,0.02
buffered,1,34,0.0
checksum,1,17,0.01
finder,1,14,0.0
result,1,210,0.0
min,1,17,0.0
checksummer,1,13,0.01
checker,1,29,0.01
message,1,223,0.01
read,1,39,0.0
writer,1,64,0.01
request,1,8,0.0
appender,1,7,0.0
dupe,1,7,0.0
mills,1,7,0.0
size,1,322,0.01
oldest,1,5,0.0
first,1,18,0.0
collectors,1,35,0.01
append,1,128,0.01
maps,1,19,0.0
security,1,1583,0.23
crypto,1,1418,0.41
pair,1,1151,0.18
spec,1,1181,0.18
parameter,1,880,0.09
such,1,992,0.28
cipher,1,1008,0.28
provider,1,969,0.1
instance,1,921,0.05
cry,1,869,0.38
generator,1,781,0.14
algorithm,1,702,0.14
parameters,1,428,0.05
javax,1,625,0.05
method,1,633,0.04
init,1,612,0.1
analysis,1,569,0.16
random,1,559,0.08
secure,1,539,0.18
predicate,1,499,0.08
invalid,1,537,0.12
org,1,524,0.01
padding,1,482,0.14
bouncycastle,1,466,0.19
object,1,483,0.01
seed,1,448,0.12
constraint,1,424,0.1
soot,1,445,0.21
generate,1,409,0.09
pred,1,358,0.12
certificate,1,346,0.1
cert,1,352,0.1
rule,1,281,0.04
signature,1,348,0.1
rules,1,279,0.07
digest,1,327,0.09
view,1,519,0.02
androidstarterkit,1,276,0.16
android,1,310,0.02
com,1,387,0.01
module,1,225,0.03
tab,1,221,0.04
element,1,200,0.01
layout,1,190,0.01
activity,1,164,0.01
gradle,1,160,0.05
fragment,1,159,0.02
config,1,209,0.01
group,1,113,0.01
directory,1,197,0.03
utils,1,172,0.01
pathname,1,118,0.07
matcher,1,146,0.02
command,1,111,0.01
elements,1,82,0.01
code,1,194,0.01
resource,1,153,0.01
platform,1,81,0.02
line,1,123,0.01
configs,1,81,0.02
injection,1,89,0.03
codelines,1,80,0.05
type,1,389,0.0
manifest,1,84,0.02
codeline,1,72,0.04
platforms,1,73,0.04
adapter,1,80,0.01
remote,1,81,0.02
source,1,135,0.01
context,1,105,0.0
application,1,111,0.01
sliding,1,70,0.04
