keyword,doc_freq,total_freq,tfidf
get,3,4784,0.0
size,3,979,0.01
exception,3,971,0.0
length,3,3439,0.06
string,3,1346,0.0
buffer,3,1535,0.07
audio,2,318,0.04
file,2,338,0.0
format,2,829,0.04
params,2,1058,0.05
reader,2,82,0.0
stream,2,412,0.01
read,2,656,0.03
input,2,305,0.01
java,2,500,0.0
unsupported,2,35,0.01
scale,2,767,0.07
result,2,278,0.0
max,2,1653,0.05
sound,2,25,0.0
sampled,2,66,0.02
index,2,1464,0.02
data,2,696,0.01
map,2,689,0.0
fft,1,384,0.09
window,1,481,0.05
parameters,1,143,0.01
quifft,1,49,0.02
org,1,58,0.0
frame,1,394,0.03
num,1,80,0.01
sample,1,210,0.02
function,1,160,0.01
samples,1,104,0.02
frames,1,25,0.0
overlap,1,67,0.02
complex,1,410,0.08
bin,1,42,0.01
points,1,312,0.03
wave,1,34,0.01
math,1,572,0.04
duration,1,19,0.0
output,1,252,0.01
rate,1,76,0.01
frequency,1,34,0.01
builder,1,45,0.0
append,1,166,0.01
stereo,1,18,0.0
name,1,644,0.0
next,1,585,0.03
amplitude,1,16,0.01
bins,1,11,0.0
pad,1,18,0.0
node,1,3700,0.1
set,1,2703,0.0
apply,1,2325,0.3
tet,1,1951,0.5
target,1,1766,0.08
color,1,1667,0.07
offset,1,1615,0.1
test,1,1500,0.06
tri,1,1379,0.29
add,1,1387,0.01
min,1,1275,0.08
face,1,1206,0.18
array,1,1167,0.01
equals,1,908,0.03
edge,1,1068,0.12
arb,1,1080,0.28
vertex,1,1058,0.13
mines,1,1029,0.26
jtk,1,1029,0.26
tex,1,1026,0.19
edu,1,1029,0.14
check,1,962,0.06
copy,1,961,0.11
mesh,1,893,0.18
ext,1,897,0.14
value,1,665,0.0
list,1,852,0.0
equal,1,562,0.09
texture,1,819,0.09
values,1,613,0.02
width,1,846,0.05
nodes,1,208,0.02
matrix,1,800,0.06
random,1,777,0.07
pname,1,771,0.2
zero,1,684,0.11
view,1,704,0.02
point,1,572,0.04
state,1,514,0.01
debug,1,125,0.01
vorbis,1,116,0.03
ogg,1,90,0.03
out,1,440,0.01
trace,1,231,0.02
play,1,47,0.01
properties,1,51,0.0
converter,1,40,0.0
comment,1,43,0.01
sync,1,33,0.01
info,1,112,0.0
encoding,1,32,0.0
page,1,27,0.0
curr,1,23,0.0
aff,1,24,0.01
put,1,295,0.01
vorbisenc,1,20,0.01
packet,1,21,0.0
jcraft,1,18,0.01
dsp,1,147,0.04
com,1,18,0.0
channels,1,22,0.0
jorbis,1,14,0.0
bit,1,213,0.02
block,1,15,0.0
init,1,228,0.02
javax,1,75,0.0
val,1,47,0.0
