keyword,doc_freq,total_freq,tfidf
get,12,51720,0.0
string,12,19929,0.0
set,10,13952,0.0
java,10,5035,0.0
list,10,9549,0.0
name,9,11376,0.01
exception,9,8098,0.0
add,9,7275,0.01
file,8,4611,0.01
util,7,4139,0.0
value,7,13997,0.01
map,6,4784,0.0
data,6,5384,0.01
org,6,5329,0.01
time,5,10611,0.05
override,5,10617,0.01
model,5,10025,0.03
array,5,3679,0.01
size,5,4880,0.01
node,5,3129,0.01
logger,4,1696,0.01
log,4,1685,0.01
object,4,6926,0.02
type,4,11534,0.01
geometry,4,3228,0.09
result,4,2978,0.01
agent,3,7095,0.12
event,3,2565,0.01
key,3,2789,0.01
values,3,2904,0.02
math,3,2749,0.03
factory,3,3384,0.02
utils,3,2199,0.01
path,3,3620,0.01
com,3,2341,0.0
config,3,1885,0.01
point,3,4737,0.05
text,3,4166,0.01
instance,3,1222,0.01
controller,3,1033,0.01
sim,3,997,0.03
max,3,3568,0.02
min,3,1950,0.02
out,3,1613,0.01
message,2,2087,0.01
kernel,2,1159,0.03
action,2,2278,0.01
community,2,505,0.02
agents,2,939,0.03
level,2,780,0.01
swing,2,588,0.01
info,2,744,0.0
messages,2,618,0.01
date,2,5008,0.04
not,2,826,0.01
option,2,1633,0.02
method,2,1446,0.01
index,2,8994,0.02
curve,2,5308,0.15
length,2,4042,0.01
product,2,1721,0.04
process,2,2346,0.03
user,2,1944,0.01
body,2,1563,0.02
dir,2,648,0.01
create,2,3852,0.02
graph,2,2578,0.04
configuration,2,1176,0.01
attribute,2,2452,0.02
integer,2,2238,0.01
panel,2,825,0.01
listener,2,2062,0.01
button,2,1274,0.01
params,2,605,0.0
scene,2,658,0.01
system,2,1612,0.01
line,2,1814,0.01
vertex,2,1530,0.03
property,2,767,0.0
api,2,456,0.0
append,2,2575,0.01
madkit,1,809,0.04
role,1,752,0.01
group,1,947,0.01
address,1,472,0.01
code,1,1379,0.01
menu,1,977,0.01
roles,1,95,0.0
requester,1,171,0.01
frame,1,787,0.01
gui,1,1518,0.03
thread,1,455,0.0
cgr,1,156,0.01
javax,1,668,0.01
send,1,196,0.0
launch,1,167,0.01
simulation,1,1546,0.06
sender,1,203,0.0
variable,1,8834,0.13
random,1,8690,0.13
period,1,3665,0.1
finmath,1,3168,0.16
discount,1,3174,0.13
net,1,3404,0.03
forward,1,3327,0.1
volatility,1,2535,0.12
libor,1,2404,0.12
discretization,1,2269,0.11
rate,1,2298,0.05
maturity,1,2161,0.11
parameter,1,2296,0.02
number,1,2573,0.02
parameters,1,2839,0.03
factor,1,1751,0.06
times,1,521,0.01
from,1,2876,0.02
swap,1,1607,0.06
schedule,1,1612,0.05
carlo,1,1492,0.07
monte,1,1492,0.07
curves,1,546,0.02
start,1,2259,0.01
convention,1,1261,0.06
reference,1,2232,0.03
end,1,2135,0.02
dates,1,417,0.02
mock,1,2436,0.08
dto,1,1611,0.03
smockin,1,1335,0.08
response,1,1250,0.01
server,1,932,0.01
mail,1,856,0.03
service,1,1333,0.01
admin,1,741,0.02
request,1,944,0.0
token,1,725,0.01
restful,1,589,0.03
http,1,537,0.0
ext,1,548,0.01
proxy,1,707,0.01
record,1,580,0.01
status,1,945,0.01
bucket,1,498,0.01
content,1,1269,0.01
general,1,496,0.01
validation,1,471,0.01
entity,1,729,0.01
dao,1,338,0.0
found,1,653,0.01
stateful,1,326,0.01
persistence,1,311,0.01
gama,1,14973,0.68
scope,1,9642,0.18
msi,1,6365,0.29
gaml,1,4484,0.2
species,1,3405,0.12
doc,1,3459,0.06
color,1,3586,0.03
runtime,1,3031,0.04
shape,1,2923,0.06
swt,1,2768,0.07
types,1,1055,0.01
description,1,2270,0.02
keyword,1,2307,0.07
expression,1,2146,0.03
eclipse,1,2158,0.04
location,1,2214,0.03
example,1,1692,0.02
display,1,2228,0.04
equals,1,2856,0.02
operator,1,2694,0.05
category,1,1699,0.03
plg,1,796,0.04
noise,1,388,0.02
trace,1,1079,0.01
sequence,1,611,0.01
component,1,1421,0.01
stream,1,1469,0.0
task,1,429,0.0
objects,1,471,0.01
script,1,268,0.0
progress,1,543,0.01
image,1,1956,0.01
owner,1,421,0.01
gateway,1,173,0.01
weight,1,465,0.01
generator,1,548,0.01
activity,1,175,0.0
element,1,1744,0.01
obj,1,1104,0.01
events,1,253,0.0
style,1,664,0.01
label,1,1214,0.01
wrapper,1,2426,0.04
simulator,1,1538,0.06
motor,1,1265,0.06
snobot,1,864,0.05
accessor,1,789,0.02
port,1,796,0.01
handle,1,901,0.01
jni,1,482,0.02
speed,1,795,0.02
wrappers,1,112,0.01
module,1,376,0.0
analog,1,366,0.02
joystick,1,318,0.01
accessors,1,163,0.01
sensor,1,351,0.01
callback,1,432,0.01
gyro,1,239,0.01
wpi,1,238,0.01
load,1,743,0.01
base,1,858,0.01
encoder,1,217,0.0
components,1,426,0.01
apache,1,576,0.01
scanner,1,430,0.01
settings,1,1212,0.01
leg,1,867,0.03
uni,1,270,0.01
giscience,1,270,0.01
helios,1,270,0.01
scan,1,309,0.01
rad,1,291,0.01
platform,1,456,0.01
cfg,1,272,0.01
beam,1,231,0.01
angle,1,600,0.01
pos,1,520,0.01
current,1,2942,0.02
ray,1,313,0.01
core,1,751,0.0
state,1,1481,0.01
app,1,229,0.0
survey,1,170,0.01
material,1,263,0.01
pulse,1,153,0.01
parts,1,133,0.0
rotate,1,386,0.01
part,1,534,0.01
fxml,1,416,0.01
javafx,1,294,0.0
bank,1,231,0.01
chart,1,869,0.02
market,1,580,0.02
