keyword,doc_freq,total_freq,tfidf
get,3,12581,0.0
string,3,2887,0.0
util,3,1651,0.0
value,2,1891,0.0
com,2,65,0.0
map,2,1218,0.0
org,2,8538,0.01
type,2,1759,0.0
add,2,2782,0.0
security,2,38,0.0
override,2,6011,0.01
java,2,2297,0.0
properties,2,2531,0.03
list,2,4333,0.0
name,2,1299,0.0
world,2,24081,0.61
set,2,2222,0.0
args,2,2023,0.02
create,2,1569,0.01
variable,1,206,0.0
oid,1,141,0.01
configuration,1,105,0.0
octet,1,95,0.01
modifier,1,98,0.0
snmpman,1,79,0.01
context,1,954,0.0
vacm,1,60,0.0
bindings,1,216,0.01
mib,1,54,0.0
oneandone,1,49,0.0
binding,1,52,0.0
group,1,463,0.0
agent,1,55,0.0
exception,1,1109,0.0
community,1,70,0.0
root,1,116,0.0
scope,1,45,0.0
log,1,142,0.0
unsigned,1,40,0.0
step,1,69,0.0
device,1,46,0.0
file,1,305,0.0
minimum,1,38,0.0
maximum,1,49,0.0
request,1,44,0.0
getter,1,34,0.0
modifiers,1,22,0.0
key,1,646,0.0
model,1,409,0.0
stream,1,841,0.0
storage,1,25,0.0
optional,1,67,0.0
smi,1,26,0.0
snmp,1,28,0.0
apdu,1,23,0.0
buffer,1,32,0.0
applet,1,18,0.0
hello,1,10,0.0
offset,1,169,0.0
length,1,114,0.0
random,1,86,0.0
array,1,489,0.0
aid,1,7,0.0
simulator,1,7,0.0
data,1,97,0.0
main,1,14,0.0
command,1,90,0.0
size,1,545,0.0
javacard,1,4,0.0
send,1,5,0.0
card,1,35,0.0
framework,1,3,0.0
tmp,1,3,0.0
install,1,21,0.0
response,1,554,0.0
system,1,34,0.0
licel,1,2,0.0
process,1,3,0.0
copy,1,129,0.0
non,1,98,0.0
outgoing,1,2,0.0
and,1,152,0.0
jcardsim,1,2,0.0
register,1,24,0.0
atomic,1,2,0.0
smartcardio,1,2,0.0
select,1,6,0.0
deselect,1,2,0.0
cla,1,2,0.0
ins,1,2,0.0
javax,1,638,0.01
run,1,31,0.0
transmit,1,1,0.0
out,1,34,0.0
println,1,6,0.0
object,1,12812,0.04
worldgrower,1,8462,0.5
image,1,7984,0.06
performer,1,8114,0.48
constants,1,7336,0.09
property,1,6730,0.05
target,1,6106,0.05
action,1,5022,0.03
goal,1,5121,0.24
ids,1,4516,0.11
actions,1,2333,0.05
item,1,3083,0.02
utils,1,2585,0.01
text,1,2886,0.01
info,1,2613,0.01
objects,1,699,0.01
conversation,1,2416,0.09
goals,1,1228,0.07
description,1,2434,0.03
skill,1,2184,0.1
reader,1,2175,0.02
operation,1,1958,0.04
sound,1,1863,0.06
put,1,1834,0.01
inventory,1,1808,0.06
gui,1,1718,0.04
targets,1,621,0.03
condition,1,1362,0.04
profession,1,1369,0.08
index,1,1412,0.0
all,1,1368,0.02
managed,1,1335,0.05
has,1,1154,0.02
