keyword,doc_freq,total_freq,tfidf
get,6,24492,0.0
string,6,15072,0.0
list,6,7064,0.0
set,5,17491,0.0
name,5,7176,0.01
java,5,10643,0.0
util,5,4820,0.0
override,4,4437,0.0
value,4,7665,0.01
key,4,3046,0.01
exception,4,6716,0.0
transaction,4,6303,0.12
type,4,8207,0.01
map,3,4738,0.01
parameter,3,804,0.01
contract,3,5958,0.17
org,3,16635,0.03
data,3,9164,0.02
hash,3,4447,0.03
listener,3,2791,0.01
state,3,4482,0.02
com,3,6901,0.01
address,3,6188,0.08
context,3,4414,0.01
token,3,12578,0.12
object,2,3058,0.01
success,2,3793,0.08
add,2,2638,0.0
file,2,1206,0.0
array,2,1914,0.0
error,2,2333,0.01
app,2,4710,0.04
event,2,2643,0.01
block,2,2073,0.03
service,2,3792,0.03
chain,2,3204,0.09
factory,2,2819,0.02
events,2,217,0.0
integer,2,2357,0.02
message,2,2326,0.01
status,2,2957,0.02
big,2,2764,0.06
repository,2,1660,0.02
log,2,555,0.0
utils,2,1887,0.01
function,2,2113,0.02
wallet,2,7038,0.28
result,2,8745,0.02
validator,1,491,0.01
response,1,1750,0.01
command,1,351,0.0
json,1,1106,0.01
qubic,1,316,0.02
commands,1,213,0.0
call,1,1259,0.02
persistence,1,273,0.01
par,1,237,0.01
iam,1,212,0.01
writer,1,375,0.0
oracle,1,245,0.01
validators,1,82,0.0
resp,1,157,0.0
param,1,390,0.0
println,1,200,0.0
example,1,119,0.0
general,1,1305,0.04
description,1,348,0.0
main,1,513,0.01
put,1,1869,0.01
obj,1,189,0.0
tryte,1,81,0.0
terminal,1,151,0.01
epoch,1,84,0.0
length,1,843,0.0
instance,1,1062,0.01
perform,1,128,0.0
handle,1,464,0.01
arr,1,104,0.0
eventeum,1,822,0.05
consensys,1,694,0.04
net,1,978,0.01
filter,1,1110,0.01
details,1,617,0.01
node,1,1919,0.01
springframework,1,322,0.0
blocks,1,116,0.0
bean,1,234,0.0
services,1,123,0.0
settings,1,688,0.01
blockchain,1,219,0.01
dto,1,203,0.0
strategy,1,186,0.0
subscription,1,192,0.01
annotation,1,754,0.01
store,1,471,0.01
spec,1,354,0.01
kafka,1,155,0.0
property,1,230,0.0
broadcaster,1,136,0.01
number,1,743,0.01
daml,1,326,0.02
sawtooth,1,174,0.01
logger,1,872,0.0
ledger,1,118,0.01
entry,1,514,0.0
blockchaintp,1,68,0.0
invalid,1,234,0.01
envelope,1,157,0.01
participant,1,58,0.0
payload,1,138,0.0
batch,1,164,0.0
protobuf,1,50,0.0
size,1,1281,0.0
sdk,1,80,0.0
internal,1,155,0.0
future,1,72,0.0
submission,1,41,0.0
client,1,1824,0.01
addresses,1,396,0.02
offset,1,1034,0.01
operation,1,335,0.01
namespace,1,43,0.0
exceptions,1,71,0.0
warn,1,44,0.0
scala,1,35,0.0
processor,1,98,0.0
thread,1,274,0.0
solidity,1,1500,0.07
rule,1,1394,0.02
ctx,1,1270,0.02
parser,1,1071,0.01
visitor,1,705,0.02
statement,1,614,0.01
assembly,1,617,0.03
visit,1,562,0.01
enter,1,595,0.02
localctx,1,511,0.02
expression,1,528,0.01
exit,1,436,0.01
tree,1,473,0.01
definition,1,1411,0.04
identifier,1,435,0.01
parse,1,906,0.01
handler,1,1191,0.01
err,1,416,0.01
declaration,1,341,0.01
sonarsource,1,210,0.01
input,1,1622,0.01
parent,1,467,0.01
match,1,267,0.0
variable,1,209,0.0
alt,1,198,0.01
check,1,1078,0.01
contexts,1,39,0.0
report,1,184,0.0
invoking,1,169,0.01
recognition,1,171,0.01
literal,1,171,0.01
children,1,181,0.0
keyword,1,193,0.01
view,1,9073,0.04
alphawallet,1,4703,0.27
tokens,1,2044,0.05
text,1,4074,0.01
dialog,1,2755,0.03
android,1,2712,0.02
realm,1,2543,0.08
item,1,2291,0.01
network,1,2117,0.04
gas,1,2160,0.12
asset,1,1977,0.05
entity,1,1980,0.02
activity,1,1981,0.02
intent,1,1859,0.02
model,1,1883,0.01
layout,1,1796,0.01
info,1,2759,0.01
widget,1,1524,0.02
url,1,1463,0.01
find,1,2296,0.02
thrift,1,17539,0.65
apache,1,14628,0.17
field,1,12011,0.08
protocol,1,9659,0.2
fields,1,4509,0.06
scheme,1,7700,0.23
struct,1,7084,0.2
code,1,5883,0.04
lang,1,4170,0.06
smart,1,3896,0.15
meta,1,4219,0.08
write,1,4030,0.04
oprot,1,3223,0.13
iprot,1,3204,0.13
that,1,3131,0.08
args,1,3179,0.02
read,1,3448,0.03
last,1,3186,0.04
comparison,1,2444,0.09
other,1,2526,0.05
present,1,2305,0.08
method,1,2054,0.02
tuple,1,2026,0.06
credits,1,1939,0.1
