keyword,doc_freq,total_freq,tfidf
string,13,4327,0.0
get,12,5027,0.0
java,12,1559,0.0
util,10,1209,0.0
override,10,1790,0.01
com,9,3180,0.03
name,9,2077,0.01
list,9,1372,0.0
set,8,2949,0.0
add,7,822,0.0
exception,6,1491,0.0
type,6,1114,0.01
builder,6,449,0.01
factory,6,497,0.02
service,5,1097,0.04
time,5,771,0.02
main,5,330,0.02
instance,5,571,0.02
strategy,5,257,0.03
observer,5,355,0.05
state,5,706,0.02
out,5,626,0.02
system,5,871,0.03
println,5,524,0.03
args,5,502,0.02
model,4,181,0.0
org,4,409,0.0
request,4,538,0.01
map,4,535,0.0
product,4,483,0.06
visitor,4,199,0.02
next,4,391,0.02
adapter,4,475,0.03
value,4,897,0.01
stream,4,452,0.01
first,3,179,0.02
message,3,862,0.02
annotation,3,293,0.01
application,3,187,0.01
date,3,265,0.01
handler,3,424,0.02
controller,3,168,0.01
element,3,163,0.01
method,3,222,0.01
file,3,365,0.0
app,3,613,0.03
data,3,1022,0.01
document,3,191,0.01
patterns,3,452,0.08
command,3,169,0.01
iterator,3,267,0.02
concrete,3,176,0.06
context,3,1373,0.02
client,3,315,0.01
order,3,662,0.06
text,3,960,0.02
init,2,139,0.01
second,2,88,0.01
springframework,2,95,0.01
http,2,176,0.01
info,2,1150,0.03
android,2,1084,0.04
activity,2,1070,0.05
holder,2,375,0.03
component,2,326,0.02
lang,2,55,0.0
build,2,290,0.02
shared,2,296,0.03
preferences,2,293,0.03
number,2,420,0.02
array,2,499,0.0
local,2,189,0.01
contacts,2,408,0.08
structural,2,65,0.02
mediator,2,78,0.02
creational,2,115,0.04
price,2,287,0.03
rectangle,2,47,0.01
memento,2,85,0.03
circle,2,49,0.01
proxy,2,116,0.01
operation,2,113,0.01
cake,2,350,0.12
color,2,416,0.02
object,2,410,0.01
subject,2,124,0.02
flyweight,2,77,0.03
logger,2,1209,0.03
event,2,836,0.02
user,2,787,0.03
result,2,748,0.01
account,2,518,0.06
customer,2,395,0.06
manager,2,687,0.02
view,2,2816,0.07
button,2,545,0.02
image,2,368,0.01
views,2,175,0.02
content,2,821,0.03
listener,2,889,0.02
key,2,800,0.01
integer,2,271,0.01
index,2,429,0.01
function,2,407,0.02
player,1,212,0.02
game,1,174,0.02
dto,1,124,0.02
score,1,43,0.0
houarizegai,1,28,0.01
tenniskata,1,28,0.01
tennis,1,27,0.01
win,1,34,0.01
record,1,31,0.0
status,1,201,0.01
not,1,185,0.01
response,1,147,0.0
entity,1,115,0.01
scores,1,8,0.0
api,1,94,0.0
error,1,302,0.01
web,1,55,0.0
body,1,94,0.01
models,1,15,0.0
valid,1,38,0.01
zoned,1,5,0.0
put,1,279,0.01
highest,1,5,0.0
swagger,1,4,0.0
fragment,1,91,0.01
github,1,30,0.0
inject,1,69,0.01
constants,1,155,0.01
dagger,1,32,0.01
module,1,104,0.01
javax,1,165,0.01
holders,1,16,0.0
spec,1,32,0.0
injector,1,33,0.01
modifier,1,16,0.0
complete,1,30,0.01
support,1,52,0.0
best,1,13,0.0
guess,1,13,0.0
mirror,1,13,0.0
daggerautoinject,1,12,0.0
retention,1,38,0.01
squareup,1,11,0.0
processor,1,37,0.0
javapoet,1,11,0.0
rxretrojsoup,1,9,0.0
modifiers,1,8,0.0
sample,1,21,0.0
bank,1,166,0.04
information,1,74,0.01
ruubel,1,34,0.01
scraper,1,28,0.01
publisher,1,33,0.01
fetch,1,32,0.01
received,1,28,0.01
jsoup,1,9,0.0
autowired,1,10,0.0
phone,1,175,0.03
select,1,22,0.0
strategies,1,11,0.0
stereotype,1,20,0.0
subscriber,1,27,0.01
url,1,88,0.0
elements,1,38,0.0
seb,1,6,0.0
swedbank,1,6,0.0
duration,1,85,0.01
beans,1,9,0.0
aspectj,1,4,0.0
nodes,1,4,0.0
design,1,100,0.02
draw,1,68,0.01
behavioral,1,39,0.01
partner,1,38,0.01
figure,1,44,0.01
coffee,1,42,0.01
ingredients,1,24,0.01
flavour,1,22,0.01
decorator,1,86,0.02
program,1,17,0.0
something,1,19,0.01
execute,1,187,0.02
chain,1,68,0.01
word,1,55,0.0
pizza,1,14,0.0
observed,1,11,0.0
doctor,1,22,0.01
real,1,59,0.01
and,1,196,0.02
surgery,1,5,0.0
general,1,4,0.0
run,1,132,0.01
checkup,1,4,0.0
hospital,1,4,0.0
flag,1,222,0.03
premaseem,1,4,0.0
repeat,1,14,0.0
call,1,191,0.02
nurse,1,3,0.0
scan,1,5,0.0
scanner,1,64,0.01
summaryand,1,2,0.0
summary,1,8,0.0
provide,1,13,0.0
report,1,15,0.0
generate,1,24,0.0
repor,1,2,0.0
innofang,1,200,0.06
example,1,112,0.01
base,1,158,0.01
singleton,1,128,0.02
magazine,1,42,0.01
license,1,39,0.01
plate,1,37,0.01
brand,1,38,0.01
picker,1,53,0.01
memoto,1,33,0.01
ticket,1,218,0.05
cuisine,1,30,0.01
cream,1,28,0.01
movie,1,37,0.01
finish,1,63,0.01
iluwatar,1,1594,0.56
var,1,1534,0.13
lombok,1,580,0.04
database,1,617,0.04
queue,1,358,0.04
extern,1,275,0.08
thread,1,342,0.02
num,1,245,0.02
dao,1,294,0.03
unavailable,1,219,0.07
constructor,1,227,0.02
lottery,1,217,0.08
task,1,261,0.02
neology,1,217,0.06
javafx,1,160,0.01
transport,1,133,0.02
connection,1,247,0.01
scene,1,122,0.01
login,1,127,0.02
log,1,399,0.01
fxml,1,84,0.01
net,1,139,0.01
write,1,199,0.01
level,1,103,0.01
pane,1,88,0.01
alert,1,107,0.02
todo,1,85,0.02
buffer,1,104,0.0
logging,1,80,0.01
dialog,1,208,0.01
control,1,53,0.01
drawer,1,49,0.01
exceptions,1,73,0.01
xml,1,93,0.01
read,1,201,0.01
bald,1,1623,0.57
uriah,1,744,0.26
baldphone,1,753,0.27
layout,1,742,0.03
click,1,548,0.03
intent,1,531,0.03
contact,1,414,0.07
prefs,1,437,0.06
alarm,1,384,0.09
item,1,666,0.02
drawable,1,415,0.04
recycler,1,384,0.04
utils,1,303,0.01
androidx,1,336,0.04
home,1,347,0.06
cursor,1,305,0.03
find,1,451,0.02
apps,1,218,0.03
res,1,279,0.02
screen,1,258,0.03
csparpa,1,151,0.05
gofdp,1,151,0.05
job,1,58,0.01
place,1,67,0.01
salary,1,46,0.01
greet,1,46,0.01
colleague,1,41,0.01
age,1,102,0.02
implementor,1,37,0.01
adaptee,1,41,0.01
birth,1,26,0.01
demo,1,28,0.0
partition,1,33,0.01
observers,1,68,0.02
originator,1,31,0.01
power,1,31,0.01
gazbert,1,234,0.08
big,1,226,0.02
decimal,1,209,0.03
market,1,163,0.03
behavioural,1,108,0.04
bid,1,71,0.02
bug,1,64,0.02
usd,1,75,0.02
balance,1,76,0.01
trade,1,56,0.01
trading,1,48,0.01
amount,1,180,0.03
math,1,88,0.01
book,1,250,0.04
latest,1,46,0.01
review,1,41,0.01
details,1,217,0.03
fund,1,43,0.01
address,1,162,0.01
orders,1,20,0.0
tracker,1,32,0.01
gbp,1,32,0.01
xpinjection,1,125,0.03
canonical,1,99,0.02
line,1,133,0.0
traffic,1,45,0.01
position,1,319,0.02
rank,1,39,0.01
modern,1,46,0.01
counter,1,73,0.01
editor,1,93,0.01
current,1,332,0.01
cluster,1,29,0.0
tokenizer,1,26,0.0
concurrent,1,175,0.02
port,1,83,0.01
apply,1,247,0.03
equals,1,359,0.01
input,1,379,0.01
hash,1,361,0.01
rapidpm,1,65,0.02
code,1,330,0.01
frp,1,65,0.02
sensitive,1,62,0.01
serializable,1,89,0.01
functions,1,46,0.01
sept,1,44,0.01
supplier,1,89,0.01
objects,1,125,0.01
sext,1,40,0.01
with,1,308,0.01
quad,1,67,0.02
func,1,47,0.01
tri,1,38,0.01
quint,1,36,0.01
length,1,287,0.01
consumer,1,115,0.01
checked,1,144,0.02
success,1,93,0.01
triple,1,28,0.01
failure,1,77,0.01
match,1,69,0.01
prefix,1,30,0.0
property,1,134,0.0
lower,1,43,0.01
future,1,46,0.0
needle,1,21,0.01
completable,1,31,0.0
