keyword,doc_freq,total_freq,tfidf
string,4,3477,0.0
get,4,3688,0.0
name,4,1382,0.02
list,4,1538,0.01
type,4,742,0.01
set,4,1447,0.0
org,3,979,0.02
file,3,1173,0.02
path,3,834,0.03
exception,3,828,0.0
java,3,1106,0.0
override,3,737,0.01
util,3,723,0.01
add,3,710,0.01
array,3,527,0.01
item,2,1336,0.1
line,2,522,0.04
status,2,530,0.05
listener,2,554,0.03
core,2,674,0.05
time,2,320,0.02
dir,2,303,0.05
entry,2,424,0.04
info,2,663,0.04
modification,2,328,0.18
hash,2,354,0.03
stream,1,753,0.03
itsallcode,1,424,0.33
openfasttrace,1,426,0.33
element,1,406,0.04
specification,1,372,0.17
importer,1,369,0.19
report,1,364,0.09
write,1,358,0.04
xml,1,333,0.04
items,1,226,0.04
builder,1,422,0.02
artifact,1,295,0.12
writer,1,290,0.04
api,1,249,0.02
factory,1,298,0.02
pattern,1,237,0.04
print,1,266,0.03
covered,1,215,0.17
settings,1,189,0.03
types,1,171,0.02
handler,1,206,0.02
trace,1,207,0.04
create,1,297,0.02
linked,1,192,0.06
tags,1,155,0.04
location,1,179,0.03
start,1,252,0.02
input,1,249,0.01
link,1,150,0.04
end,1,194,0.03
output,1,219,0.01
view,1,1395,0.08
database,1,649,0.1
data,1,687,0.02
com,1,468,0.01
android,1,439,0.03
text,1,607,0.02
order,1,434,0.09
snapshot,1,394,0.15
firebase,1,375,0.14
value,1,574,0.01
dish,1,316,0.2
dineout,1,285,0.22
child,1,281,0.05
code,1,346,0.03
activity,1,268,0.03
layout,1,253,0.02
click,1,233,0.03
position,1,248,0.03
adapter,1,251,0.04
table,1,229,0.02
reference,1,211,0.04
quantity,1,203,0.08
error,1,226,0.01
event,1,290,0.02
recycler,1,185,0.05
find,1,240,0.03
google,1,164,0.02
intent,1,172,0.02
holder,1,160,0.03
widget,1,156,0.03
context,1,268,0.01
price,1,152,0.04
hall,1,146,0.11
instance,1,166,0.01
menu,1,149,0.02
total,1,159,0.04
chef,1,126,0.1
commit,1,347,0.16
repository,1,242,0.04
diff,1,231,0.07
scm,1,174,0.12
repo,1,179,0.06
repodriller,1,135,0.11
git,1,138,0.05
change,1,178,0.04
log,1,216,0.01
files,1,89,0.01
svn,1,90,0.06
filter,1,187,0.02
commits,1,44,0.03
all,1,113,0.02
number,1,282,0.03
utils,1,85,0.0
date,1,138,0.01
clone,1,65,0.02
rev,1,56,0.04
revision,1,142,0.06
manager,1,194,0.01
range,1,55,0.01
calendar,1,73,0.02
committer,1,51,0.04
author,1,50,0.02
max,1,127,0.01
last,1,118,0.02
result,1,151,0.0
first,1,66,0.01
map,1,1000,0.01
statement,1,758,0.13
method,1,608,0.06
var,1,487,0.09
methods,1,317,0.09
repair,1,442,0.23
test,1,324,0.03
seed,1,323,0.12
msu,1,297,0.2
cse,1,297,0.2
tests,1,222,0.08
bin,1,265,0.1
node,1,271,0.02
parameters,1,237,0.04
vars,1,154,0.06
eclipse,1,244,0.07
jdt,1,220,0.14
ingredient,1,256,0.15
dom,1,218,0.08
point,1,179,0.03
binding,1,199,0.05
solution,1,201,0.09
classes,1,198,0.08
ast,1,189,0.07
size,1,294,0.01
match,1,204,0.04
statements,1,81,0.04
fields,1,173,0.03
points,1,125,0.03
problem,1,162,0.06
