keyword,doc_freq,total_freq,tfidf
string,13,4392,0.0
list,12,5714,0.02
java,11,2053,0.0
get,11,3270,0.0
value,10,1688,0.01
size,10,2045,0.03
util,10,1855,0.01
add,9,1712,0.01
set,9,1293,0.0
out,8,2484,0.1
index,8,1840,0.04
node,7,6260,0.24
array,7,2843,0.04
system,7,2595,0.11
println,7,1598,0.11
com,7,816,0.01
integer,7,2029,0.1
next,7,2068,0.14
data,7,1135,0.02
length,7,2838,0.07
right,7,1613,0.18
hash,7,1067,0.05
sort,7,1242,0.27
root,6,1677,0.18
left,6,1598,0.17
args,5,863,0.05
main,5,882,0.07
map,5,1295,0.01
queue,4,811,0.12
arr,4,1360,0.26
stack,4,833,0.07
arrays,4,495,0.06
nodes,4,255,0.03
count,4,1258,0.06
key,4,1066,0.02
tree,4,1418,0.14
print,4,1294,0.1
temp,4,1004,0.14
file,4,656,0.01
exception,4,799,0.0
name,4,447,0.0
text,4,512,0.01
override,4,483,0.0
num,4,993,0.08
head,3,804,0.17
row,3,485,0.04
capacity,3,370,0.1
object,3,244,0.01
search,3,521,0.05
current,3,465,0.03
child,3,447,0.05
start,3,579,0.02
element,3,1148,0.06
write,3,142,0.01
find,3,699,0.05
view,3,915,0.03
android,3,325,0.01
context,3,354,0.01
listener,3,336,0.01
equals,3,953,0.05
min,3,1025,0.09
max,3,1393,0.06
linked,2,565,0.12
col,2,358,0.05
cell,2,195,0.03
word,2,491,0.06
end,2,449,0.04
result,2,496,0.01
merge,2,155,0.04
order,2,520,0.07
content,2,270,0.01
sorted,2,291,0.08
line,2,276,0.01
org,2,272,0.0
operation,2,142,0.02
empty,2,566,0.06
create,2,171,0.01
number,2,799,0.06
values,2,239,0.01
demo,2,115,0.02
layout,2,223,0.01
adapter,2,130,0.01
parent,2,583,0.06
builder,2,438,0.01
height,2,479,0.04
model,2,49,0.0
item,2,240,0.01
scroll,2,168,0.04
utils,2,107,0.0
state,2,205,0.01
files,2,73,0.0
param,2,73,0.01
charset,2,98,0.02
stream,2,457,0.01
comparator,2,169,0.04
reader,2,307,0.02
input,2,418,0.01
output,2,289,0.01
last,2,306,0.03
writer,2,303,0.02
close,2,198,0.02
app,2,718,0.04
activity,2,336,0.02
info,2,399,0.01
match,2,325,0.04
manager,2,188,0.01
scanner,2,598,0.11
math,2,766,0.08
not,2,107,0.01
function,2,123,0.01
nums,2,1039,0.3
res,2,725,0.07
sum,2,761,0.14
leetcode,2,632,0.21
val,2,887,0.1
bst,1,122,0.05
grid,1,264,0.04
top,1,229,0.03
stair,1,29,0.01
visited,1,220,0.06
front,1,89,0.02
push,1,247,0.06
low,1,146,0.04
begin,1,107,0.03
grey,1,39,0.01
focus,1,33,0.01
comparisons,1,32,0.01
green,1,47,0.01
blue,1,50,0.01
dump,1,22,0.01
ansi,1,22,0.01
loop,1,39,0.01
zhokhov,1,17,0.01
interview,1,74,0.03
table,1,209,0.01
reverse,1,160,0.05
yellow,1,18,0.01
mal,1,13,0.01
swaps,1,13,0.01
red,1,52,0.01
quick,1,38,0.01
wrapper,1,383,0.06
xml,1,197,0.02
sortpom,1,138,0.07
plugin,1,103,0.01
pom,1,106,0.05
indent,1,108,0.03
elements,1,103,0.02
parameters,1,82,0.01
dependency,1,89,0.02
ordered,1,84,0.04
verify,1,67,0.02
original,1,116,0.03
parameter,1,50,0.0
fail,1,62,0.02
lines,1,72,0.01
before,1,91,0.02
failure,1,55,0.01
ignore,1,63,0.01
backup,1,50,0.02
instruction,1,48,0.01
document,1,47,0.0
violation,1,45,0.01
logger,1,57,0.0
phase,1,46,0.02
link,1,351,0.05
printf,1,214,0.07
peg,1,129,0.06
occupied,1,109,0.05
pegs,1,70,0.03
sentinel,1,110,0.04
solution,1,169,0.05
links,1,57,0.02
removed,1,80,0.02
color,1,388,0.02
middle,1,163,0.05
recycler,1,76,0.01
stroke,1,52,0.01
width,1,145,0.01
bar,1,81,0.01
volx,1,46,0.02
params,1,45,0.0
user,1,66,0.0
background,1,51,0.01
holder,1,80,0.01
views,1,24,0.0
visibility,1,23,0.0
active,1,24,0.0
blink,1,18,0.01
character,1,247,0.05
features,1,18,0.0
metrics,1,32,0.01
display,1,87,0.01
widget,1,48,0.01
dataset,1,17,0.0
volcaniccoder,1,15,0.01
support,1,59,0.01
gravity,1,20,0.0
indicator,1,14,0.0
frame,1,14,0.0
cmp,1,39,0.01
distinct,1,28,0.01
bfb,1,22,0.01
batch,1,20,0.0
fbw,1,18,0.01
buffer,1,105,0.01
binary,1,323,0.06
buffered,1,98,0.01
outputfile,1,17,0.01
fbr,1,16,0.01
tmplist,1,13,0.01
usegzip,1,13,0.01
tmpdirectory,1,11,0.01
maxtmpfiles,1,12,0.01
memory,1,23,0.0
header,1,33,0.0
obj,1,65,0.01
defaultmaxtempfiles,1,7,0.0
rowcounter,1,7,0.0
bit,1,79,0.01
permissions,1,223,0.05
flags,1,221,0.03
application,1,197,0.01
intent,1,161,0.01
apps,1,48,0.01
task,1,183,0.02
uninstalled,1,114,0.06
weak,1,103,0.03
activities,1,101,0.04
reference,1,110,0.01
unique,1,163,0.04
identifier,1,94,0.02
all,1,268,0.02
layoutxml,1,72,0.04
applistmanagerlibrary,1,70,0.03
contains,1,277,0.04
requested,1,44,0.01
resolve,1,40,0.01
button,1,59,0.0
click,1,52,0.0
received,1,26,0.01
icon,1,24,0.0
tasks,1,19,0.0
async,1,37,0.01
video,1,637,0.11
folder,1,160,0.03
bitmap,1,157,0.02
videolistingmvp,1,114,0.06
menu,1,118,0.01
fragment,1,109,0.01
saved,1,116,0.02
videos,1,30,0.01
cache,1,187,0.02
entry,1,469,0.03
media,1,80,0.01
impl,1,102,0.01
position,1,129,0.01
first,1,360,0.04
inflater,1,73,0.01
path,1,328,0.01
visible,1,76,0.02
group,1,117,0.01
thealgorithms,1,454,0.17
heap,1,375,0.11
big,1,273,0.04
mod,1,140,0.04
serializer,1,122,0.02
check,1,318,0.03
iterator,1,167,0.02
read,1,140,0.01
from,1,300,0.02
factory,1,80,0.0
cursor,1,130,0.02
comodification,1,41,0.02
expected,1,91,0.02
offset,1,71,0.01
remove,1,366,0.05
range,1,137,0.02
bounds,1,55,0.01
preconditions,1,37,0.01
,1,105,
test,1,614,0.03
junit,1,225,0.03
graph,1,486,0.06
adj,1,184,0.06
filter,1,163,0.01
criteria,1,78,0.02
springframework,1,59,0.01
employee,1,67,0.02
employees,1,57,0.02
specification,1,45,0.01
page,1,59,0.01
boot,1,35,0.01
jpa,1,38,0.01
date,1,72,0.0
vijjayy,1,27,0.01
request,1,30,0.0
field,1,46,0.0
api,1,30,0.0
type,1,132,0.0
converted,1,18,0.01
properties,1,33,0.0
pool,1,21,0.0
repository,1,16,0.0
response,1,26,0.0
put,1,413,0.01
local,1,55,0.01
single,1,60,0.01
query,1,44,0.0
domain,1,24,0.0
dao,1,12,0.0
converter,1,21,0.0
equal,1,43,0.01
problems,1,459,0.15
elem,1,421,0.11
easy,1,255,0.07
curr,1,419,0.09
medium,1,272,0.08
helper,1,208,0.02
