keyword,doc_freq,total_freq,tfidf
get,14,3334,0.0
string,13,3993,0.0
set,11,1373,0.0
android,10,1546,0.12
list,10,1083,0.01
exception,9,587,0.0
context,9,713,0.03
text,9,1180,0.05
content,8,690,0.06
put,8,538,0.03
result,8,546,0.02
util,8,451,0.0
java,8,606,0.0
audio,8,794,0.24
intent,7,1102,0.14
view,7,1177,0.07
activity,7,627,0.06
message,7,629,0.04
speech,7,528,0.29
name,7,690,0.01
map,6,559,0.01
override,6,567,0.01
recognizer,6,361,0.17
com,6,292,0.01
array,6,455,0.01
utils,6,508,0.02
extra,5,378,0.1
service,5,487,0.04
item,5,431,0.03
input,5,476,0.02
request,5,192,0.01
log,5,443,0.02
size,5,264,0.01
add,5,692,0.01
uri,4,637,0.08
phon,4,476,0.39
key,4,566,0.02
results,4,291,0.06
language,4,269,0.07
action,4,371,0.03
json,4,303,0.02
tag,4,195,0.02
listener,4,333,0.02
file,4,493,0.01
path,4,161,0.01
command,3,733,0.09
columns,3,346,0.08
ioc,3,454,0.33
error,3,378,0.02
end,3,264,0.04
preference,3,354,0.1
cursor,3,340,0.08
state,3,375,0.02
code,3,233,0.02
locale,3,225,0.06
model,3,59,0.0
test,3,210,0.02
object,3,165,0.01
permission,3,129,0.03
recognition,3,172,0.06
org,3,136,0.0
equals,3,166,0.01
bundle,3,405,0.08
start,3,451,0.03
record,3,170,0.03
menu,3,375,0.05
support,3,37,0.01
app,3,427,0.04
url,3,534,0.04
response,3,203,0.02
stream,3,292,0.01
length,3,479,0.02
connection,3,306,0.04
format,3,319,0.03
speaker,3,257,0.13
adapter,3,281,0.04
query,2,243,0.03
pref,2,185,0.07
button,2,180,0.02
click,2,114,0.02
prefs,2,228,0.08
math,2,88,0.01
max,2,124,0.01
player,2,96,0.02
data,2,326,0.01
matches,2,77,0.03
plugin,2,21,0.0
prompt,2,61,0.03
recognize,2,26,0.02
listening,2,61,0.04
apache,2,46,0.01
web,2,162,0.03
type,2,323,0.01
