keyword,doc_freq,total_freq,tfidf
text,4,348,0.08
set,4,339,0.01
get,4,637,0.0
string,4,616,0.0
view,3,301,0.1
context,3,181,0.04
android,3,219,0.09
speech,3,139,0.42
activity,3,106,0.06
override,3,118,0.01
list,3,269,0.01
size,2,70,0.01
out,2,62,0.02
app,2,201,0.11
views,2,26,0.04
exception,2,107,0.0
layout,2,45,0.02
com,2,71,0.01
support,2,27,0.02
click,2,59,0.05
array,2,99,0.01
input,2,115,0.03
listener,2,158,0.05
manager,2,101,0.04
audio,2,124,0.21
item,2,56,0.02
response,2,146,0.06
stream,2,133,0.03
adapter,2,63,0.05
data,2,221,0.03
util,2,92,0.0
add,2,95,0.01
current,1,61,0.03
index,1,60,0.01
color,1,37,0.02
next,1,31,0.02
animator,1,22,0.04
with,1,21,0.01
previous,1,18,0.04
techniques,1,13,0.05
fade,1,12,0.04
play,1,13,0.02
duration,1,12,0.02
live,1,12,0.03
attrs,1,13,0.02
background,1,10,0.02
run,1,41,0.04
test,1,27,0.01
bounds,1,9,0.01
org,1,12,0.0
attr,1,6,0.01
delay,1,16,0.03
end,1,36,0.03
callback,1,9,0.01
call,1,13,0.01
down,1,24,0.05
junit,1,9,0.01
style,1,6,0.01
large,1,6,0.02
typed,1,6,0.01
small,1,7,0.02
arr,1,8,0.01
animate,1,6,0.02
init,1,22,0.03
message,1,128,0.04
reco,1,39,0.15
token,1,37,0.02
results,1,60,0.07
speaker,1,34,0.1
watson,1,24,0.09
recycler,1,29,0.04
ibm,1,23,0.05
developer,1,23,0.08
cloud,1,23,0.05
timestamp,1,18,0.03
label,1,47,0.03
map,1,35,0.0
request,1,39,0.01
options,1,21,0.01
record,1,16,0.01
permission,1,15,0.02
result,1,19,0.0
utterance,1,28,0.09
thread,1,44,0.03
from,1,36,0.03
microphone,1,20,0.08
toast,1,40,0.06
model,1,15,0.0
position,1,48,0.03
labels,1,9,0.01
url,1,167,0.07
file,1,133,0.01
language,1,123,0.18
java,1,118,0.0
complex,1,87,0.21
length,1,118,0.03
conn,1,62,0.12
flac,1,66,0.27
code,1,69,0.03
sample,1,59,0.07
http,1,48,0.03
connection,1,53,0.04
google,1,53,0.04
line,1,54,0.03
append,1,57,0.02
target,1,45,0.03
raw,1,38,0.05
https,1,27,0.09
rate,1,35,0.06
output,1,45,0.02
json,1,33,0.01
tmp,1,32,0.05
api,1,28,0.01
channel,1,39,0.03
recognized,1,24,0.09
format,1,37,0.02
max,1,34,0.01
net,1,27,0.02
math,1,31,0.03
encoder,1,23,0.04
fft,1,24,0.07
confidence,1,23,0.07
apikey,1,22,0.09
ignore,1,143,0.23
intent,1,102,0.07
tts,1,98,0.37
dialog,1,75,0.06
preference,1,69,0.11
notification,1,78,0.11
info,1,80,0.03
reason,1,56,0.13
content,1,79,0.04
key,1,86,0.02
state,1,92,0.03
replace,1,61,0.11
holder,1,75,0.08
reasons,1,46,0.21
status,1,62,0.04
apps,1,33,0.07
edit,1,54,0.07
service,1,68,0.03
prefs,1,49,0.09
pair,1,56,0.07
action,1,47,0.02
common,1,45,0.04
time,1,57,0.02
widget,1,56,0.06
name,1,55,0.0
quiet,1,41,0.19
update,1,43,0.04
database,1,37,0.03
change,1,35,0.04
values,1,42,0.02
