keyword,doc_freq,total_freq,tfidf
get,25,87563,0.0
string,25,44766,0.0
set,25,28179,0.0
list,23,18295,0.0
name,22,26255,0.01
util,22,16826,0.01
java,21,17919,0.0
add,21,18654,0.01
type,20,39708,0.03
exception,19,22253,0.0
file,17,20152,0.02
method,17,23230,0.11
override,17,22416,0.01
value,15,23345,0.02
org,14,16896,0.02
map,13,12550,0.01
node,12,22487,0.07
utils,9,3308,0.01
hash,9,8344,0.03
stream,9,7047,0.01
path,9,7071,0.01
field,9,12050,0.04
code,9,8218,0.03
key,9,16771,0.03
types,9,4704,0.02
rule,9,6011,0.06
check,8,4493,0.03
result,8,10473,0.02
array,7,9052,0.01
item,7,6842,0.02
parser,7,6202,0.04
variable,7,5151,0.05
tree,6,14516,0.11
size,6,7788,0.01
index,6,9180,0.02
instruction,6,20705,0.35
ast,6,12549,0.23
visit,6,5497,0.07
start,6,5960,0.02
line,6,5027,0.02
context,6,10816,0.02
visitor,6,5748,0.08
token,6,3605,0.02
data,5,5051,0.01
methods,5,2497,0.03
equals,5,6079,0.02
entry,5,6520,0.03
api,5,2833,0.01
text,5,4800,0.01
append,5,4914,0.02
annotation,5,5437,0.03
instance,5,6675,0.03
object,5,7663,0.01
element,5,5156,0.02
builder,5,8490,0.02
report,5,2802,0.03
pattern,5,2150,0.02
factory,5,6282,0.02
expression,5,6346,0.07
input,5,5955,0.01
call,5,6894,0.06
reference,5,13200,0.13
block,5,6914,0.05
offset,4,7946,0.05
nodes,4,2003,0.02
files,4,1778,0.01
listener,4,3426,0.01
opcode,4,5874,0.11
state,4,5607,0.01
test,4,2867,0.01
rules,4,1204,0.02
unit,4,2462,0.02
analysis,4,7136,0.13
create,4,4433,0.01
model,4,6516,0.01
validator,4,3672,0.06
parameter,4,4833,0.03
identifier,4,2783,0.04
statement,4,6382,0.05
soot,4,3651,0.11
expr,4,4792,0.08
com,4,15092,0.01
number,4,5530,0.03
logger,3,2968,0.01
profile,3,1404,0.02
wala,3,13238,0.38
resource,3,3432,0.02
access,3,2910,0.04
attribute,3,2065,0.01
javax,3,2345,0.01
insn,3,3165,0.07
label,3,4999,0.03
desc,3,1701,0.03
,3,2997,
function,3,4279,0.02
names,3,2492,0.01
project,3,2419,0.02
error,3,4394,0.01
issue,3,3085,0.06
severity,3,1472,0.04
message,3,2732,0.01
priority,3,892,0.02
literal,3,3261,0.06
output,3,2576,0.01
var,3,3016,0.03
log,3,2184,0.01
graph,3,4861,0.05
visitors,3,448,0.01
plugins,3,2762,0.04
source,3,4721,0.02
symbol,3,3361,0.04
sonar,3,6729,0.21
declaration,3,2021,0.05
left,3,2004,0.02
def,3,2730,0.04
lines,3,878,0.01
out,3,4036,0.01
version,2,2342,0.01
match,2,1755,0.02
root,2,3883,0.03
read,2,3704,0.02
res,2,2789,0.02
count,2,4497,0.02
app,2,688,0.0
strings,2,753,0.01
bytecode,2,2885,0.08
menu,2,2029,0.01
decompiler,2,980,0.03
pane,2,1491,0.01
put,2,4765,0.01
end,2,3280,0.02
table,2,3096,0.01
url,2,2168,0.01
binding,2,1358,0.02
analyzer,2,425,0.01
body,2,1913,0.02
nullable,2,1439,0.01
cry,2,1774,0.05
core,2,2260,0.01
xml,2,2155,0.01
layout,2,1251,0.01
generator,2,1299,0.02
edu,2,1747,0.02
hafner,2,1580,0.05
matcher,2,1730,0.02
descriptor,2,2761,0.03
group,2,1700,0.01
category,2,800,0.01
optional,2,1277,0.01
issues,2,738,0.02
reader,2,4014,0.02
warnings,2,1255,0.02
parse,2,1536,0.01
validators,2,526,0.01
results,2,927,0.01
operator,2,2633,0.04
bound,2,869,0.02
right,2,1757,0.02
instr,2,1588,0.05
stack,2,3037,0.02
codes,2,1982,0.03
provider,2,2171,0.01
property,2,5722,0.02
selector,2,2419,0.03
checks,2,652,0.02
parameters,2,2348,0.02
children,2,1575,0.02
stmt,2,2665,0.04
site,2,3292,0.07
jimple,2,989,0.04
target,2,4680,0.02
constraint,2,1162,0.02
ssa,2,6676,0.23
predicate,2,1453,0.02
pred,2,1675,0.04
debug,2,3225,0.03
pointer,2,3492,0.05
make,2,5145,0.08
collection,2,3241,0.02
maven,2,216,0.0
first,2,1863,0.02
pmd,2,382,0.01
prover,2,3131,0.12
cfg,2,4279,0.09
cup,2,635,0.02
args,2,2343,0.01
runtime,2,2177,0.02
dex,2,6859,0.15
register,2,7396,0.09
immutable,2,3482,0.04
writer,2,4086,0.03
write,2,3930,0.02
view,2,2459,0.01
android,2,2380,0.01
support,2,386,0.0
activity,2,661,0.0
loader,2,4633,0.05
asm,2,721,0.02
patterns,2,151,0.0
current,2,3401,0.02
detector,2,145,0.0
main,2,1419,0.01
lib,1,1191,0.02
config,1,1656,0.01
clazz,1,681,0.01
tpl,1,293,0.01
infsec,1,239,0.01
flags,1,1577,0.02
stats,1,387,0.0
flag,1,995,0.02
viewer,1,1751,0.03
club,1,1295,0.04
bytecodeviewer,1,1295,0.04
the,1,1593,0.03
translated,1,764,0.02
swing,1,745,0.01
component,1,1026,0.01
components,1,523,0.01
selected,1,1006,0.01
button,1,1202,0.01
event,1,1326,0.0
panel,1,555,0.0
container,1,1505,0.01
resources,1,1059,0.01
position,1,2601,0.02
search,1,1133,0.01
recaf,1,3698,0.12
coley,1,3277,0.11
info,1,6352,0.02
workspace,1,1593,0.03
javafx,1,769,0.01
tab,1,996,0.01
values,1,1745,0.01
member,1,1033,0.02
not,1,1939,0.01
module,1,1761,0.02
yinwang,1,227,0.01
pysonar,1,227,0.01
col,1,482,0.01
str,1,1120,0.01
func,1,493,0.01
attr,1,848,0.01
bindings,1,151,0.0
param,1,2077,0.01
tuple,1,556,0.01
question,1,956,0.02
swt,1,964,0.02
eclipse,1,1391,0.02
page,1,1026,0.01
constants,1,2031,0.01
task,1,1136,0.01
cognicrypt,1,660,0.02
composite,1,694,0.01
clafer,1,608,0.02
answer,1,553,0.01
selection,1,951,0.01
wizard,1,483,0.01
questions,1,174,0.0
json,1,1538,0.01
warning,1,930,0.02
lookahead,1,463,0.01
lint,1,245,0.01
range,1,1178,0.01
validation,1,860,0.01
redsix,1,178,0.01
dmncheck,1,178,0.01
dmn,1,192,0.01
feel,1,183,0.01
decision,1,163,0.0
camunda,1,90,0.0
bpm,1,89,0.0
definitions,1,108,0.0
language,1,1174,0.01
either,1,57,0.0
collectors,1,506,0.01
drg,1,55,0.0
collections,1,1816,0.03
collect,1,1181,0.02
securify,1,467,0.02
jump,1,541,0.02
