keyword,doc_freq,total_freq,tfidf
get,4,1567,0.0
price,4,827,0.28
java,4,455,0.0
string,3,1098,0.0
time,3,491,0.04
set,3,396,0.0
exception,3,488,0.0
util,3,313,0.0
api,3,789,0.08
size,3,664,0.02
url,3,326,0.03
state,3,276,0.02
order,3,1605,0.42
type,3,601,0.01
data,3,433,0.01
list,2,494,0.0
user,2,618,0.07
map,2,663,0.01
ticker,2,328,0.2
value,2,293,0.0
override,2,304,0.0
add,2,321,0.0
symbol,2,473,0.15
buffer,2,321,0.04
trade,2,241,0.12
token,2,104,0.01
write,2,243,0.03
read,2,226,0.03
orders,2,259,0.13
configuration,2,199,0.02
stock,1,307,0.18
steward,1,240,0.19
edu,1,247,0.09
portfolio,1,178,0.1
prices,1,139,0.09
gson,1,168,0.05
sql,1,151,0.03
query,1,238,0.03
spark,1,143,0.05
pool,1,266,0.07
statement,1,136,0.03
name,1,209,0.0
prep,1,135,0.1
ret,1,136,0.04
port,1,128,0.03
json,1,124,0.01
sentiment,1,112,0.07
print,1,115,0.02
stack,1,107,0.02
trace,1,112,0.02
array,1,220,0.01
series,1,97,0.03
job,1,85,0.02
portfolios,1,51,0.04
execute,1,84,0.03
req,1,78,0.02
fundamentals,1,93,0.07
google,1,72,0.01
immutable,1,69,0.02
com,1,90,0.0
holding,1,66,0.05
connection,1,72,0.01
lock,1,94,0.02
quote,1,170,0.08
client,1,74,0.01
socket,1,45,0.01
only,1,50,0.03
log,1,168,0.01
trades,1,41,0.02
web,1,45,0.01
max,1,100,0.01
length,1,132,0.01
message,1,77,0.01
symbols,1,59,0.03
channel,1,42,0.01
config,1,98,0.01
count,1,32,0.0
thread,1,80,0.01
ready,1,20,0.01
threads,1,21,0.01
join,1,27,0.01
provider,1,55,0.01
last,1,152,0.03
little,1,14,0.01
concurrent,1,34,0.01
wrap,1,17,0.01
endian,1,14,0.01
channels,1,12,0.0
uri,1,14,0.0
stamp,1,18,0.01
charsets,1,12,0.01
unlock,1,14,0.01
robinhood,1,294,0.29
weiser,1,213,0.21
conrad,1,213,0.21
parameter,1,168,0.03
account,1,183,0.06
method,1,164,0.02
endpoint,1,137,0.05
request,1,246,0.02
element,1,116,0.01
parameters,1,49,0.01
header,1,80,0.02
manager,1,105,0.01
http,1,79,0.01
investment,1,57,0.06
methods,1,28,0.01
make,1,54,0.02
holder,1,38,0.01
info,1,63,0.0
quantity,1,41,0.02
cash,1,38,0.03
limit,1,89,0.03
instrument,1,34,0.02
not,1,61,0.01
stop,1,33,0.01
fundamental,1,59,0.06
force,1,31,0.02
held,1,31,0.03
logged,1,28,0.02
security,1,26,0.01
instance,1,54,0.01
cmd,1,974,0.34
command,1,723,0.1
event,1,440,0.03
code,1,471,0.05
hash,1,501,0.05
exchange,1,431,0.16
result,1,425,0.02
core,1,414,0.04
events,1,200,0.06
uid,1,304,0.11
action,1,233,0.02
utils,1,184,0.01
bid,1,248,0.17
report,1,200,0.06
bucket,1,195,0.06
seq,1,218,0.1
common,1,234,0.04
serialization,1,189,0.09
binary,1,184,0.07
timestamp,1,176,0.05
lombok,1,165,0.03
ask,1,194,0.14
spec,1,153,0.04
buckets,1,111,0.05
handler,1,226,0.02
risk,1,170,0.13
processor,1,138,0.03
book,1,138,0.05
matcher,1,140,0.04
profile,1,134,0.04
