keyword,doc_freq,total_freq,tfidf
string,9,9685,0.0
get,9,9578,0.0
java,8,2833,0.0
set,8,2696,0.0
value,8,2596,0.01
com,7,4497,0.03
stream,7,2176,0.03
name,7,3755,0.01
util,7,1616,0.0
object,7,3342,0.03
type,6,4136,0.02
context,6,2173,0.02
streams,6,2180,0.24
json,6,4351,0.1
exception,6,3158,0.0
override,6,1975,0.01
key,6,1686,0.02
properties,5,1256,0.06
map,5,1553,0.01
org,5,1801,0.01
logger,5,1023,0.02
ibm,4,3342,0.42
service,4,1117,0.03
add,4,1904,0.01
list,4,1605,0.0
client,4,848,0.03
url,4,1126,0.02
data,4,1595,0.01
apache,4,1671,0.07
config,4,1947,0.04
topology,3,2636,0.32
types,3,612,0.02
file,3,1352,0.01
message,3,989,0.02
input,3,1054,0.01
topic,3,1101,0.09
http,3,1058,0.03
output,3,1437,0.03
tuple,3,1476,0.16
operator,3,1610,0.14
store,3,332,0.02
status,3,450,0.01
utils,3,979,0.01
port,3,785,0.04
record,3,484,0.02
field,3,703,0.02
state,3,893,0.01
info,3,878,0.02
time,3,1816,0.04
put,3,738,0.01
streamsx,2,2548,0.51
code,2,690,0.02
model,2,607,0.01
result,2,704,0.01
event,2,1863,0.03
spl,2,903,0.16
gson,2,1010,0.08
request,2,649,0.01
response,2,714,0.02
servlet,2,356,0.02
trace,2,598,0.03
print,2,342,0.01
description,2,279,0.01
level,2,771,0.04
springframework,2,57,0.0
connection,2,491,0.02
args,2,609,0.02
receiver,2,30,0.0
api,2,277,0.01
factory,2,1009,0.02
application,2,225,0.01
format,2,753,0.02
streaming,2,553,0.07
fields,2,297,0.02
mode,2,384,0.02
metadata,2,285,0.02
append,2,1049,0.02
count,2,787,0.02
property,2,1160,0.03
kafka,2,717,0.07
builder,2,1040,0.01
producer,2,286,0.03
serde,2,156,0.03
props,2,320,0.03
job,2,699,0.05
health,1,391,0.05
observation,1,320,0.05
reading,1,333,0.06
patient,1,282,0.05
option,1,297,0.01
uom,1,220,0.04
converter,1,295,0.02
params,1,537,0.02
ingest,1,147,0.02
topo,1,152,0.03
vines,1,145,0.03
version,1,453,0.02
fhir,1,135,0.03
serial,1,227,0.02
query,1,164,0.01
attribute,1,266,0.01
content,1,279,0.01
ssl,1,250,0.03
header,1,227,0.01
parameter,1,355,0.01
uri,1,238,0.01
auth,1,308,0.02
body,1,181,0.01
method,1,176,0.01
entity,1,451,0.02
optional,1,252,0.02
authentication,1,83,0.01
attributes,1,64,0.0
redis,1,68,0.01
core,1,247,0.01
vote,1,24,0.0
paluch,1,14,0.0
commands,1,95,0.01
poll,1,45,0.01
lettuce,1,13,0.0
reactive,1,16,0.0
streamfeaturepoll,1,14,0.0
web,1,30,0.0
annotation,1,282,0.01
biz,1,14,0.0
bind,1,105,0.01
template,1,17,0.0
lombok,1,35,0.0
mono,1,21,0.0
required,1,112,0.01
post,1,179,0.01
constructor,1,26,0.0
feature,1,15,0.0
stateful,1,13,0.0
boot,1,14,0.0
configuration,1,294,0.01
server,1,175,0.01
construct,1,6,0.0
controller,1,49,0.0
pulsar,1,1309,0.25
schema,1,1689,0.11
flink,1,776,0.15
table,1,843,0.02
row,1,650,0.03
options,1,528,0.02
range,1,397,0.03
connectors,1,236,0.04
topics,1,158,0.02
catalog,1,248,0.04
admin,1,247,0.03
serialization,1,303,0.04
logical,1,205,0.03
deserialization,1,199,0.04
sink,1,1589,0.21
source,1,1328,0.04
jkoolcloud,1,632,0.13
activity,1,498,0.02
msg,1,566,0.04
dump,1,483,0.08
log,1,686,0.01
tracking,1,369,0.05
usec,1,329,0.06
listener,1,336,0.01
snapshot,1,354,0.04
tracker,1,307,0.04
thread,1,518,0.02
error,1,576,0.01
entry,1,560,0.02
label,1,279,0.01
ttl,1,245,0.05
start,1,576,0.01
stats,1,244,0.02
formatter,1,268,0.03
obj,1,352,0.02
invoice,1,255,0.05
learningjournal,1,203,0.04
examples,1,203,0.02
item,1,319,0.01
guru,1,203,0.04
configs,1,124,0.01
lang,1,286,0.01
app,1,365,0.01
pos,1,273,0.01
total,1,261,0.02
with,1,404,0.01
serdes,1,110,0.02
fasterxml,1,133,0.01
jackson,1,136,0.01
created,1,125,0.01
number,1,273,0.01
sequence,1,123,0.01
include,1,155,0.02
emoji,1,167,0.02
emojis,1,53,0.01
top,1,102,0.01
counts,1,59,0.01
consumer,1,232,0.02
tweets,1,34,0.01
github,1,31,0.0
hpgrahsl,1,31,0.01
deserializer,1,135,0.02
flux,1,31,0.0
tweet,1,24,0.0
serializer,1,381,0.03
max,1,215,0.0
common,1,228,0.01
limit,1,45,0.0
servers,1,51,0.01
window,1,509,0.04
punctuation,1,169,0.03
resource,1,480,0.02
out,1,414,0.01
system,1,506,0.01
ports,1,139,0.02
javax,1,244,0.01
println,1,197,0.01
path,1,662,0.01
internal,1,1070,0.07
array,1,1159,0.01
function,1,915,0.03
build,1,755,0.03
graph,1,603,0.04
element,1,652,0.02
submission,1,536,0.08
rest,1,509,0.04
condition,1,403,0.04
tester,1,420,0.09
functional,1,406,0.07
create,1,684,0.01
instance,1,560,0.01
