keyword,doc_freq,total_freq,tfidf
get,49,36879,0.0
string,44,22659,0.0
java,43,9819,0.0
set,38,12889,0.01
exception,37,10520,0.01
util,35,7997,0.01
override,32,9517,0.01
map,32,10290,0.02
value,32,9928,0.02
stream,29,11221,0.05
com,26,5263,0.01
name,26,9220,0.01
list,25,10911,0.01
org,21,10788,0.03
data,20,7848,0.02
type,19,9624,0.02
size,18,6713,0.02
object,18,5318,0.02
context,17,6034,0.03
array,17,4466,0.01
key,17,6475,0.03
add,16,4911,0.01
builder,15,3968,0.02
source,14,5169,0.06
state,13,4636,0.03
out,13,3983,0.03
time,13,5425,0.05
listener,12,2694,0.02
config,12,4720,0.04
system,12,3766,0.04
next,12,2766,0.04
function,12,2906,0.04
android,11,1557,0.01
url,11,1974,0.02
put,11,2500,0.02
input,11,3125,0.02
node,11,9249,0.07
count,11,3286,0.03
file,11,4742,0.01
max,11,3668,0.04
result,11,2582,0.01
message,10,3204,0.02
request,10,3259,0.03
view,10,3464,0.03
,10,3047,
index,10,4938,0.02
length,10,5727,0.03
format,10,8190,0.11
audio,9,4175,0.16
service,9,3208,0.03
start,9,3028,0.03
hash,9,3397,0.03
entry,9,4559,0.05
integer,9,2772,0.03
predicate,9,1077,0.03
json,9,4778,0.05
path,8,2998,0.01
http,8,850,0.01
status,8,1906,0.02
error,8,3185,0.02
current,8,2764,0.03
factory,8,2311,0.02
buffer,8,6096,0.08
log,8,7218,0.05
date,8,849,0.01
media,7,4739,0.13
response,7,2862,0.03
logger,7,2957,0.02
test,7,1748,0.02
reader,7,1230,0.02
apache,7,1666,0.03
item,7,1844,0.02
left,7,1759,0.04
right,7,1646,0.04
field,7,2500,0.02
manager,6,2479,0.02
player,6,1830,0.06
filter,6,1551,0.02
content,6,786,0.01
activity,6,1016,0.01
record,6,2308,0.05
server,6,2818,0.04
streams,6,1926,0.09
action,6,1025,0.01
output,6,2884,0.02
property,6,2288,0.02
metadata,6,2433,0.05
thread,6,2224,0.04
video,6,2674,0.1
objects,6,1380,0.03
non,6,1625,0.03
optional,6,1568,0.04
annotation,6,1150,0.02
stack,5,1336,0.02
kafka,5,1625,0.07
user,5,897,0.01
client,5,2544,0.03
springframework,5,519,0.01
println,5,1402,0.02
with,5,1392,0.02
number,5,1492,0.02
operator,5,243,0.01
layout,5,4192,0.05
text,5,1565,0.01
configuration,5,1127,0.01
utils,5,2148,0.01
query,5,1880,0.03
model,5,971,0.01
parser,5,1607,0.03
writer,5,952,0.02
uri,5,510,0.01
parse,5,884,0.02
throwable,5,965,0.04
and,5,1017,0.03
unit,5,1319,0.03
table,5,3439,0.04
event,5,4162,0.03
tag,5,1045,0.01
control,5,2068,0.06
args,5,1235,0.01
collect,5,810,0.04
empty,5,2265,0.05
offset,5,3767,0.07
group,5,1786,0.03
properties,5,1393,0.03
application,4,326,0.01
javax,4,1811,0.03
consumer,4,987,0.03
concurrent,4,1367,0.05
core,4,673,0.01
topic,4,2212,0.07
channel,4,1640,0.03
build,4,1587,0.02
app,4,679,0.01
connection,4,661,0.01
image,4,792,0.01
target,4,1287,0.02
line,4,796,0.01
charset,4,301,0.01
root,4,1465,0.03
row,4,906,0.02
mapper,4,716,0.02
has,4,948,0.03
binary,4,403,0.02
create,4,2039,0.02
base,4,1326,0.02
column,4,746,0.01
command,4,1345,0.02
write,4,1915,0.03
params,4,1608,0.02
meta,4,921,0.03
local,4,1507,0.03
api,4,773,0.01
stats,4,1663,0.05
info,4,2650,0.02
num,4,1395,0.03
apply,4,857,0.03
types,4,541,0.01
iterable,4,1180,0.06
find,4,1247,0.02
controller,4,317,0.01
all,4,1652,0.03
end,4,1496,0.03
google,4,764,0.01
header,4,1380,0.03
values,4,1328,0.01
tree,4,2021,0.04
token,4,1602,0.02
intent,3,551,0.01
react,3,266,0.01
receiver,3,311,0.01
streaming,3,553,0.03
notification,3,333,0.01
facebook,3,87,0.0
send,3,1138,0.03
stop,3,966,0.03
views,3,265,0.01
session,3,956,0.01
future,3,1058,0.03
call,3,543,0.01
impl,3,2448,0.06
address,3,2654,0.06
bitmap,3,405,0.01
support,3,361,0.01
nodes,3,816,0.02
take,3,121,0.01
accumulator,3,112,0.01
provider,3,858,0.02
settings,3,563,0.01
description,3,434,0.01
page,3,781,0.02
runtime,3,4941,0.12
msg,3,3530,0.1
lombok,3,1200,0.03
store,3,1707,0.04
update,3,1393,0.03
min,3,1661,0.03
graph,3,555,0.01
component,3,992,0.02
props,3,688,0.03
sink,3,2023,0.11
tracking,3,707,0.04
main,3,680,0.01
duration,3,1120,0.04
quality,3,509,0.03
collection,3,749,0.02
big,3,538,0.02
require,3,513,0.02
decimal,3,287,0.01
other,3,834,0.03
supplier,3,338,0.02
iterator,3,2059,0.04
comparator,3,877,0.04
from,3,1513,0.02
element,3,1009,0.01
sum,3,1155,0.05
repository,3,589,0.01
web,3,384,0.01
collector,3,352,0.02
read,3,2203,0.03
gson,3,830,0.03
obj,3,874,0.02
constructor,3,520,0.02
fields,3,501,0.01
insert,3,751,0.03
items,3,493,0.01
keys,3,330,0.01
val,3,1081,0.03
mode,2,921,0.02
broadcast,2,101,0.01
playing,2,103,0.01
events,2,179,0.01
play,2,180,0.01
binder,2,55,0.0
param,2,416,0.01
producer,2,325,0.02
username,2,146,0.0
delay,2,473,0.02
check,2,1306,0.02
example,2,269,0.01
stub,2,194,0.01
run,2,564,0.01
interval,2,588,0.02
junit,2,724,0.02
typed,2,400,0.02
registry,2,1100,0.03
compat,2,133,0.0
word,2,514,0.01
trie,2,512,0.04
parent,2,888,0.02
words,2,199,0.01
remove,2,1418,0.04
leaf,2,201,0.01
prefix,2,668,0.02
buffered,2,365,0.01
charsets,2,86,0.01
push,2,727,0.03
benchmark,2,337,0.02
cell,2,90,0.0
ref,2,388,0.01
flat,2,157,0.01
button,2,496,0.01
fail,2,185,0.01
visibility,2,232,0.01
click,2,329,0.01
observable,2,239,0.01
enabled,2,1002,0.03
custom,2,332,0.01
email,2,74,0.0
network,2,289,0.01
rdf,2,88,0.01
csv,2,240,0.01
jena,2,25,0.0
subject,2,150,0.01
lib,2,168,0.01
triple,2,18,0.0
option,2,500,0.01
construct,2,83,0.01
atomic,2,851,0.04
github,2,494,0.01
queue,2,1036,0.03
child,2,692,0.02
functions,2,275,0.01
internal,2,596,0.02
socket,2,917,0.02
helper,2,582,0.01
cluster,2,1871,0.06
uuid,2,1277,0.04
snapshot,2,1472,0.07
sample,2,1293,0.03
grouping,2,256,0.02
year,2,83,0.01
person,2,112,0.01
script,2,224,0.01
formatter,2,359,0.02
print,2,575,0.01
engine,2,1186,0.03
track,2,960,0.04
camera,2,325,0.01
device,2,3186,0.09
connect,2,905,0.04
codec,2,1265,0.05
frame,2,1961,0.04
