keyword,doc_freq,total_freq,tfidf
get,3,8283,0.0
set,3,6635,0.01
list,3,4250,0.01
size,3,3158,0.02
index,3,2545,0.03
length,3,2339,0.03
add,3,1929,0.01
exception,3,1862,0.0
java,3,1583,0.0
num,3,1242,0.05
data,2,6714,0.04
override,2,3560,0.01
util,2,1415,0.0
value,2,1393,0.01
vector,2,1343,0.08
array,2,1142,0.01
integer,2,1133,0.03
log,2,1042,0.01
val,2,797,0.04
file,2,829,0.0
stream,2,450,0.0
string,2,982,0.0
offset,2,214,0.01
input,2,388,0.01
output,2,291,0.01
name,2,503,0.0
system,2,319,0.01
buffer,2,278,0.01
out,2,561,0.01
training,2,253,0.03
type,2,260,0.0
vec,1,3542,0.43
jsat,1,3548,0.71
max,1,2138,0.05
point,1,1722,0.07
vecs,1,1011,0.2
clone,1,1694,0.18
copy,1,1561,0.11
dist,1,1491,0.14
utils,1,1032,0.01
math,1,1544,0.07
min,1,1396,0.06
matrix,1,1374,0.06
distance,1,1207,0.08
parallel,1,1276,0.13
alpha,1,1089,0.1
node,1,1041,0.02
score,1,973,0.07
base,1,1027,0.04
classifier,1,759,0.08
linear,1,1008,0.1
categorical,1,972,0.18
mean,1,845,0.11
values,1,645,0.02
weight,1,834,0.07
points,1,516,0.03
cache,1,930,0.04
random,1,820,0.05
rows,1,627,0.05
metric,1,725,0.07
arrays,1,498,0.03
sum,1,747,0.07
model,1,695,0.01
feature,1,552,0.03
loss,1,733,0.09
pos,1,593,0.03
sgdtk,1,137,0.03
org,1,147,0.0
learner,1,364,0.05
object,1,295,0.0
params,1,192,0.01
eta,1,591,0.12
sequence,1,108,0.01
reader,1,171,0.0
encoder,1,98,0.01
metrics,1,94,0.01
label,1,241,0.01
weights,1,564,0.07
labels,1,93,0.01
map,1,581,0.0
names,1,101,0.0
offsets,1,59,0.01
factory,1,71,0.0
println,1,103,0.0
frames,1,142,0.02
wav,1,167,0.03
frame,1,110,0.0
write,1,255,0.01
sample,1,496,0.03
read,1,222,0.01
files,1,23,0.0
logger,1,262,0.0
action,1,58,0.0
temp,1,197,0.01
button,1,37,0.0
str,1,59,0.0
command,1,36,0.0
chunk,1,47,0.0
state,1,152,0.0
mfcc,1,32,0.01
window,1,38,0.0
level,1,194,0.01
counter,1,52,0.0
layout,1,29,0.0
channels,1,29,0.0
accuracy,1,54,0.01
line,1,444,0.01
listener,1,47,0.0
awt,1,25,0.0
