keyword,doc_freq,total_freq,tfidf
list,11,6724,0.0
get,11,34320,0.0
override,9,3805,0.0
exception,9,7236,0.0
string,9,22768,0.0
set,8,10871,0.0
add,7,4201,0.01
value,7,5866,0.01
name,7,12663,0.02
java,7,5170,0.0
model,6,3592,0.02
util,6,3245,0.0
key,6,5895,0.03
item,5,928,0.01
log,5,3184,0.02
sync,5,2578,0.11
data,5,13442,0.04
items,4,252,0.01
com,4,979,0.0
result,4,3846,0.01
android,4,534,0.0
view,4,1096,0.01
activity,4,356,0.0
file,4,9480,0.02
text,4,1813,0.01
context,4,3297,0.02
update,3,2674,0.05
insert,3,1255,0.05
map,3,4027,0.01
type,3,6427,0.01
delete,3,1675,0.06
size,3,2756,0.01
service,3,7043,0.07
user,3,1943,0.02
info,3,3835,0.03
org,3,10988,0.03
client,3,1167,0.01
message,3,1735,0.01
table,3,13741,0.16
content,3,958,0.01
current,3,2810,0.03
state,3,1194,0.01
version,3,1807,0.03
node,3,10425,0.08
test,2,1663,0.02
optional,2,365,0.01
flowable,2,274,0.01
models,2,136,0.0
error,2,2209,0.02
integer,2,916,0.01
filter,2,1340,0.02
array,2,1661,0.0
sorting,2,83,0.01
mode,2,848,0.02
dao,2,62,0.0
all,2,1002,0.02
playmoweb,2,112,0.01
sort,2,165,0.01
group,2,2124,0.03
groups,2,177,0.01
config,2,1510,0.01
token,2,701,0.01
logger,2,2441,0.02
role,2,124,0.0
users,2,175,0.01
response,2,650,0.01
database,2,5483,0.11
values,2,2056,0.02
column,2,9301,0.14
intent,2,225,0.0
base,2,1022,0.02
create,2,2457,0.02
count,2,3509,0.03
element,2,804,0.01
put,2,2193,0.02
remove,2,1170,0.03
files,2,639,0.01
instance,2,712,0.01
layout,2,902,0.01
event,2,2637,0.02
query,2,1407,0.02
app,2,341,0.0
callback,2,404,0.01
find,2,946,0.01
where,2,309,0.02
time,2,5140,0.04
holder,2,337,0.01
edit,2,85,0.0
adapter,2,194,0.0
channel,2,2887,0.05
change,2,2702,0.07
core,2,1874,0.02
keys,2,1091,0.02
meta,2,2094,0.06
task,2,542,0.01
realm,2,516,0.02
equal,2,111,0.0
listener,2,1222,0.01
object,2,2823,0.01
observable,2,117,0.0
store,1,449,0.01
observer,1,270,0.01
flowables,1,40,0.0
flow,1,141,0.0
storage,1,227,0.01
synced,1,78,0.01
function,1,337,0.0
throwable,1,349,0.01
subscriber,1,49,0.0
apply,1,192,0.01
subscribe,1,61,0.0
with,1,999,0.01
should,1,172,0.01
equals,1,2536,0.03
flat,1,41,0.0
seconds,1,124,0.01
available,1,160,0.01
memory,1,241,0.01
clear,1,345,0.02
disposables,1,31,0.0
account,1,431,0.01
ldap,1,390,0.02
services,1,214,0.01
hlavki,1,208,0.02
identity,1,715,0.03
email,1,185,0.01
push,1,500,0.02
str,1,327,0.01
xml,1,619,0.01
gsuite,1,119,0.01
javax,1,663,0.01
suite,1,111,0.01
entry,1,559,0.01
google,1,214,0.0
configuration,1,805,0.01
admin,1,106,0.0
password,1,497,0.01
append,1,2723,0.02
members,1,69,0.0
claudiodegio,1,176,0.02
dbsync,1,176,0.02
record,1,519,0.01
metadata,1,201,0.0
drive,1,131,0.01
fragment,1,119,0.0
join,1,145,0.01
cloud,1,181,0.01
sample,1,141,0.0
cursor,1,395,0.01
status,1,2193,0.03
,1,559,
lite,1,112,0.01
open,1,388,0.01
json,1,131,0.0
provider,1,474,0.01
helper,1,165,0.0
bind,1,170,0.0
start,1,1963,0.02
queue,1,453,0.01
sub,1,214,0.01
lock,1,880,0.02
next,1,1145,0.02
priority,1,89,0.0
queues,1,38,0.0
not,1,874,0.01
old,1,847,0.03
unlock,1,61,0.0
idx,1,728,0.02
take,1,33,0.0
capacity,1,35,0.0
and,1,767,0.02
fully,1,297,0.02
total,1,418,0.01
signal,1,21,0.0
empty,1,397,0.01
selection,1,269,0.01
head,1,20,0.0
full,1,233,0.01
child,1,424,0.01
unit,1,119,0.0
blocking,1,21,0.0
enabled,1,1045,0.03
collection,1,337,0.01
concurrent,1,287,0.01
removed,1,58,0.0
multi,1,94,0.0
trail,1,11,0.0
last,1,2203,0.05
linked,1,208,0.01
decrement,1,11,0.0
jfs,1,2320,0.17
path,1,2134,0.01
stream,1,2047,0.01
enc,1,766,0.04
panel,1,871,0.02
pos,1,635,0.01
action,1,1391,0.01
src,1,578,0.02
volume,1,493,0.02
num,1,602,0.01
len,1,499,0.02
length,1,1880,0.01
root,1,1151,0.02
tgt,1,420,0.03
directory,1,756,0.02
copy,1,818,0.02
button,1,999,0.01
input,1,963,0.01
relative,1,396,0.02
out,1,767,0.01
producer,1,326,0.02
bits,1,236,0.01
events,1,316,0.01
comment,1,161,0.01
aws,1,35,0.0
tag,1,119,0.0
subscription,1,23,0.0
comments,1,74,0.0
apollo,1,20,0.0
amazonaws,1,26,0.0
call,1,84,0.0
appsync,1,15,0.0
nonnull,1,15,0.0
builder,1,1916,0.01
run,1,341,0.01
description,1,374,0.01
graph,1,12,0.0
mutation,1,12,0.0
sql,1,11215,0.21
jumpmind,1,7379,0.49
trigger,1,6511,0.29
symmetric,1,6510,0.52
batch,1,6057,0.19
types,1,3074,0.04
columns,1,2001,0.06
platform,1,4159,0.15
tables,1,1267,0.06
names,1,1342,0.02
row,1,3285,0.05
parameter,1,3141,0.05
engine,1,3072,0.08
source,1,3191,0.04
ddl,1,3029,0.26
utils,1,2360,0.01
constants,1,3045,0.06
router,1,2665,0.11
template,1,2711,0.07
target,1,2910,0.04
writer,1,2647,0.04
manager,1,2410,0.02
process,1,2622,0.06
network,1,1121,0.03
profile,1,780,0.02
index,1,2768,0.01
peer,1,624,0.03
exceptions,1,348,0.01
chunk,1,447,0.02
step,1,502,0.01
parameters,1,699,0.01
session,1,674,0.01
factory,1,1525,0.01
address,1,569,0.01
processes,1,361,0.03
security,1,1378,0.03
protection,1,327,0.02
hash,1,1655,0.02
locations,1,298,0.02
parent,1,753,0.02
encryption,1,424,0.02
permission,1,807,0.02
recycler,1,161,0.0
chat,1,160,0.01
room,1,91,0.0
can,1,298,0.02
menu,1,643,0.01
granted,1,54,0.0
rooms,1,32,0.0
project,1,54,0.0
support,1,233,0.0
widget,1,89,0.0
first,1,384,0.01
react,1,43,0.0
dialog,1,220,0.0
check,1,516,0.01
box,1,300,0.01
body,1,111,0.0
inflater,1,51,0.0
todo,1,31,0.0
kvp,1,83,0.01
application,1,173,0.0
post,1,764,0.02
example,1,53,0.0
component,1,539,0.01
api,1,248,0.0
than,1,83,0.0
posts,1,32,0.0
main,1,179,0.0
module,1,26,0.0
greater,1,56,0.0
injection,1,19,0.0
inject,1,18,0.0
command,1,1065,0.01
commands,1,335,0.01
saxsys,1,405,0.03
synchronizefx,1,405,0.04
property,1,1042,0.01
executor,1,368,0.01
server,1,1478,0.02
synchronize,1,269,0.03
metamodel,1,203,0.02
repair,1,184,0.01
serializer,1,322,0.01
uuid,1,253,0.01
netty,1,153,0.01
kryo,1,143,0.01
from,1,946,0.01
local,1,530,0.01
position,1,363,0.01
topology,1,103,0.01
registry,1,118,0.0
lists,1,52,0.0
replace,1,708,0.03
field,1,566,0.01
handler,1,691,0.01
connection,1,1451,0.02
