keyword,doc_freq,total_freq,tfidf
string,4,3367,0.0
type,4,1900,0.01
token,3,11732,0.39
current,3,2270,0.06
java,3,1632,0.0
length,3,905,0.01
get,3,5146,0.0
list,3,921,0.0
text,3,3842,0.04
override,3,1137,0.0
pos,2,3990,0.2
read,2,3315,0.1
packed,2,2347,0.45
offset,2,3432,0.14
buffer,2,1405,0.04
result,2,1944,0.02
marked,2,2281,0.33
end,2,2587,0.1
action,2,2898,0.07
start,2,5179,0.11
state,2,1784,0.03
count,2,1577,0.03
unpack,2,1297,0.25
input,2,1006,0.01
reader,2,987,0.03
value,2,1050,0.0
error,2,1148,0.02
attribute,2,742,0.03
map,2,1687,0.01
attributes,2,391,0.02
file,2,899,0.0
set,2,1351,0.0
util,2,520,0.0
find,2,197,0.01
name,2,646,0.0
settings,2,122,0.01
add,2,3243,0.01
types,2,453,0.01
script,1,528,0.04
eof,1,751,0.13
high,1,378,0.04
trans,1,797,0.09
character,1,287,0.03
blocks,1,248,0.02
cmap,1,421,0.08
surrogate,1,225,0.04
top,1,314,0.02
unpackcmap,1,200,0.04
sql,1,183,0.01
row,1,514,0.02
yycolumn,1,158,0.03
lisp,1,167,0.03
peek,1,158,0.02
yyline,1,150,0.03
code,1,515,0.01
php,1,248,0.04
sharp,1,144,0.03
groovy,1,145,0.03
cpp,1,130,0.02
kotlin,1,138,0.03
lexical,1,453,0.07
num,1,206,0.01
view,1,648,0.01
files,1,152,0.0
android,1,97,0.0
path,1,135,0.0
dialog,1,79,0.0
ext,1,71,0.01
uri,1,75,0.0
menu,1,291,0.01
media,1,63,0.0
layout,1,81,0.0
info,1,258,0.0
mime,1,59,0.01
selection,1,309,0.02
recent,1,53,0.01
query,1,51,0.0
intent,1,49,0.0
size,1,503,0.0
show,1,119,0.01
image,1,204,0.01
directory,1,60,0.0
item,1,197,0.0
data,1,245,0.0
context,1,197,0.0
msg,1,313,0.02
storage,1,37,0.0
favourites,1,36,0.01
activity,1,37,0.0
holder,1,40,0.0
icon,1,542,0.03
args,1,67,0.0
listener,1,423,0.01
array,1,484,0.0
sort,1,39,0.0
drawable,1,33,0.0
metadata,1,32,0.0
line,1,2563,0.06
area,1,2216,0.22
fold,1,1085,0.16
color,1,1103,0.03
syntax,1,1042,0.14
index,1,961,0.01
comment,1,915,0.08
internal,1,777,0.05
first,1,775,0.05
exception,1,867,0.0
font,1,693,0.05
event,1,687,0.01
put,1,687,0.01
style,1,701,0.05
document,1,643,0.03
literal,1,715,0.09
yybegin,1,709,0.17
offs,1,545,0.13
psi,1,1366,0.2
rythm,1,1195,0.28
element,1,1324,0.04
com,1,857,0.0
visitor,1,575,0.05
intellij,1,508,0.07
node,1,372,0.01
not,1,416,0.01
rythmplugin,1,302,0.07
,1,672,
ast,1,233,0.03
impl,1,571,0.03
accept,1,209,0.02
visit,1,170,0.01
language,1,489,0.04
jetbrains,1,172,0.02
annotations,1,172,0.01
org,1,660,0.0
consume,1,145,0.02
section,1,146,0.02
nullable,1,130,0.01
wrapper,1,119,0.01
builder,1,235,0.0
lang,1,249,0.01
tree,1,93,0.0
key,1,577,0.01
reference,1,91,0.01
expression,1,102,0.01
minus,1,100,0.01
plus,1,107,0.01
project,1,78,0.0
create,1,286,0.01
bit,1,79,0.01
guard,1,66,0.01
marker,1,164,0.02
