keyword,doc_freq,total_freq,tfidf
string,2,296,0.0
get,2,192,0.0
value,2,92,0.01
put,2,71,0.04
array,2,65,0.01
text,2,63,0.02
name,2,64,0.01
list,2,60,0.0
size,2,45,0.01
org,2,58,0.01
vector,1,50,0.1
pointer,1,51,0.13
second,1,43,0.13
pair,1,51,0.1
first,1,39,0.07
fta,1,31,0.17
length,1,33,0.01
std,1,24,0.09
label,1,21,0.02
cast,1,22,0.09
fast,1,21,0.08
allocate,1,20,0.09
model,1,17,0.01
ref,1,14,0.03
prob,1,14,0.06
info,1,13,0.01
file,1,13,0.0
predict,1,12,0.05
proba,1,12,0.07
strings,1,6,0.01
real,1,12,0.04
predictions,1,12,0.07
load,1,11,0.02
args,1,11,0.01
test,1,10,0.01
word,1,9,0.02
wrapper,1,9,0.02
bytedeco,1,8,0.03
min,1,13,0.02
val,1,8,0.01
javacpp,1,8,0.03
api,1,8,0.01
words,1,10,0.03
loader,1,7,0.01
log,1,7,0.0
cmd,1,7,0.02
index,1,7,0.0
run,1,12,0.02
labels,1,5,0.01
types,1,6,0.01
response,1,134,0.09
learn,1,103,0.58
json,1,125,0.09
monkey,1,103,0.5
http,1,102,0.1
header,1,70,0.1
headers,1,66,0.14
object,1,56,0.02
module,1,56,0.1
request,1,52,0.03
exception,1,64,0.0
url,1,53,0.04
data,1,53,0.01
monkeylearn,1,45,0.27
client,1,50,0.04
com,1,49,0.01
endpoint,1,43,0.12
sleep,1,43,0.19
apache,1,35,0.05
params,1,35,0.04
token,1,38,0.04
param,1,30,0.04
throttled,1,31,0.19
batch,1,28,0.07
user,1,25,0.02
tuple,1,26,0.08
agent,1,25,0.06
settings,1,23,0.03
category,1,21,0.05
base,1,21,0.02
result,1,22,0.01
entity,1,22,0.03
samples,1,20,0.07
add,1,23,0.0
java,1,22,0.0
simple,1,15,0.03
categories,1,17,0.06
make,1,15,0.05
requests,1,10,0.03
method,1,15,0.01
