keyword,doc_freq,total_freq,tfidf
string,17,19475,0.0
get,16,33531,0.0
set,16,14590,0.01
text,13,9409,0.05
file,13,10473,0.03
override,12,5824,0.01
action,12,7213,0.09
list,12,7968,0.01
add,11,9581,0.02
java,11,9176,0.0
listener,10,3692,0.03
value,10,6702,0.01
type,10,11934,0.03
editor,9,4235,0.16
name,9,8756,0.02
menu,8,3436,0.07
color,8,5257,0.08
view,8,4589,0.04
item,8,2813,0.03
button,8,4336,0.06
context,7,4130,0.02
com,7,5242,0.02
event,7,4694,0.04
util,7,3951,0.01
image,7,3751,0.05
content,6,1535,0.02
exception,6,4093,0.0
edit,6,2152,0.07
component,6,2770,0.06
path,6,3305,0.02
size,6,3664,0.01
layout,6,2857,0.04
start,6,2509,0.03
model,6,5092,0.03
node,5,6230,0.06
android,5,1416,0.02
widget,5,780,0.02
input,5,2199,0.01
activity,5,1155,0.02
click,5,666,0.01
key,5,4619,0.03
swing,5,4288,0.13
awt,5,2894,0.1
files,5,815,0.01
current,5,3368,0.05
line,4,2718,0.03
dialog,4,2846,0.06
app,4,1245,0.02
message,4,1448,0.01
create,4,1795,0.02
put,4,3282,0.03
manager,4,1594,0.02
data,4,2693,0.01
javax,4,3580,0.06
panel,4,4377,0.1
fragment,4,686,0.02
array,4,2779,0.01
length,4,2836,0.02
state,4,2425,0.02
map,4,7598,0.02
code,4,2964,0.04
change,4,989,0.03
selected,4,3992,0.14
block,3,2630,0.06
tree,3,2371,0.05
intent,3,634,0.01
font,3,1300,0.05
light,3,914,0.05
toast,3,171,0.01
project,3,1919,0.05
settings,3,1320,0.03
support,3,360,0.01
end,3,2233,0.04
utils,3,2909,0.02
result,3,5565,0.02
attribute,3,1877,0.04
row,3,1035,0.02
find,3,1953,0.03
height,3,1495,0.03
width,3,1658,0.03
org,3,3402,0.01
index,3,4655,0.02
icon,3,2312,0.06
statement,2,3796,0.1
variable,2,800,0.03
translation,2,804,0.04
variables,2,340,0.02
root,2,1839,0.05
frame,2,1390,0.03
application,2,697,0.01
compat,2,253,0.01
reader,2,794,0.01
buffered,2,456,0.01
save,2,751,0.03
btn,2,125,0.01
pref,2,720,0.04
build,2,834,0.01
bundle,2,894,0.02
field,2,2226,0.03
border,2,1846,0.07
pane,2,1451,0.04
box,2,1905,0.05
json,2,640,0.01
enabled,2,966,0.03
preference,2,409,0.02
insert,2,350,0.02
web,2,428,0.01
builder,2,2166,0.01
format,2,1528,0.02
pattern,2,1045,0.02
replace,2,979,0.04
pos,2,2148,0.05
offset,2,2827,0.06
buffer,2,2663,0.04
count,2,1700,0.02
num,2,1640,0.03
directory,2,475,0.01
style,2,872,0.03
table,2,1558,0.02
texture,2,1094,0.04
scene,2,1391,0.04
descriptor,2,1796,0.05
transform,2,893,0.04
commons,2,768,0.03
label,2,2814,0.05
window,2,865,0.03
handler,2,1015,0.01
grid,2,2630,0.1
logger,2,2713,0.02
element,2,1976,0.03
select,2,1819,0.07
open,2,896,0.03
options,2,1487,0.02
mode,2,1182,0.03
tool,2,1141,0.05
algogo,1,1200,0.11
xyz,1,1076,0.07
core,1,898,0.01
atom,1,591,0.04
expression,1,1081,0.03
algorithm,1,619,0.02
evaluator,1,520,0.03
language,1,669,0.02
function,1,1209,0.02
identifier,1,431,0.02
desktop,1,432,0.03
statements,1,184,0.01
number,1,936,0.02
comment,1,418,0.02
print,1,784,0.01
big,1,260,0.01
typeface,1,139,0.01
theme,1,370,0.02
views,1,62,0.0
permission,1,162,0.01
uri,1,1215,0.02
mono,1,39,0.0
remote,1,33,0.0
stream,1,1403,0.01
checked,1,267,0.02
preferences,1,791,0.03
paint,1,405,0.02
retro,1,18,0.0
popup,1,509,0.04
external,1,169,0.01
storage,1,295,0.01
resource,1,1089,0.02
jvms,1,162,0.02
resources,1,238,0.01
keys,1,436,0.01
locale,1,566,0.02
structure,1,170,0.01
parent,1,1724,0.04
show,1,1495,0.04
property,1,543,0.01
entity,1,87,0.0
inflater,1,182,0.01
history,1,569,0.02
bind,1,178,0.0
title,1,1142,0.03
shared,1,317,0.01
github,1,140,0.0
gsantner,1,514,0.05
net,1,645,0.01
markor,1,505,0.05
dopt,1,496,0.05
search,1,889,0.02
callback,1,516,0.01
res,1,853,0.02
document,1,798,0.02
token,1,3210,0.05
read,1,2334,0.04
packed,1,995,0.09
marked,1,727,0.05
unpack,1,439,0.04
script,1,634,0.02
eof,1,397,0.03
error,1,1325,0.01
high,1,292,0.02
trans,1,320,0.02
character,1,402,0.02
blocks,1,468,0.02
cmap,1,233,0.02
surrogate,1,226,0.02
top,1,542,0.02
unpackcmap,1,200,0.02
attributes,1,725,0.02
sql,1,178,0.0
yycolumn,1,160,0.02
lisp,1,157,0.01
peek,1,212,0.01
yyline,1,152,0.01
php,1,160,0.01
sharp,1,140,0.01
groovy,1,138,0.01
cpp,1,136,0.01
kotlin,1,130,0.01
lexical,1,137,0.01
tab,1,486,0.02
span,1,283,0.02
scroll,1,826,0.04
kodis,1,44,0.01
pager,1,82,0.0
changed,1,938,0.04
adapter,1,946,0.02
position,1,1466,0.03
bottom,1,176,0.01
spans,1,52,0.0
reached,1,24,0.0
rich,1,128,0.01
justify,1,60,0.01
joker,1,52,0.01
richeditor,1,50,0.01
html,1,539,0.02
load,1,1006,0.03
keyboard,1,120,0.01
setting,1,224,0.01
drawable,1,360,0.01
gdx,1,520,0.03
handle,1,1011,0.03
terrain,1,531,0.04
mundus,1,460,0.04
asset,1,1050,0.05
mbrlabs,1,395,0.04
badlogic,1,389,0.03
object,1,3244,0.02
splat,1,224,0.02
assets,1,143,0.01
game,1,292,0.01
graphics,1,582,0.02
shader,1,221,0.01
meta,1,482,0.02
scale,1,1074,0.03
batch,1,205,0.01
vertex,1,745,0.03
uniform,1,153,0.01
material,1,787,0.04
picker,1,391,0.02
interval,1,174,0.01
time,1,855,0.01
bar,1,615,0.02
date,1,615,0.01
jaret,1,95,0.01
tbv,1,98,0.01
filter,1,896,0.02
timeline,1,83,0.01
media,1,142,0.0
filters,1,103,0.0
marker,1,131,0.01
controller,1,776,0.02
system,1,791,0.01
spinner,1,442,0.03
intervals,1,29,0.0
mat,1,445,0.02
viewer,1,307,0.02
println,1,128,0.0
consumer,1,79,0.0
rect,1,333,0.01
video,1,50,0.0
out,1,915,0.01
frames,1,243,0.01
exprent,1,2944,0.28
decompiler,1,2571,0.21
var,1,2653,0.08
method,1,2666,0.04
insn,1,2205,0.14
opcodes,1,1842,0.15
append,1,3052,0.03
visit,1,2069,0.08
constants,1,1914,0.04
annotation,1,2492,0.04
opcode,1,1218,0.07
stack,1,1838,0.04
jetbrains,1,1525,0.09
constant,1,1001,0.04
edge,1,1433,0.05
stat,1,1309,0.07
types,1,409,0.01
lst,1,1239,0.09
visitor,1,1143,0.05
desc,1,1273,0.06
buf,1,1034,0.03
paulinternet,1,502,0.06
gtasaveedit,1,404,0.05
selectable,1,282,0.03
savegame,1,279,0.03
items,1,598,0.01
ybox,1,190,0.02
dir,1,584,0.02
tag,1,761,0.01
connected,1,178,0.01
tags,1,149,0.01
page,1,524,0.01
buttons,1,355,0.02
xbox,1,121,0.01
nonnull,1,3608,0.17
topic,1,3040,0.12
igormaznitsa,1,2245,0.2
bag,1,1964,0.1
constraints,1,1968,0.1
mind,1,1795,0.19
mindmap,1,1346,0.14
extra,1,1299,0.05
nullable,1,1288,0.04
topics,1,405,0.02
folder,1,1387,0.06
visnode,1,901,0.08
process,1,1225,0.03
user,1,1089,0.01
challenge,1,568,0.05
mission,1,542,0.04
factory,1,1346,0.01
output,1,1334,0.01
gui,1,601,0.03
container,1,708,0.02
connection,1,296,0.01
paim,1,222,0.02
mouse,1,1105,0.05
repository,1,210,0.01
area,1,406,0.02
option,1,1092,0.02
about,1,237,0.02
stroke,1,477,0.03
main,1,1119,0.02
toolbar,1,159,0.01
drop,1,351,0.03
all,1,1580,0.04
source,1,1633,0.02
clear,1,556,0.03
completion,1,76,0.01
close,1,587,0.02
tip,1,241,0.02
cgm,1,2674,0.28
maud,1,2324,0.24
spatial,1,2269,0.16
bone,1,1870,0.19
track,1,1742,0.09
target,1,2124,0.03
anim,1,1081,0.06
animation,1,1164,0.05
control,1,1090,0.04
prefix,1,1265,0.05
shape,1,1041,0.04
names,1,704,0.01
tracks,1,415,0.03
skeleton,1,786,0.07
old,1,1166,0.05
clone,1,949,0.05
mesh,1,792,0.05
column,1,274,0.0
vaadin,1,192,0.01
col,1,294,0.01
columns,1,192,0.01
focus,1,535,0.03
client,1,147,0.0
demo,1,104,0.0
cell,1,472,0.02
listeners,1,377,0.02
widgets,1,48,0.0
renderer,1,580,0.03
delete,1,486,0.02
patrik,1,60,0.01
navigation,1,108,0.01
enable,1,201,0.01
