keyword,doc_freq,total_freq,tfidf
size,1,194,0.08
get,1,152,0.0
string,1,123,0.0
width,1,103,0.21
android,1,101,0.12
height,1,102,0.22
camera,1,97,0.36
image,1,81,0.11
view,1,78,0.07
preview,1,73,0.38
set,1,72,0.0
text,1,60,0.04
paint,1,51,0.21
bitmap,1,55,0.16
texture,1,48,0.18
log,1,45,0.03
logger,1,55,0.05
callback,1,42,0.11
override,1,50,0.01
matrix,1,42,0.11
canvas,1,41,0.18
capture,1,39,0.19
activity,1,40,0.06
request,1,39,0.04
util,1,35,0.0
list,1,38,0.0
sizes,1,18,0.12
input,1,33,0.02
java,1,32,0.0
surface,1,32,0.13
format,1,30,0.05
name,1,29,0.01
handler,1,30,0.04
thread,1,29,0.06
graphics,1,27,0.1
reachsumit,1,25,0.28
args,1,26,0.04
yuv,1,26,0.26
min,1,27,0.06
whichcaristhat,1,25,0.28
results,1,26,0.08
scale,1,26,0.09
rotation,1,28,0.14
manager,1,26,0.03
stride,1,24,0.24
message,1,25,0.02
com,1,25,0.01
draw,1,24,0.1
permission,1,23,0.08
session,1,23,0.04
