keyword,doc_freq,total_freq,tfidf
get,21,48084,0.0
set,20,22037,0.01
string,18,40032,0.0
value,16,8455,0.01
text,15,12417,0.05
java,15,9035,0.0
exception,14,19142,0.01
override,13,6149,0.01
com,13,8468,0.02
name,13,13788,0.02
util,13,6205,0.01
list,12,9069,0.01
listener,10,2826,0.02
context,10,5786,0.02
translation,10,3831,0.15
file,10,9758,0.02
org,10,8219,0.02
view,9,9724,0.06
android,9,4238,0.03
object,9,4896,0.02
key,9,6867,0.03
add,8,4596,0.01
stream,8,8222,0.03
layout,7,2301,0.02
activity,7,2201,0.02
content,7,3276,0.03
map,7,6565,0.01
utils,7,3642,0.02
source,7,6817,0.07
url,7,4003,0.03
intent,6,1946,0.03
item,6,7030,0.06
action,6,2118,0.02
data,6,5821,0.01
service,6,5524,0.05
app,6,1267,0.01
json,6,4526,0.04
locale,6,5728,0.17
language,6,4540,0.13
type,6,7621,0.01
array,6,3205,0.01
result,6,6224,0.02
create,6,4406,0.03
path,6,4352,0.02
translate,5,964,0.04
manager,5,2908,0.02
length,5,4916,0.02
tag,5,3045,0.03
index,5,6560,0.03
size,5,4136,0.01
state,5,5109,0.03
info,5,5881,0.04
test,5,7716,0.07
support,4,510,0.01
show,4,1575,0.03
button,4,1403,0.01
put,4,4158,0.03
writer,4,1832,0.03
reader,4,1840,0.02
resources,4,859,0.02
annotation,4,2606,0.03
field,4,1984,0.02
error,4,6444,0.04
javax,4,1445,0.02
message,4,3028,0.02
api,4,2861,0.03
impl,4,1153,0.02
params,4,1034,0.01
client,4,2047,0.02
logger,4,4848,0.03
find,3,1683,0.02
response,3,1779,0.01
title,3,1096,0.02
holder,3,1523,0.03
,3,3332,
non,3,2491,0.04
strings,3,595,0.02
format,3,2259,0.03
builder,3,3697,0.02
target,3,2854,0.03
line,3,2258,0.02
model,3,1267,0.01
node,3,2035,0.01
log,3,1972,0.01
androidx,3,1304,0.04
fragment,3,2345,0.04
animation,3,715,0.02
animator,3,496,0.02
start,3,2390,0.02
scale,3,709,0.02
bitmap,3,640,0.01
duration,3,1035,0.03
github,3,619,0.01
helper,3,1932,0.04
selected,3,1635,0.04
equals,3,5614,0.05
files,3,697,0.01
swing,3,464,0.01
input,3,2503,0.01
event,3,2127,0.01
panel,3,355,0.01
component,3,2505,0.04
connection,3,8997,0.12
status,3,1940,0.02
request,3,2615,0.02
springframework,3,2262,0.04
factory,3,2855,0.02
param,3,2953,0.05
preference,2,1130,0.03
click,2,836,0.01
image,2,1179,0.01
dialog,2,1555,0.02
bar,2,853,0.02
web,2,840,0.01
widget,2,613,0.01
big,2,2176,0.06
decimal,2,1821,0.07
nonnull,2,607,0.02
entry,2,3343,0.03
token,2,1741,0.02
number,2,1924,0.02
form,2,1013,0.03
config,2,2483,0.02
direction,2,1027,0.03
filter,2,2387,0.03
xml,2,1003,0.02
apache,2,597,0.01
base,2,1702,0.02
res,2,1084,0.02
nullable,2,1091,0.02
bundle,2,837,0.02
drawable,2,695,0.02
method,2,1283,0.01
rotation,2,395,0.01
color,2,1145,0.01
canvas,2,384,0.01
menu,2,1943,0.03
paint,2,362,0.01
interpolator,2,235,0.01
height,2,845,0.01
width,2,727,0.01
time,2,4115,0.03
icon,2,696,0.01
graphics,2,327,0.01
rect,2,625,0.02
root,2,1643,0.03
schabi,2,3415,0.27
newpipe,2,3455,0.27
player,2,3124,0.08
playlist,2,2514,0.14
items,2,971,0.02
streams,2,1056,0.04
queue,2,2333,0.06
play,2,1947,0.07
mission,2,1646,0.08
video,2,1384,0.04
next,2,2901,0.04
pane,2,393,0.01
table,2,2415,0.03
version,2,2684,0.04
translated,2,462,0.03
resource,2,1661,0.02
tree,2,907,0.02
awt,2,251,0.01
keys,2,1233,0.03
settings,2,861,0.01
box,2,4326,0.09
property,2,3238,0.03
code,2,1552,0.01
user,2,2316,0.02
task,2,1874,0.03
asset,2,4722,0.15
repository,2,5196,0.09
repo,2,646,0.02
group,2,2352,0.03
server,2,2421,0.03
out,2,2066,0.02
main,2,926,0.01
handler,2,969,0.01
print,2,530,0.01
entity,2,2466,0.04
with,2,3124,0.04
product,2,1305,0.04
http,2,1870,0.02
locales,2,504,0.04
window,2,750,0.02
execute,2,3055,0.08
query,2,3262,0.04
close,2,2914,0.06
end,2,1450,0.02
lang,2,1072,0.02
from,2,2470,0.03
collect,1,544,0.02
zhaoweihao,1,39,0.0
mrtranslator,1,39,0.0
visibility,1,663,0.02
toast,1,494,0.01
views,1,165,0.01
clip,1,80,0.0
clipboard,1,115,0.01
explains,1,25,0.0
toolbar,1,197,0.01
invisible,1,57,0.0
make,1,456,0.02
family,1,1354,0.09
cardinality,1,994,0.07
range,1,1093,0.03
values,1,1270,0.01
integer,1,2450,0.02
other,1,831,0.02
ordinality,1,404,0.04
localized,1,813,0.05
maps,1,139,0.01
sorted,1,400,0.02
few,1,211,0.02
infinite,1,187,0.02
equal,1,314,0.01
require,1,508,0.02
many,1,388,0.02
operand,1,147,0.01
hash,1,1755,0.02
modernmt,1,1952,0.12
corpus,1,1098,0.06
sentence,1,713,0.03
tokenizer,1,705,0.03
memory,1,739,0.02
processing,1,696,0.02
decoder,1,587,0.02
word,1,740,0.02
options,1,1126,0.01
analyzer,1,387,0.02
yariksoffice,1,29,0.0
languagetest,1,29,0.0
instance,1,1831,0.02
saved,1,725,0.02
utility,1,105,0.01
runtime,1,518,0.01
attach,1,73,0.0
declared,1,38,0.0
depth,1,556,0.02
shadow,1,277,0.02
top,1,378,0.01
delay,1,273,0.01
seek,1,562,0.02
configuration,1,868,0.01
left,1,444,0.01
relative,1,275,0.01
percent,1,319,0.01
elevation,1,108,0.01
binding,1,1500,0.04
parsed,1,853,0.05
destination,1,484,0.02
lines,1,420,0.01
dest,1,371,0.02
missing,1,419,0.02
save,1,812,0.03
iterator,1,892,0.02
option,1,598,0.01
directory,1,890,0.02
expected,1,800,0.03
old,1,597,0.02
working,1,132,0.01
session,1,746,0.01
troncated,1,97,0.01
editor,1,378,0.01
jvms,1,162,0.01
project,1,511,0.01
structure,1,124,0.01
border,1,198,0.01
parent,1,1251,0.02
enabled,1,897,0.02
vbauer,1,104,0.01
yta,1,104,0.01
languages,1,236,0.01
converter,1,483,0.01
basic,1,193,0.01
immutable,1,651,0.02
thread,1,999,0.01
safe,1,280,0.01
optional,1,582,0.01
fraction,1,53,0.0
immutables,1,50,0.0
detection,1,89,0.0
collection,1,323,0.01
binance,1,214,0.01
order,1,424,0.01
symbol,1,243,0.01
price,1,147,0.0
marketmaker,1,74,0.0
scheduler,1,281,0.01
exchange,1,75,0.0
percentage,1,86,0.0
orders,1,35,0.0
attribute,1,766,0.01
interval,1,196,0.01
chart,1,53,0.0
current,1,3064,0.03
persistence,1,753,0.02
ticker,1,48,0.0
balance,1,473,0.02
domain,1,175,0.0
authentication,1,504,0.02
trade,1,39,0.0
preferred,1,154,0.01
the,1,118,0.0
chat,1,54,0.0
enter,1,127,0.01
address,1,251,0.0
conversation,1,27,0.0
alignment,1,333,0.01
performed,1,46,0.0
gap,1,63,0.0
println,1,672,0.01
evt,1,60,0.0
parallel,1,106,0.0
socket,1,971,0.02
confirm,1,54,0.0
brenov,1,15,0.0
unit,1,6942,0.15
mojito,1,3454,0.31
branch,1,2398,0.1
units,1,924,0.04
pollable,1,1427,0.13
run,1,1644,0.03
extraction,1,1316,0.08
names,1,893,0.01
drop,1,1318,0.08
plural,1,1066,0.07
command,1,1374,0.02
autowired,1,1190,0.04
dto,1,2978,0.1
vmware,1,1458,0.13
vip,1,1425,0.13
messages,1,1849,0.05
constants,1,1500,0.02
common,1,1412,0.02
components,1,364,0.01
str,1,960,0.02
pattern,1,1871,0.03
nbt,1,690,0.04
maptranslator,1,305,0.03
argument,1,838,0.02
scene,1,182,0.0
write,1,1827,0.02
parse,1,1349,0.02
javafx,1,131,0.0
matcher,1,717,0.02
stage,1,142,0.0
tags,1,526,0.01
append,1,2654,0.02
marker,1,399,0.01
output,1,1831,0.01
sql,1,16560,0.28
statement,1,5419,0.1
conn,1,5110,0.19
mysql,1,4455,0.25
stmt,1,4213,0.16
props,1,3230,0.11
column,1,3459,0.05
row,1,2742,0.04
host,1,2732,0.06
types,1,1696,0.02
parameter,1,2913,0.04
update,1,3804,0.06
true,1,2073,0.08
jdbc,1,2137,0.08
buf,1,1664,0.04
check,1,2685,0.04
properties,1,2236,0.04
interceptor,1,1586,0.06
pstmt,1,1540,0.09
point,1,353,0.01
mode,1,1541,0.02
blur,1,32,0.0
arc,1,31,0.0
addition,1,29,0.0
details,1,292,0.01
build,1,977,0.01
screen,1,313,0.01
applikeysolutions,1,10,0.0
down,1,446,0.02
radius,1,77,0.0
background,1,338,0.01
intrinsic,1,22,0.0
bind,1,605,0.01
decrease,1,8,0.0
junit,1,110,0.0
increase,1,12,0.0
img,1,75,0.0
swjtu,1,66,0.01
mapper,1,569,0.01
engine,1,381,0.01
script,1,153,0.0
tts,1,37,0.0
translator,1,165,0.01
post,1,568,0.01
closeable,1,117,0.01
methods,1,305,0.01
trans,1,170,0.01
invocable,1,16,0.0
fasterxml,1,303,0.01
jackson,1,305,0.01
full,1,251,0.01
transition,1,51,0.0
frmlayout,1,17,0.0
decor,1,64,0.0
dimcolor,1,15,0.0
dimalpha,1,15,0.0
back,1,384,0.02
library,1,23,0.0
viewspread,1,13,0.0
inflate,1,189,0.01
dim,1,12,0.0
async,1,161,0.0
temp,1,296,0.01
stack,1,642,0.01
edit,1,485,0.01
failure,1,330,0.01
trace,1,591,0.01
mannan,1,4,0.0
translateapi,1,4,0.0
net,1,780,0.01
resp,1,142,0.01
stringlate,1,272,0.02
lonamiwebs,1,252,0.02
pref,1,419,0.02
parser,1,583,0.01
progress,1,1102,0.02
extra,1,669,0.02
