keyword,doc_freq,total_freq,tfidf
get,3,2564,0.0
string,3,2269,0.0
java,3,526,0.0
set,3,616,0.0
list,3,754,0.01
util,3,388,0.0
type,3,671,0.02
node,3,307,0.03
add,3,354,0.01
input,2,942,0.06
exception,2,727,0.0
name,2,873,0.01
uri,2,459,0.09
path,2,225,0.01
value,2,845,0.02
map,2,857,0.02
override,2,236,0.0
object,2,310,0.02
message,2,573,0.05
method,2,471,0.06
lang,2,246,0.06
context,2,269,0.01
module,2,184,0.05
group,2,210,0.03
kosit,1,321,0.37
validationtool,1,321,0.37
result,1,368,0.02
scenario,1,269,0.15
stream,1,437,0.02
xml,1,330,0.07
error,1,380,0.03
schema,1,250,0.08
results,1,169,0.05
source,1,214,0.03
create,1,226,0.02
configuration,1,197,0.03
report,1,189,0.07
repository,1,171,0.04
impl,1,175,0.05
check,1,184,0.04
scenarios,1,90,0.07
saxon,1,136,0.16
net,1,171,0.03
builder,1,165,0.01
lombok,1,124,0.03
errors,1,88,0.05
processor,1,122,0.04
handler,1,125,0.02
line,1,144,0.02
content,1,171,0.02
format,1,150,0.02
schematron,1,98,0.11
api,1,92,0.01
utils,1,85,0.01
length,1,146,0.01
model,1,90,0.01
parameter,1,715,0.14
unicorn,1,588,0.69
org,1,592,0.02
logger,1,459,0.04
locale,1,395,0.16
key,1,402,0.02
output,1,407,0.04
messages,1,200,0.07
task,1,295,0.06
param,1,262,0.06
observer,1,272,0.12
file,1,334,0.01
response,1,237,0.03
parameters,1,123,0.03
url,1,255,0.03
call,1,215,0.06
request,1,234,0.02
mime,1,206,0.11
buffer,1,199,0.03
language,1,196,0.07
trace,1,200,0.05
array,1,244,0.01
values,1,85,0.01
log,1,266,0.02
properties,1,182,0.04
put,1,186,0.02
req,1,167,0.06
equals,1,190,0.02
validation,1,141,0.06
matcher,1,99,0.03
validator,1,107,0.05
annotation,1,51,0.01
groups,1,59,0.02
guice,1,29,0.03
constraint,1,34,0.02
vyarus,1,25,0.03
inject,1,30,0.01
interceptor,1,30,0.01
factory,1,225,0.02
append,1,195,0.02
invocation,1,22,0.01
violation,1,16,0.01
jakarta,1,16,0.01
google,1,13,0.0
res,1,47,0.01
aop,1,14,0.02
com,1,33,0.0
cache,1,14,0.0
violations,1,19,0.02
annotated,1,11,0.01
matchers,1,7,0.01
matches,1,14,0.01
lock,1,10,0.0
leaf,1,9,0.01
bind,1,28,0.01
reflect,1,9,0.01
thread,1,35,0.01
javax,1,170,0.03
property,1,192,0.02
element,1,37,0.0
executable,1,93,0.07
