keyword,doc_freq,total_freq,tfidf
get,4,774,0.0
size,4,437,0.02
filter,4,875,0.18
list,4,271,0.0
type,3,575,0.02
com,3,329,0.01
frame,3,179,0.05
string,2,624,0.0
video,2,345,0.17
format,2,307,0.06
codec,2,270,0.14
file,2,205,0.01
util,2,173,0.0
override,2,246,0.0
audio,2,203,0.11
info,2,193,0.02
output,2,174,0.02
object,2,146,0.01
exception,2,175,0.0
java,2,143,0.0
log,2,180,0.02
input,2,151,0.01
mat,2,765,0.44
core,2,385,0.05
channel,2,230,0.06
img,2,192,0.11
mean,2,206,0.16
imgproc,2,129,0.1
cols,2,98,0.06
mul,2,137,0.11
rows,2,94,0.04
image,2,157,0.02
opencv,2,88,0.06
org,2,88,0.0
add,2,116,0.0
array,2,132,0.0
var,2,84,0.03
bgr,2,53,0.06
sub,2,73,0.03
subtract,2,65,0.07
convert,2,71,0.04
divide,2,44,0.05
weight,2,49,0.03
level,2,74,0.02
cov,2,52,0.06
window,2,64,0.03
isubchannels,2,46,0.06
tmp,2,43,0.02
set,2,403,0.0
options,1,294,0.06
name,1,349,0.01
flags,1,238,0.11
flag,1,229,0.13
stream,1,207,0.01
constants,1,197,0.05
vbauer,1,88,0.08
github,1,88,0.02
builders,1,82,0.07
utils,1,78,0.01
debug,1,68,0.02
process,1,47,0.02
rate,1,71,0.04
main,1,49,0.01
advanced,1,38,0.04
error,1,75,0.01
find,1,79,0.02
count,1,92,0.01
path,1,109,0.01
integer,1,61,0.01
collection,1,32,0.01
bit,1,62,0.03
tool,1,28,0.01
estimation,1,27,0.03
motion,1,31,0.02
specify,1,26,0.03
option,1,19,0.0
pass,1,25,0.02
arguments,1,26,0.01
trans,1,70,0.05
scalar,1,76,0.07
airlight,1,45,0.06
cnl,1,54,0.07
estimate,1,40,0.05
sum,1,42,0.02
math,1,61,0.02
val,1,41,0.01
max,1,63,0.01
blk,1,27,0.03
isaac,1,34,0.03
min,1,45,0.01
patch,1,26,0.02
clone,1,38,0.02
channels,1,25,0.01
pyramid,1,56,0.06
show,1,54,0.02
lab,1,42,0.04
result,1,109,0.01
boxfilter,1,36,0.04
pyr,1,36,0.04
close,1,42,0.01
ichannels,1,32,0.04
title,1,33,0.01
laplacian,1,34,0.04
contrast,1,51,0.05
resizable,1,26,0.03
depth,1,60,0.04
color,1,82,0.01
local,1,37,0.01
label,1,25,0.0
resize,1,39,0.04
egl,1,581,0.45
media,1,421,0.15
buffer,1,404,0.07
android,1,354,0.05
surface,1,337,0.16
view,1,316,0.03
width,1,341,0.08
camera,1,300,0.12
height,1,321,0.08
texture,1,256,0.11
context,1,244,0.02
shader,1,221,0.14
daasuu,1,200,0.25
encoder,1,211,0.12
gpuv,1,171,0.24
listener,1,176,0.02
matrix,1,168,0.05
preview,1,159,0.09
scale,1,164,0.06
sample,1,149,0.05
tag,1,135,0.02
tex,1,128,0.09
framebuffer,1,124,0.13
index,1,142,0.01
bitmap,1,128,0.04
opengl,1,120,0.11
activity,1,116,0.02
buffers,1,58,0.04
config,1,109,0.01
mode,1,111,0.03
