keyword,doc_freq,total_freq,tfidf
get,4,1006,0.0
set,4,408,0.0
string,3,399,0.0
com,3,389,0.02
android,3,447,0.07
context,3,329,0.03
lat,3,194,0.17
override,3,181,0.0
log,3,144,0.02
state,3,263,0.03
view,2,493,0.07
text,2,125,0.01
api,2,113,0.02
list,2,213,0.0
google,2,116,0.03
location,2,279,0.11
time,2,139,0.02
utils,2,141,0.01
activity,2,96,0.02
start,2,134,0.02
manager,2,278,0.05
map,2,200,0.01
result,2,104,0.01
array,2,67,0.0
exception,2,105,0.0
put,2,78,0.01
util,2,125,0.0
point,2,286,0.09
java,2,144,0.0
max,2,142,0.02
sahurjt,1,160,0.29
btsparent,1,160,0.29
shared,1,141,0.07
pref,1,125,0.1
helper,1,140,0.06
ride,1,119,0.19
name,1,142,0.0
kid,1,106,0.19
response,1,142,0.02
holder,1,101,0.04
gps,1,97,0.13
txt,1,89,0.08
rides,1,59,0.11
recycler,1,77,0.04
layout,1,119,0.02
kids,1,49,0.09
adapter,1,69,0.02
models,1,63,0.03
expose,1,62,0.06
color,1,122,0.03
call,1,68,0.03
serialized,1,63,0.04
bind,1,64,0.03
drawable,1,66,0.03
token,1,66,0.02
bus,1,62,0.05
type,1,85,0.0
icon,1,63,0.03
item,1,58,0.01
arriving,1,57,0.1
,1,62,
fragment,1,89,0.03
job,1,65,0.03
service,1,90,0.02
intent,1,101,0.03
request,1,89,0.01
gms,1,48,0.04
notification,1,40,0.02
lng,1,55,0.05
marker,1,78,0.06
content,1,76,0.01
json,1,42,0.01
settings,1,23,0.01
connection,1,25,0.01
client,1,55,0.01
broadcast,1,21,0.02
app,1,81,0.02
support,1,80,0.03
build,1,34,0.01
updates,1,18,0.02
callback,1,45,0.02
url,1,28,0.0
animator,1,18,0.01
stop,1,35,0.02
button,1,29,0.01
provider,1,18,0.01
code,1,30,0.01
fused,1,15,0.02
version,1,20,0.01
toast,1,71,0.04
stream,1,30,0.0
edge,1,182,0.1
graphhopper,1,105,0.15
graph,1,125,0.06
observation,1,110,0.12
hopper,1,95,0.15
match,1,96,0.04
transition,1,84,0.05
gpx,1,82,0.13
matching,1,70,0.08
states,1,64,0.05
profile,1,57,0.03
step,1,64,0.03
path,1,77,0.01
candidates,1,42,0.04
candidate,1,37,0.03
iterator,1,39,0.01
prev,1,43,0.03
node,1,43,0.01
weighting,1,43,0.06
add,1,137,0.0
message,1,117,0.02
virtual,1,37,0.04
query,1,56,0.01
edges,1,18,0.01
probabilities,1,38,0.05
object,1,51,0.0
entry,1,35,0.01
snap,1,33,0.05
probability,1,33,0.04
file,1,47,0.0
configuration,1,33,0.01
lon,1,74,0.1
face,1,447,0.34
brf,1,332,0.45
faces,1,153,0.15
width,1,202,0.06
draw,1,178,0.1
points,1,123,0.06
vertices,1,143,0.12
size,1,164,0.01
vector,1,102,0.05
camera,1,126,0.07
height,1,106,0.03
params,1,99,0.03
rectangle,1,93,0.08
example,1,81,0.03
detection,1,86,0.08
roi,1,80,0.1
triangles,1,77,0.09
detected,1,69,0.07
resolution,1,72,0.07
texture,1,71,0.04
image,1,101,0.02
rects,1,57,0.08
arr,1,66,0.05
tracking,1,65,0.06
preview,1,68,0.05
bitmap,1,82,0.03
min,1,79,0.02
examples,1,42,0.04
rect,1,43,0.02
optical,1,50,0.07
flow,1,50,0.03
reset,1,50,0.04
update,1,83,0.03
rotation,1,50,0.04
data,1,64,0.0
