keyword,doc_freq,total_freq,tfidf
get,52,45119,0.0
string,50,24770,0.0
set,49,20324,0.01
override,43,11129,0.01
view,41,20226,0.11
android,40,10110,0.07
video,40,11339,0.3
context,36,10441,0.04
listener,33,9214,0.05
media,32,12882,0.25
exception,32,9503,0.0
size,27,9166,0.02
file,27,6524,0.01
com,26,6645,0.01
list,26,10145,0.01
data,25,8122,0.02
name,23,7120,0.01
type,22,10874,0.02
width,21,5244,0.07
activity,21,4026,0.04
image,20,6707,0.06
util,20,5600,0.0
player,20,10813,0.24
state,20,5853,0.03
audio,20,7087,0.19
java,19,6203,0.0
stream,19,11914,0.04
manager,18,5538,0.04
event,18,6846,0.04
key,18,5888,0.02
height,18,5195,0.07
layout,18,4859,0.04
info,17,8271,0.05
source,17,6976,0.06
start,17,4863,0.03
error,16,5600,0.03
text,16,7646,0.03
value,15,7054,0.01
content,15,3214,0.02
url,14,5317,0.04
texture,14,2435,0.05
surface,14,3369,0.08
intent,13,3101,0.04
result,13,3601,0.01
log,13,3955,0.02
format,13,10066,0.1
time,12,4757,0.03
buffer,12,9077,0.09
object,12,4592,0.01
item,12,8953,0.06
output,12,4202,0.03
app,11,2035,0.02
add,11,5584,0.01
color,11,4420,0.04
array,11,4602,0.01
holder,11,3182,0.05
uri,11,2979,0.04
create,11,3073,0.02
request,10,3153,0.02
index,10,7759,0.03
mode,10,3939,0.05
input,10,3800,0.02
path,10,2989,0.01
config,10,2549,0.02
click,9,1964,0.03
position,9,2894,0.03
track,9,3916,0.13
org,9,6871,0.01
current,9,3903,0.04
adapter,9,2646,0.04
bitmap,8,1767,0.03
callback,8,1679,0.03
controller,8,1573,0.02
frame,8,4072,0.06
button,8,2337,0.02
fragment,7,2639,0.04
map,7,4027,0.01
playback,7,2315,0.11
offset,7,5595,0.07
spec,7,704,0.01
play,7,2845,0.08
ratio,7,1659,0.05
egl,7,1662,0.07
find,7,1865,0.02
window,7,1909,0.04
action,7,2868,0.02
selected,7,2211,0.05
camera,7,2667,0.06
factory,7,2128,0.01
,7,4074,
google,6,1153,0.01
put,6,2349,0.01
length,6,6862,0.03
support,6,908,0.01
json,6,4866,0.04
codec,6,2702,0.07
non,6,3569,0.05
builder,5,3112,0.01
drawable,5,1432,0.03
test,5,492,0.0
session,5,3710,0.04
shader,5,1309,0.04
target,5,2379,0.02
run,5,827,0.01
render,5,1197,0.04
aspect,5,1385,0.05
seek,5,1111,0.03
code,5,2349,0.02
menu,5,1717,0.02
rect,5,1816,0.04
handler,5,2328,0.02
response,5,1170,0.01
download,5,1613,0.06
dialog,5,2019,0.03
orientation,5,751,0.03
model,5,1331,0.01
utils,5,3013,0.01
github,5,609,0.01
tag,5,2837,0.03
images,4,369,0.01
settings,4,1727,0.02
helper,4,2122,0.04
exo,4,1077,0.07
line,4,2296,0.02
max,4,3928,0.03
junit,4,108,0.0
http,4,1433,0.01
instance,4,2453,0.02
duration,4,2289,0.06
recycler,4,850,0.02
display,4,1510,0.03
web,4,1084,0.02
client,4,1504,0.01
widget,4,1221,0.02
androidx,4,2036,0.05
progress,4,1572,0.03
title,4,1474,0.03
movie,4,253,0.01
application,4,880,0.01
store,4,645,0.01
date,4,1033,0.01
main,4,1593,0.02
bar,4,1466,0.02
thread,4,2025,0.02
stack,4,950,0.01
status,4,1582,0.02
filter,4,2718,0.03
out,4,3431,0.02
quality,4,1163,0.04
options,4,1731,0.02
load,3,1861,0.04
drm,3,1713,0.11
renderer,3,1181,0.03
decoder,3,795,0.02
count,3,4787,0.03
point,3,1051,0.01
connection,3,1550,0.02
instrumentation,3,61,0.0
registry,3,170,0.0
with,3,1398,0.01
runner,3,75,0.0
init,3,1432,0.03
example,3,69,0.0
compat,3,1124,0.02
scale,3,1281,0.03
ijk,3,554,0.04
parent,3,1709,0.03
child,3,883,0.02
videos,3,464,0.02
api,3,1382,0.01
illegal,3,1119,0.02
meta,3,483,0.01
matrix,3,964,0.01
volume,3,910,0.03
screen,3,1287,0.03
right,3,1102,0.02
left,3,1282,0.02
crop,3,1338,0.05
ffmpeg,3,237,0.01
send,3,1275,0.03
write,3,2115,0.02
files,3,380,0.0
header,3,1714,0.03
img,3,585,0.02
back,3,687,0.03
profile,3,822,0.02
items,3,1183,0.02
provider,3,777,0.01
extra,3,1028,0.03
photo,3,342,0.01
chooser,3,300,0.01
picker,3,580,0.02
show,3,2494,0.04
preview,3,963,0.03
record,3,919,0.01
recorder,3,1096,0.04
queue,3,2393,0.05
gesture,3,568,0.03
toast,3,708,0.02
core,3,1730,0.01
message,3,2999,0.02
filters,3,269,0.01
system,3,2673,0.02
end,3,2880,0.04
node,3,1345,0.01
playlist,3,2708,0.13
binding,3,2023,0.04
service,3,3859,0.03
streams,3,1680,0.06
sample,3,1995,0.04
constants,3,1953,0.03
rate,3,2193,0.06
control,3,2831,0.06
number,3,1540,0.02
alert,3,563,0.02
field,3,907,0.01
check,3,1265,0.02
program,3,524,0.02
gallery,2,246,0.01
pager,2,232,0.01
urls,2,296,0.01
transition,2,424,0.01
changed,2,1985,0.06
parameters,2,1224,0.02
tracks,2,978,0.04
internal,2,1174,0.02
method,2,1536,0.01
vertex,2,2658,0.07
values,2,1165,0.01
tex,2,1087,0.04
column,2,1206,0.01
row,2,960,0.01
temp,2,1046,0.02
last,2,2085,0.03
cam,2,32,0.0
attrs,2,459,0.01
interval,2,413,0.01
style,2,1860,0.04
styleable,2,162,0.01
stop,2,1274,0.03
instrumented,2,30,0.0
use,2,708,0.02
update,2,2115,0.03
measure,2,501,0.02
alpha,2,791,0.02
completion,2,502,0.02
focus,2,853,0.03
playing,2,399,0.02
user,2,1972,0.02
params,2,1997,0.02
retriever,2,87,0.0
views,2,441,0.01
asset,2,467,0.01
top,2,956,0.02
bottom,2,915,0.03
handle,2,951,0.02
net,2,681,0.01
process,2,588,0.01
read,2,2486,0.02
proxy,2,414,0.01
server,2,1163,0.01
local,2,1928,0.03
clip,2,207,0.01
sar,2,196,0.01
cache,2,1916,0.03
permission,2,481,0.01
types,2,371,0.0
folder,2,443,0.01
timestamp,2,838,0.02
recording,2,2295,0.13
permissions,2,296,0.01
btn,2,225,0.01
pause,2,775,0.03
engine,2,1133,0.02
peer,2,382,0.01
motion,2,329,0.01
job,2,871,0.02
logger,2,2177,0.01
properties,2,1429,0.02
buffered,2,566,0.01
awt,2,835,0.02
mat,2,346,0.01
frames,2,540,0.02
configuration,2,1685,0.02
plugin,2,388,0.01
segment,2,964,0.03
scene,2,227,0.0
property,2,1820,0.01
base,2,1744,0.02
subtitle,2,920,0.05
parse,2,1677,0.02
nullable,2,1744,0.03
group,2,2220,0.02
font,2,1019,0.02
capture,2,1530,0.04
schabi,2,3415,0.23
newpipe,2,3455,0.23
mission,2,1646,0.07
points,2,540,0.01
box,2,791,0.01
tool,2,530,0.01
arguments,2,200,0.01
param,2,651,0.01
writer,2,979,0.01
toolbar,2,758,0.02
participant,2,2129,0.09
notification,2,1405,0.03
version,2,1841,0.02
print,2,584,0.01
muxer,2,245,0.01
writable,2,133,0.01
trace,2,680,0.01
open,2,1944,0.04
creator,2,454,0.02
custom,2,901,0.02
paused,2,187,0.01
from,2,2070,0.02
extension,2,767,0.02
weak,2,301,0.01
visibility,2,1259,0.03
device,2,3782,0.08
formats,2,913,0.05
