keyword,doc_freq,total_freq,tfidf
get,4,42048,0.0
org,4,23534,0.02
object,4,17507,0.03
value,4,13833,0.01
set,4,10008,0.0
string,4,13358,0.0
name,4,10657,0.01
exception,4,7478,0.0
map,4,7127,0.01
result,4,6055,0.01
type,3,23612,0.02
method,3,20245,0.1
address,3,13563,0.11
array,3,9598,0.01
index,3,7797,0.01
thread,3,5499,0.04
code,3,5198,0.02
operand,2,16215,0.33
offset,2,16546,0.12
jikesrvm,2,14843,0.5
register,2,13618,0.18
reference,2,11541,0.12
opt,2,10844,0.17
block,2,10835,0.09
emit,2,10668,0.26
compilers,2,8904,0.3
reg,2,9528,0.18
field,2,9018,0.04
instruction,2,8385,0.15
asm,2,8759,0.21
rvm,2,7960,0.27
sys,2,7397,0.22
write,2,7710,0.04
ref,2,6824,0.08
next,2,7274,0.04
create,2,6747,0.02
trace,2,6368,0.06
opcode,2,6326,0.13
size,2,6514,0.01
compiler,2,3115,0.08
types,2,1787,0.01
word,2,5239,0.06
constant,2,4692,0.07
stack,2,5283,0.04
basic,2,5100,0.09
copy,2,5174,0.07
assertions,2,4909,0.15
space,2,4689,0.06
move,2,4516,0.08
mmtk,2,4342,0.14
java,2,5365,0.0
error,2,1760,0.01
avm,1,3375,0.12
fee,1,1659,0.05
energy,1,1522,0.04
instrumentation,1,1834,0.03
runtime,1,4024,0.04
data,1,3869,0.0
length,1,5387,0.01
aion,1,1035,0.04
lang,1,3386,0.03
info,1,2783,0.01
visitor,1,1153,0.02
override,1,3123,0.0
level,1,1175,0.01
integer,1,1786,0.01
visit,1,1148,0.02
put,1,2096,0.01
schedule,1,1255,0.03
attached,1,686,0.02
charge,1,660,0.02
dot,1,838,0.02
internal,1,1171,0.01
abi,1,749,0.03
names,1,2142,0.01
transaction,1,630,0.01
descriptor,1,1478,0.02
node,1,4319,0.01
big,1,1057,0.01
rename,1,637,0.02
bytecode,1,1743,0.05
buffer,1,1843,0.01
hash,1,2660,0.01
file,1,1698,0.0
variable,1,1092,0.01
service,1,335,0.0
list,1,3371,0.0
log,1,4431,0.01
user,1,856,0.0
stream,1,1751,0.0
cloud,1,167,0.0
provision,1,171,0.01
use,1,3076,0.05
papke,1,141,0.01
portal,1,141,0.0
model,1,1225,0.0
credentials,1,142,0.0
provider,1,150,0.0
output,1,608,0.0
key,1,1509,0.0
util,1,2361,0.0
command,1,423,0.0
path,1,437,0.0
group,1,273,0.0
constants,1,3032,0.02
springframework,1,108,0.0
utils,1,111,0.0
folder,1,102,0.0
groups,1,221,0.0
logger,1,206,0.0
builder,1,736,0.0
append,1,2101,0.01
variables,1,157,0.0
search,1,178,0.0
entry,1,2425,0.01
date,1,105,0.0
mail,1,81,0.0
factory,1,263,0.0
resource,1,390,0.0
secret,1,71,0.0
session,1,72,0.0
