keyword,doc_freq,total_freq,tfidf
get,6,5861,0.0
string,6,3624,0.0
set,6,2416,0.01
listener,5,974,0.04
list,5,1092,0.0
log,4,1131,0.04
utils,4,564,0.02
override,4,1191,0.01
name,4,2037,0.02
key,4,997,0.03
array,4,1115,0.02
java,4,822,0.0
view,3,2211,0.09
util,3,847,0.01
context,3,1098,0.03
android,3,1248,0.06
data,3,1514,0.02
model,3,775,0.02
buffer,3,1810,0.12
texture,3,815,0.13
org,3,509,0.01
exception,3,1453,0.0
stream,3,614,0.02
file,3,701,0.01
position,3,510,0.04
add,3,956,0.01
input,3,715,0.02
controller,3,677,0.07
result,3,480,0.01
manager,2,988,0.05
com,2,1569,0.02
config,2,472,0.02
layout,2,538,0.03
app,2,645,0.04
service,2,414,0.02
state,2,576,0.02
length,2,957,0.03
line,2,357,0.02
read,2,429,0.03
activity,2,641,0.04
camera,2,503,0.08
width,2,514,0.05
error,2,582,0.02
height,2,448,0.04
type,2,1034,0.01
types,2,282,0.02
frame,2,862,0.08
filter,2,591,0.05
video,2,451,0.09
current,2,517,0.03
value,2,629,0.01
output,2,341,0.02
text,2,960,0.03
size,2,667,0.01
message,2,477,0.02
zephyr,1,974,0.53
texasgamer,1,571,0.31
preference,1,559,0.1
,1,530,
non,1,514,0.05
notification,1,469,0.07
androidx,1,359,0.07
application,1,296,0.02
logger,1,241,0.01
fragment,1,311,0.03
info,1,289,0.01
status,1,252,0.02
annotation,1,215,0.01
card,1,190,0.04
tag,1,416,0.03
level,1,212,0.02
inject,1,170,0.03
enabled,1,237,0.03
connection,1,284,0.02
code,1,524,0.03
navigation,1,160,0.04
version,1,340,0.03
pref,1,144,0.04
nav,1,117,0.04
theme,1,193,0.05
keys,1,117,0.01
intent,1,426,0.04
vertex,1,672,0.12
joint,1,462,0.2
matrix,1,504,0.06
draw,1,492,0.09
node,1,290,0.01
max,1,425,0.02
obj,1,238,0.03
put,1,445,0.02
andresoviedo,1,213,0.1
normals,1,164,0.09
min,1,242,0.02
transform,1,246,0.04
child,1,193,0.02
order,1,188,0.03
faces,1,140,0.04
normal,1,145,0.04
num,1,236,0.02
index,1,438,0.01
pos,1,417,0.05
color,1,460,0.03
xml,1,165,0.02
animated,1,147,0.05
handle,1,318,0.04
weights,1,136,0.04
gdx,1,667,0.2
badlogic,1,496,0.15
tdgalaxy,1,315,0.15
world,1,335,0.07
button,1,651,0.04
collision,1,235,0.08
entity,1,288,0.03
map,1,467,0.0
device,1,220,0.03
game,1,175,0.03
graphics,1,226,0.03
screen,1,201,0.04
eye,1,148,0.05
batch,1,130,0.02
math,1,212,0.02
render,1,151,0.03
viewport,1,131,0.05
instance,1,292,0.02
debug,1,245,0.03
region,1,114,0.02
shape,1,135,0.03
assets,1,119,0.03
tools,1,105,0.02
client,1,175,0.01
source,1,435,0.03
configuration,1,330,0.02
serviceflow,1,181,0.09
mat,1,251,0.06
frankenstein,1,181,0.09
tab,1,186,0.03
frames,1,138,0.04
fxml,1,150,0.03
small,1,127,0.04
plugin,1,125,0.01
segment,1,113,0.03
filters,1,70,0.01
scene,1,176,0.02
system,1,400,0.02
property,1,163,0.01
opencv,1,87,0.02
processing,1,93,0.02
path,1,210,0.0
selected,1,173,0.03
movie,1,81,0.02
rect,1,112,0.02
imgproc,1,73,0.02
record,1,843,0.09
address,1,608,0.07
out,1,640,0.03
append,1,572,0.03
dns,1,419,0.17
ttl,1,321,0.13
write,1,312,0.02
response,1,313,0.02
header,1,281,0.03
wire,1,261,0.09
from,1,378,0.03
dclass,1,248,0.13
flags,1,264,0.05
check,1,357,0.03
parse,1,352,0.03
next,1,322,0.02
time,1,459,0.02
alg,1,183,0.07
xbill,1,166,0.09
tsig,1,167,0.09
tcp,1,166,0.05
rset,1,157,0.09
media,1,776,0.11
straas,1,452,0.25
compat,1,385,0.06
column,1,269,0.02
live,1,335,0.11
visibility,1,314,0.06
playback,1,196,0.07
enable,1,267,0.06
bar,1,221,0.03
core,1,254,0.01
content,1,396,0.02
event,1,488,0.02
image,1,281,0.02
metadata,1,170,0.02
demo,1,158,0.03
sdk,1,175,0.03
streaming,1,150,0.04
views,1,56,0.01
quality,1,146,0.04
custom,1,150,0.03
seek,1,161,0.03
player,1,147,0.02
