keyword,doc_freq,total_freq,tfidf
get,1,19389,0.0
type,1,11051,0.02
org,1,11209,0.02
method,1,7952,0.08
operand,1,8100,0.33
offset,1,8126,0.12
object,1,8100,0.03
jikesrvm,1,7422,0.51
register,1,6807,0.18
value,1,6268,0.01
address,1,6348,0.11
reference,1,5757,0.12
opt,1,5422,0.18
block,1,5243,0.09
emit,1,5334,0.27
compilers,1,4452,0.3
reg,1,4764,0.18
set,1,4624,0.0
field,1,4278,0.03
string,1,4518,0.0
instruction,1,4190,0.16
asm,1,4259,0.21
rvm,1,3980,0.27
sys,1,3699,0.22
write,1,3739,0.04
array,1,3574,0.01
index,1,3567,0.01
name,1,3217,0.0
ref,1,3397,0.08
next,1,3488,0.04
create,1,3279,0.02
trace,1,3164,0.06
exception,1,3120,0.0
map,1,2866,0.0
opcode,1,3078,0.13
size,1,2986,0.01
compiler,1,1520,0.08
types,1,809,0.01
word,1,2622,0.06
constant,1,2141,0.07
stack,1,2517,0.04
basic,1,2500,0.09
copy,1,2530,0.07
assertions,1,2435,0.15
result,1,2481,0.01
thread,1,2328,0.03
space,1,2339,0.07
code,1,2306,0.02
move,1,2258,0.08
mmtk,1,2171,0.15
