keyword,doc_freq,total_freq,tfidf
get,27,106589,0.0
set,25,44653,0.0
string,24,47675,0.0
list,21,22437,0.0
java,19,17905,0.0
value,18,34291,0.02
add,17,24450,0.01
util,17,19126,0.01
override,17,20595,0.01
name,16,21339,0.01
exception,15,17601,0.0
node,14,22057,0.05
data,13,22206,0.02
size,12,14009,0.01
color,12,13893,0.05
map,12,11743,0.01
file,12,13423,0.01
type,10,25310,0.01
listener,10,6599,0.01
text,10,8921,0.01
length,10,10765,0.01
path,10,5601,0.01
graph,9,49401,0.33
label,9,8969,0.03
layout,7,7552,0.02
action,7,7833,0.02
event,7,9132,0.02
index,7,10392,0.01
edge,7,5389,0.04
view,7,8464,0.02
start,7,4455,0.01
width,7,5794,0.03
height,7,4006,0.02
com,7,8449,0.01
line,7,4252,0.01
array,7,11428,0.01
state,7,8912,0.02
item,6,9627,0.02
key,6,8015,0.01
object,6,12452,0.01
max,6,9967,0.02
min,6,8243,0.04
app,6,1561,0.0
nodes,6,3465,0.02
time,6,7681,0.02
context,6,5345,0.01
model,6,6009,0.01
menu,6,5156,0.02
config,6,5502,0.01
logger,6,7022,0.01
stream,6,5133,0.01
utils,6,2628,0.0
android,5,1487,0.0
control,5,3486,0.03
factory,5,7315,0.02
result,5,11345,0.01
filter,5,5430,0.02
panel,5,5387,0.03
point,5,3365,0.02
system,5,5836,0.01
builder,5,6813,0.01
count,5,8879,0.02
org,5,9447,0.01
buffer,5,5806,0.02
field,4,5066,0.01
message,4,3910,0.01
status,4,1281,0.0
property,4,5232,0.01
scene,4,3610,0.02
plugin,4,20640,0.11
button,4,5193,0.02
settings,4,2920,0.01
json,4,5691,0.01
out,4,5358,0.01
append,4,5178,0.01
output,4,2759,0.01
media,4,706,0.0
player,4,4685,0.04
points,4,1575,0.01
audio,4,604,0.01
canvas,4,1395,0.01
test,4,10265,0.03
put,4,5688,0.01
math,4,6871,0.04
mode,4,3069,0.01
vertex,4,16380,0.15
row,3,3939,0.02
table,3,12549,0.04
swing,3,4878,0.03
javax,3,5197,0.02
awt,3,3783,0.03
request,3,1919,0.0
log,3,7341,0.01
source,3,4300,0.01
selected,3,7279,0.06
javafx,3,4093,0.03
pane,3,7082,0.05
icon,3,7870,0.05
core,3,2020,0.01
instance,3,6945,0.02
option,3,3404,0.02
input,3,3907,0.01
parameters,3,11389,0.06
println,3,2651,0.01
matrix,3,3189,0.02
values,3,4537,0.01
read,3,5402,0.02
write,3,5633,0.02
paint,3,907,0.01
visualizer,3,631,0.01
attrs,3,265,0.0
content,3,2699,0.01
activity,3,1372,0.0
attribute,3,24692,0.11
style,3,3290,0.02
query,3,8084,0.03
optional,3,1950,0.01
bar,3,1502,0.01
base,3,2032,0.01
container,3,1455,0.01
from,3,3775,0.02
renderer,3,1407,0.01
current,3,6640,0.02
scale,3,2808,0.02
group,2,6959,0.03
visual,2,6402,0.12
column,2,4790,0.02
tuple,2,1573,0.02
iterator,2,3331,0.02
items,2,1856,0.01
next,2,5433,0.02
val,2,2655,0.02
vis,2,1046,0.02
handler,2,2076,0.01
api,2,796,0.0
visualization,2,3918,0.06
batch,2,791,0.01
receiver,2,399,0.0
tag,2,1336,0.0
connection,2,3449,0.01
window,2,2095,0.02
mouse,2,2448,0.02
cell,2,1714,0.01
box,2,5556,0.03
tree,2,5696,0.03
attributes,2,3008,0.02
all,2,3877,0.02
edges,2,978,0.01
offset,2,3988,0.02
border,2,1659,0.01
image,2,4245,0.01
uni,2,393,0.01
integer,2,6378,0.02
frame,2,1913,0.01
error,2,3852,0.01
args,2,1414,0.0
reader,2,1828,0.01
hash,2,5550,0.01
arg,2,534,0.0
dim,2,2970,0.04
wave,2,136,0.0
music,2,433,0.01
compat,2,370,0.0
graphics,2,1005,0.01
database,2,7930,0.04
session,2,1755,0.01
storage,2,2943,0.02
user,2,2595,0.01
info,2,4189,0.01
tab,2,3803,0.03
world,2,1947,0.02
provider,2,4498,0.02
speed,2,535,0.01
pos,2,2761,0.02
draw,2,2511,0.02
stop,2,618,0.01
position,2,5683,0.02
token,2,929,0.0
scanner,2,593,0.01
types,2,2044,0.01
drawable,2,791,0.01
render,2,1032,0.01
play,2,681,0.01
parameter,2,14055,0.06
element,2,11625,0.04
equals,2,11461,0.03
attr,2,5803,0.06
utilities,2,11112,0.14
tweet,2,31,0.0
number,2,5970,0.02
lines,2,737,0.01
target,2,3432,0.01
mesh,2,1429,0.02
equal,2,1230,0.01
texture,2,1868,0.01
random,2,3479,0.02
consumer,2,521,0.0
with,2,3479,0.01
measurement,2,1033,0.01
entry,2,5171,0.02
counter,2,1554,0.01
svg,2,3372,0.05
store,2,6558,0.04
,2,1865,
shader,2,1732,0.02
material,2,567,0.01
prefuse,1,1998,0.05
expression,1,1682,0.01
lib,1,662,0.01
rows,1,959,0.01
predicate,1,1132,0.01
tuples,1,275,0.0
sensor,1,644,0.01
sensors,1,271,0.01
update,1,5400,0.03
timestamp,1,638,0.01
google,1,299,0.0
steppschuh,1,139,0.0
net,1,1011,0.0
card,1,380,0.0
dimension,1,1167,0.01
datalogger,1,119,0.0
device,1,577,0.0
reachability,1,232,0.0
available,1,524,0.01
padded,1,106,0.0
tracker,1,314,0.0
connected,1,383,0.01
skin,1,1138,0.02
flow,1,2170,0.02
connector,1,1024,0.01
workflow,1,663,0.01
parent,1,3340,0.02
title,1,2638,0.02
mihosoft,1,265,0.01
vrl,1,264,0.01
inputs,1,238,0.0
outputs,1,233,0.0
connect,1,410,0.0
generator,1,1829,0.02
remove,1,3626,0.03
sender,1,1035,0.01
resize,1,375,0.01
change,1,3236,0.02
logical,1,622,0.01
fingerprint,1,528,0.01
physical,1,558,0.01
groups,1,573,0.01
port,1,997,0.01
xml,1,1016,0.0
payload,1,445,0.0
observable,1,1557,0.01
graphi,1,401,0.01
task,1,2709,0.01
display,1,2288,0.02
btn,1,620,0.01
manager,1,3843,0.01
wrapper,1,638,0.01
tasks,1,303,0.0
resource,1,1324,0.01
spinner,1,853,0.01
bag,1,774,0.01
constraints,1,2186,0.02
grid,1,1985,0.02
pca,1,517,0.01
sequence,1,534,0.0
labels,1,1884,0.02
sample,1,990,0.01
lcsb,1,107,0.0
process,1,912,0.01
vizbin,1,107,0.0
num,1,2534,0.01
options,1,1322,0.0
sequences,1,85,0.0
loom,1,558,0.01
gene,1,495,0.01
genes,1,312,0.01
names,1,1336,0.01
block,1,313,0.0
meta,1,1777,0.01
cells,1,305,0.0
chunk,1,255,0.0
blocks,1,158,0.0
res,1,605,0.0
handle,1,1002,0.01
metadata,1,1071,0.01
indexes,1,381,0.01
gradient,1,209,0.0
thickness,1,203,0.0
end,1,3088,0.01
rect,1,1046,0.01
invalidate,1,173,0.0
fab,1,96,0.0
capture,1,158,0.0
styleable,1,88,0.0
permissions,1,318,0.0
androidx,1,6,0.0
snackbar,1,13,0.0
toolbar,1,531,0.01
record,1,2504,0.01
init,1,1596,0.01
plan,1,6110,0.08
server,1,6651,0.03
djrapitops,1,5187,0.1
uuid,1,4561,0.04
extension,1,3712,0.03
sql,1,3072,0.02
statement,1,2835,0.02
sessions,1,1136,0.02
players,1,512,0.01
locale,1,1339,0.01
tables,1,333,0.0
queries,1,1551,0.02
delivery,1,1047,0.01
times,1,2261,0.03
gauravk,1,66,0.0
bezier,1,149,0.0
anim,1,106,0.0
audiovisualizer,1,45,0.0
radius,1,1700,0.02
raw,1,749,0.01
gravity,1,108,0.0
knots,1,26,0.0
intent,1,322,0.0
blob,1,54,0.0
clip,1,764,0.01
bounds,1,1340,0.01
dependency,1,392,0.0
strullerbaumann,1,150,0.0
visualee,1,150,0.0
examiner,1,94,0.0
entity,1,530,0.0
html,1,913,0.01
code,1,2506,0.01
sources,1,141,0.0
arrays,1,2030,0.01
filters,1,560,0.0
contains,1,1784,0.01
many,1,76,0.0
description,1,4917,0.03
files,1,1437,0.01
boundary,1,71,0.0
folder,1,411,0.0
dependencies,1,45,0.0
sound,1,35,0.0
ripple,1,31,0.0
kimjihyok,1,18,0.0
ripplesoundplayer,1,17,0.0
divisions,1,18,0.0
seek,1,619,0.01
demo,1,105,0.0
amp,1,25,0.0
finish,1,145,0.0
click,1,556,0.0
callback,1,346,0.0
constellation,1,20235,0.44
gov,1,16801,0.28
asd,1,16799,0.36
tac,1,16799,0.32
plugins,1,6288,0.06
transaction,1,9508,0.07
schema,1,7158,0.05
storm,1,62,0.0
fields,1,493,0.0
backtype,1,40,0.0
topology,1,114,0.0
url,1,1880,0.0
collector,1,97,0.0
sentiment,1,33,0.0
bolt,1,31,0.0
jms,1,32,0.0
maps,1,141,0.0
declarer,1,20,0.0
auto,1,571,0.01
sentimentanalysis,1,19,0.0
bing,1,21,0.0
constants,1,2569,0.01
properties,1,823,0.0
geo,1,561,0.01
place,1,38,0.0
ack,1,121,0.0
location,1,2116,0.01
inner,1,1125,0.02
builders,1,33,0.0
kwargs,1,88,0.0
impl,1,449,0.0
github,1,87,0.0
python,1,122,0.0
hist,1,83,0.0
method,1,3690,0.01
ticks,1,267,0.0
composite,1,921,0.01
plot,1,1940,0.03
build,1,3422,0.01
contour,1,58,0.0
script,1,494,0.0
fig,1,25,0.0
save,1,1495,0.02
registered,1,440,0.01
patch,1,248,0.0
legend,1,249,0.0
orientation,1,583,0.01
owner,1,292,0.0
command,1,1039,0.0
pyenv,1,14,0.0
apply,1,3027,0.03
tet,1,1951,0.04
tri,1,1658,0.03
face,1,1323,0.01
arb,1,1086,0.02
params,1,2535,0.01
mines,1,1029,0.02
jtk,1,1029,0.02
tex,1,1387,0.02
edu,1,1115,0.01
check,1,2999,0.01
copy,1,2864,0.02
ext,1,1029,0.01
pname,1,788,0.02
zero,1,1206,0.01
graphlab,1,186,0.0
generic,1,329,0.0
graphs,1,783,0.02
visited,1,153,0.0
gui,1,786,0.01
main,1,1023,0.0
cost,1,283,0.0
algorithm,1,1029,0.01
search,1,1691,0.01
destination,1,1326,0.01
sets,1,164,0.0
spring,1,128,0.0
datastructures,1,530,0.01
processed,1,478,0.01
adjacency,1,88,0.0
canceled,1,51,0.0
slider,1,456,0.01
worker,1,185,0.0
song,1,626,0.01
album,1,659,0.01
cursor,1,1161,0.01
artist,1,613,0.01
rohan,1,575,0.01
child,1,3549,0.02
pointer,1,1067,0.01
fragment,1,637,0.0
service,1,3810,0.01
playlist,1,355,0.01
adapter,1,1651,0.01
songs,1,164,0.0
scroll,1,1189,0.01
support,1,540,0.0
permission,1,484,0.0
srotya,1,805,0.01
sidewinder,1,757,0.01
series,1,751,0.01
function,1,2317,0.01
engine,1,712,0.0
buf,1,1749,0.01
writer,1,1699,0.01
tags,1,1425,0.01
bucket,1,367,0.0
wal,1,296,0.0
replica,1,288,0.0
lock,1,781,0.01
elki,1,19449,0.33
distance,1,10751,0.08
relation,1,6826,0.08
iter,1,7243,0.09
dbid,1,6098,0.1
vector,1,5357,0.04
ids,1,4746,0.04
optionhandling,1,3046,0.05
cluster,1,3516,0.03
dbi,1,2991,0.05
logging,1,4121,0.04
knn,1,2375,0.04
clustering,1,2580,0.04
simulizer,1,737,0.02
cpu,1,795,0.01
operand,1,532,0.01
address,1,1569,0.01
instruction,1,905,0.01
register,1,1835,0.02
setting,1,733,0.01
simulation,1,306,0.01
format,1,4829,0.02
program,1,738,0.01
problem,1,218,0.0
word,1,405,0.0
mod,1,693,0.01
module,1,1297,0.01
req,1,222,0.0
dep,1,61,0.0
helper,1,330,0.0
show,1,1392,0.01
jigsaw,1,57,0.0
desc,1,259,0.0
configuration,1,538,0.0
descriptor,1,464,0.0
opens,1,41,0.0
modules,1,262,0.0
exports,1,41,0.0
descs,1,29,0.0
kohsuke,1,33,0.0
transitive,1,35,0.0
viz,1,31,0.0
graphviz,1,33,0.0
requires,1,108,0.0
each,1,933,0.01
props,1,150,0.0
total,1,799,0.01
openjdk,1,266,0.0
jmh,1,266,0.0
