keyword,doc_freq,total_freq,tfidf
get,10,13379,0.0
string,10,9336,0.0
exception,10,4412,0.0
set,9,4485,0.0
list,9,3172,0.0
name,9,3182,0.01
java,9,2846,0.0
util,8,2156,0.0
type,7,7297,0.03
map,7,1595,0.01
value,6,3499,0.01
response,6,3105,0.06
path,6,2755,0.02
error,6,1826,0.03
values,5,890,0.02
org,5,1281,0.01
override,5,2985,0.01
http,5,1372,0.04
json,4,2459,0.05
filter,4,1430,0.04
logger,4,1629,0.02
data,4,2319,0.01
info,4,836,0.01
file,4,1790,0.01
com,4,5089,0.03
group,3,1334,0.04
javax,3,843,0.02
dao,3,1572,0.08
create,3,1338,0.02
add,3,1299,0.0
element,3,612,0.01
url,3,713,0.01
configuration,3,1151,0.03
request,3,1231,0.02
stream,3,797,0.01
key,3,1250,0.01
config,3,1666,0.03
params,3,435,0.01
builder,3,2706,0.03
message,3,1685,0.02
log,3,739,0.01
user,3,1833,0.04
service,3,2294,0.05
object,3,2492,0.02
result,2,1305,0.01
session,2,696,0.02
status,2,718,0.02
web,2,531,0.02
node,2,624,0.01
illegal,2,257,0.02
servlet,2,725,0.03
param,2,564,0.02
reader,2,351,0.01
store,2,435,0.02
wrapper,2,77,0.0
query,2,2164,0.06
array,2,899,0.0
output,2,391,0.01
doc,2,111,0.01
append,2,795,0.01
jsoup,2,110,0.01
contains,2,285,0.02
line,2,329,0.01
auth,2,796,0.04
addr,2,147,0.01
port,2,200,0.01
server,2,335,0.01
out,2,643,0.01
property,2,5386,0.11
system,2,660,0.01
length,2,885,0.01
users,2,91,0.01
index,2,784,0.01
cell,2,271,0.02
model,2,3922,0.05
handler,2,1806,0.04
role,2,1685,0.1
constants,2,1003,0.04
factory,2,1322,0.02
count,2,816,0.02
update,2,956,0.04
not,2,1148,0.03
build,2,795,0.02
token,2,851,0.02
username,2,478,0.03
context,2,1546,0.01
bean,2,1820,0.09
annotation,2,791,0.02
event,2,652,0.01
beans,2,315,0.02
authentication,2,1139,0.08
core,2,3835,0.07
symbol,1,863,0.05
project,1,613,0.03
learnlib,1,391,0.06
symbols,1,202,0.02
weblearner,1,345,0.06
learner,1,331,0.04
connector,1,249,0.02
action,1,421,0.01
actions,1,173,0.01
hibernate,1,217,0.02
entities,1,214,0.02
counter,1,207,0.01
revision,1,197,0.02
execute,1,253,0.02
pair,1,113,0.01
variable,1,125,0.01
connectors,1,68,0.01
transaction,1,321,0.02
persistence,1,108,0.01
oracle,1,103,0.01
writer,1,302,0.01
input,1,382,0.0
called,1,12,0.0
body,1,208,0.01
level,1,371,0.02
modified,1,52,0.01
parameter,1,341,0.01
buffered,1,144,0.01
encoding,1,99,0.01
attribute,1,127,0.0
state,1,141,0.0
logging,1,158,0.01
print,1,141,0.0
randomize,1,4,0.0
host,1,475,0.03
wifi,1,313,0.03
select,1,196,0.01
elements,1,130,0.01
put,1,743,0.01
scraper,1,132,0.02
hosts,1,76,0.01
koreops,1,107,0.02
option,1,242,0.01
cli,1,101,0.01
val,1,190,0.01
tauro,1,87,0.01
updater,1,97,0.01
opt,1,96,0.01
page,1,120,0.0
mac,1,78,0.01
equals,1,648,0.01
concat,1,68,0.01
octets,1,58,0.01
options,1,222,0.01
attr,1,91,0.01
opts,1,39,0.0
text,1,246,0.0
api,1,648,0.01
req,1,212,0.01
ident,1,164,0.02
resp,1,157,0.01
client,1,685,0.02
var,1,142,0.01
polaric,1,98,0.02
aprsd,1,98,0.02
spark,1,91,0.01
msg,1,113,0.01
sar,1,86,0.01
point,1,120,0.0
pred,1,108,0.01
uid,1,283,0.02
obj,1,159,0.01
base,1,225,0.01
tag,1,323,0.01
userid,1,66,0.01
conf,1,59,0.0
size,1,1003,0.01
loom,1,558,0.07
gene,1,434,0.05
args,1,744,0.02
genes,1,312,0.04
names,1,574,0.02
parameters,1,593,0.02
println,1,465,0.01
matrix,1,323,0.01
block,1,256,0.01
meta,1,295,0.02
cells,1,190,0.02
read,1,536,0.01
hash,1,861,0.02
chunk,1,206,0.01
blocks,1,150,0.01
res,1,291,0.01
arg,1,167,0.01
handle,1,368,0.02
write,1,564,0.02
dim,1,181,0.02
metadata,1,211,0.01
indexes,1,154,0.02
scan,1,1656,0.12
jackhammer,1,1483,0.22
olacabs,1,1333,0.19
tool,1,1179,0.09
finding,1,788,0.11
record,1,549,0.02
repo,1,765,0.06
task,1,579,0.02
models,1,529,0.03
inject,1,600,0.03
sql,1,688,0.03
bind,1,512,0.02
mapper,1,603,0.03
named,1,480,0.04
records,1,305,0.02
severity,1,448,0.06
lombok,1,435,0.02
all,1,792,0.03
git,1,368,0.03
instance,1,704,0.01
detail,1,317,0.03
exceptions,1,289,0.02
report,1,342,0.02
connection,1,362,0.01
manager,1,584,0.01
driver,1,148,0.01
alias,1,225,0.02
dashboard,1,379,0.05
lwr,1,88,0.02
software,1,86,0.01
reporter,1,86,0.01
row,1,141,0.0
password,1,467,0.02
title,1,109,0.01
chart,1,134,0.01
reports,1,27,0.0
ignore,1,373,0.03
vaadin,1,517,0.06
flow,1,217,0.01
springframework,1,388,0.01
security,1,490,0.03
spring,1,391,0.03
jwt,1,660,0.06
listener,1,475,0.01
route,1,152,0.01
application,1,483,0.02
mapping,1,124,0.01
component,1,88,0.0
navigation,1,72,0.01
cache,1,276,0.01
registration,1,69,0.01
holonplatform,1,3038,0.5
utils,1,1573,0.02
expression,1,1149,0.06
datastore,1,999,0.12
internal,1,917,0.05
optional,1,918,0.05
operation,1,989,0.06
argument,1,735,0.03
date,1,781,0.02
,1,753,
target,1,754,0.02
loader,1,571,0.03
box,1,573,0.03
resolver,1,516,0.04
format,1,632,0.02
time,1,740,0.01
topic,1,3794,0.25
assoc,1,2763,0.42
uri,1,3003,0.1
dmx,1,2087,0.3
topics,1,901,0.09
def,1,1278,0.1
comp,1,1305,0.14
impl,1,1308,0.06
systems,1,1206,0.15
child,1,923,0.04
assocs,1,282,0.04
related,1,689,0.09
view,1,676,0.01
player,1,593,0.04
workspace,1,519,0.06
runtime,1,524,0.02
plugin,1,385,0.02
defs,1,156,0.02
topicmap,1,317,0.05
types,1,233,0.01
fetch,1,564,0.06
