keyword,doc_freq,total_freq,tfidf
get,44,45583,0.0
set,44,19980,0.01
string,43,34453,0.0
name,37,15196,0.02
override,35,11325,0.01
list,33,11872,0.01
util,32,5996,0.01
java,29,8586,0.0
exception,28,13189,0.01
com,23,8030,0.02
add,22,8367,0.01
type,21,14486,0.03
map,20,6369,0.01
context,20,6572,0.03
file,20,9995,0.02
value,19,10639,0.02
view,19,10824,0.08
text,19,9176,0.04
android,18,5590,0.05
key,17,7743,0.03
activity,16,3011,0.04
item,16,4506,0.04
action,15,7165,0.07
path,15,5284,0.02
annotation,14,2788,0.03
intent,13,2937,0.04
listener,13,4461,0.03
layout,13,2506,0.03
utils,13,5074,0.02
manager,13,3627,0.03
url,13,3027,0.03
event,12,6007,0.04
content,12,3642,0.03
org,12,2790,0.01
create,12,4197,0.03
user,11,4815,0.05
object,11,6497,0.03
data,11,4817,0.01
color,11,4760,0.06
find,11,1611,0.02
app,11,3364,0.04
request,11,3545,0.03
error,11,3750,0.03
size,10,4864,0.01
message,10,4090,0.03
instance,10,2665,0.03
show,10,2142,0.05
button,10,2934,0.03
state,10,2880,0.02
dialog,10,2589,0.04
model,10,5844,0.03
javax,10,2932,0.04
service,10,3817,0.04
length,9,4213,0.02
json,9,4194,0.04
menu,9,2743,0.05
web,9,1428,0.03
stream,9,3008,0.01
uri,8,6169,0.1
adapter,8,1651,0.03
widget,8,2224,0.05
click,8,1141,0.02
result,8,4180,0.02
log,8,3128,0.02
settings,8,3338,0.06
logger,8,2429,0.02
element,8,3172,0.03
input,8,2961,0.02
array,7,4175,0.01
info,7,3838,0.03
,7,2340,
query,7,4934,0.07
count,7,2640,0.02
response,7,2091,0.02
filter,7,2612,0.04
application,7,1188,0.02
values,6,1924,0.02
time,6,3747,0.03
fragment,6,1544,0.03
support,6,1112,0.02
image,6,2545,0.03
servlet,6,1957,0.04
http,6,2334,0.03
config,6,2812,0.02
session,6,1852,0.03
springframework,6,1434,0.03
main,6,786,0.01
output,6,2040,0.02
builder,6,3717,0.02
date,6,2703,0.04
group,6,2651,0.04
index,5,3901,0.02
append,5,3513,0.03
start,5,2574,0.02
bean,5,2233,0.05
compat,5,935,0.02
token,5,1879,0.03
client,5,4155,0.05
entry,5,1595,0.02
component,5,1656,0.03
bind,5,984,0.02
non,5,836,0.01
system,5,2450,0.02
property,5,6533,0.06
field,5,2192,0.02
label,5,2810,0.04
params,5,2905,0.04
title,5,1404,0.03
database,4,1233,0.02
source,4,1918,0.02
cursor,4,2163,0.06
tag,4,1349,0.02
code,4,2023,0.02
column,4,3303,0.05
icon,4,3651,0.08
provider,4,1382,0.02
server,4,902,0.01
example,4,144,0.0
equals,4,2495,0.03
repository,4,812,0.02
autowired,4,338,0.01
level,4,1003,0.02
change,4,1040,0.03
extra,4,1042,0.03
