keyword,doc_freq,total_freq,tfidf
state,2,3828,0.1
renderer,2,1694,0.27
view,2,8366,0.26
game,2,1412,0.21
key,2,1641,0.03
map,2,1261,0.01
event,2,1527,0.05
get,2,6701,0.0
string,2,2327,0.0
set,2,5030,0.01
type,2,1101,0.01
manager,2,1428,0.05
android,2,2942,0.11
context,2,3043,0.06
max,2,1171,0.05
activity,2,1927,0.1
text,2,2242,0.05
width,2,1712,0.12
dialog,2,1436,0.1
count,2,1041,0.04
height,2,1538,0.11
value,2,1885,0.01
override,2,2672,0.01
texture,1,991,0.12
hero,1,932,0.31
level,1,1158,0.1
from,1,1097,0.07
weapon,1,557,0.17
egl,1,549,0.12
sound,1,867,0.17
zame,1,830,0.3
wall,1,532,0.14
weapons,1,402,0.15
warnings,1,300,0.05
suppress,1,422,0.07
config,1,642,0.02
controls,1,305,0.09
mask,1,561,0.09
load,1,577,0.06
buffer,1,461,0.02
door,1,402,0.15
time,1,816,0.03
ammo,1,491,0.18
control,1,167,0.02
passable,1,475,0.17
current,1,641,0.03
pad,1,198,0.05
mon,1,455,0.14
label,1,336,0.02
walls,1,236,0.09
item,1,2822,0.11
menu,1,2773,0.2
action,1,2470,0.1
list,1,2399,0.01
layout,1,2062,0.09
listener,1,1823,0.06
position,1,1571,0.1
drawable,1,1594,0.16
group,1,1338,0.08
child,1,1362,0.13
mode,1,1397,0.11
preference,1,1202,0.17
adapter,1,1288,0.1
size,1,1309,0.02
params,1,1177,0.07
array,1,1179,0.01
tab,1,1014,0.13
items,1,534,0.05
title,1,1009,0.09
fragment,1,975,0.08
bar,1,1003,0.09
name,1,1079,0.01
intent,1,960,0.06
exception,1,1006,0.0
content,1,934,0.04
engine,1,896,0.1
res,1,918,0.08
