keyword,doc_freq,total_freq,tfidf
string,2,7910,0.0
get,2,8461,0.0
name,2,4175,0.02
exception,2,3054,0.01
java,2,2705,0.0
set,2,3654,0.01
value,2,2195,0.01
list,2,2101,0.01
map,2,2314,0.01
controller,2,1402,0.09
message,2,1313,0.03
type,2,1941,0.01
session,2,1055,0.06
add,2,2147,0.01
log,2,1390,0.03
model,1,1440,0.03
org,1,1351,0.01
javalite,1,840,0.3
names,1,361,0.02
object,1,946,0.01
meta,1,643,0.06
file,1,852,0.01
override,1,1114,0.0
attribute,1,719,0.04
http,1,917,0.04
config,1,821,0.02
method,1,568,0.02
append,1,811,0.03
logger,1,919,0.02
util,1,1063,0.0
query,1,731,0.04
connection,1,726,0.04
sql,1,515,0.03
request,1,682,0.02
params,1,540,0.03
path,1,645,0.01
target,1,480,0.02
association,1,398,0.09
url,1,588,0.02
values,1,269,0.01
stream,1,562,0.01
json,1,630,0.02
table,1,350,0.01
builder,1,416,0.01
context,1,350,0.01
key,1,712,0.01
template,1,324,0.03
array,1,753,0.01
format,1,451,0.02
route,1,391,0.06
event,1,4267,0.11
button,1,2406,0.1
esri,1,2150,0.57
definition,1,2001,0.26
com,1,2182,0.02
geo,1,2044,0.3
property,1,1966,0.07
swing,1,1716,0.16
javax,1,1814,0.09
group,1,1502,0.07
layout,1,1494,0.06
field,1,1515,0.05
size,1,1508,0.02
geometry,1,1190,0.22
awt,1,1089,0.11
ges,1,953,0.25
component,1,940,0.06
action,1,1188,0.04
processor,1,922,0.08
events,1,269,0.03
core,1,893,0.03
layer,1,791,0.08
geoevent,1,802,0.25
panel,1,760,0.05
irc,1,696,0.2
point,1,800,0.05
manager,1,813,0.03
unit,1,566,0.05
listener,1,727,0.02
put,1,847,0.02
proc,1,621,0.15
solutions,1,590,0.15
transport,1,597,0.1
error,1,689,0.02
create,1,745,0.02
