keyword,doc_freq,total_freq,tfidf
get,15,31735,0.0
string,15,18410,0.0
exception,15,11799,0.01
name,13,12246,0.02
java,13,6316,0.0
set,12,13673,0.01
util,12,6912,0.01
type,11,7274,0.02
object,10,9181,0.05
list,10,6249,0.01
override,10,3148,0.0
response,10,4186,0.05
request,9,7024,0.07
map,9,5813,0.01
org,8,11993,0.03
factory,8,2336,0.03
value,8,5670,0.01
context,7,4806,0.03
stream,7,2495,0.01
service,6,1817,0.02
client,6,1532,0.02
logger,6,3148,0.03
path,6,3844,0.02
annotation,6,1183,0.02
com,6,3102,0.01
builder,6,2627,0.02
info,5,1993,0.02
log,5,2863,0.02
server,5,1584,0.03
instance,5,1422,0.02
data,5,2935,0.01
json,5,1922,0.02
utils,5,1647,0.01
method,4,1437,0.02
date,4,964,0.02
error,4,1693,0.01
url,4,1331,0.01
message,4,1896,0.02
http,4,3130,0.05
api,4,1538,0.02
key,4,3594,0.02
input,4,1455,0.01
add,4,9233,0.02
handler,4,2377,0.03
namespace,3,532,0.02
model,3,3493,0.02
fault,3,98,0.01
endpoint,3,189,0.01
parameter,3,1146,0.02
impl,3,1440,0.04
cache,3,1444,0.04
interceptor,3,444,0.02
android,3,462,0.01
body,3,305,0.01
app,3,970,0.01
code,3,1564,0.02
test,3,2821,0.04
event,3,962,0.01
resource,3,3776,0.07
result,3,1987,0.01
source,3,3341,0.05
options,3,1325,0.02
store,3,3781,0.11
time,3,1473,0.01
file,3,2609,0.01
array,3,2512,0.01
zip,2,97,0.01
information,2,126,0.01
user,2,1683,0.02
generate,2,472,0.02
address,2,1820,0.05
properties,2,1569,0.03
location,2,1189,0.03
soap,2,97,0.01
extension,2,236,0.01
apache,2,1356,0.03
target,2,520,0.01
cxf,2,57,0.01
names,2,725,0.01
hash,2,3539,0.04
each,2,399,0.02
manager,2,816,0.01
call,2,529,0.01
listener,2,537,0.0
retrofit,2,84,0.01
chain,2,60,0.0
view,2,1527,0.01
session,2,2396,0.04
item,2,6813,0.08
var,2,1620,0.05
config,2,1145,0.01
throwable,2,832,0.04
size,2,2390,0.01
web,2,3335,0.08
delegate,2,834,0.04
attribute,2,2940,0.06
xml,2,1365,0.03
javax,2,658,0.01
from,2,1896,0.03
root,2,441,0.01
query,2,10910,0.19
certificate,2,184,0.01
signing,2,252,0.02
cert,2,140,0.01
callback,2,164,0.0
with,2,920,0.02
configuration,2,799,0.01
field,2,4542,0.05
files,2,275,0.0
identifier,2,1610,0.07
validation,2,238,0.01
content,2,1471,0.02
plugin,2,744,0.02
status,2,1496,0.02
collection,2,2361,0.06
put,2,2895,0.03
parsec,2,459,0.04
servlet,2,1596,0.04
yahoo,2,112,0.01
constraint,2,5411,0.28
append,2,1756,0.02
equals,2,4769,0.06
weather,1,175,0.01
forecast,1,142,0.01
general,1,144,0.01
jonashackt,1,60,0.01
codecentric,1,46,0.0
city,1,52,0.0
outlook,1,45,0.01
weatherservice,1,42,0.01
springframework,1,190,0.0
pdf,1,41,0.0
product,1,124,0.01
application,1,143,0.0
payment,1,34,0.0
mapper,1,240,0.01
boot,1,25,0.0
spring,1,27,0.0
datatypes,1,35,0.0
backend,1,33,0.0
customer,1,22,0.0
temperature,1,18,0.0
enable,1,123,0.01
eureka,1,17,0.0
overview,1,21,0.0
port,1,298,0.01
locations,1,184,0.01
range,1,184,0.01
schema,1,1139,0.04
wsdl,1,50,0.0
mock,1,168,0.01
start,1,1241,0.01
argument,1,949,0.03
ports,1,14,0.0
illegal,1,1432,0.05
destination,1,112,0.01
rule,1,43,0.0
proxy,1,523,0.02
bean,1,126,0.0
servers,1,73,0.01
end,1,635,0.01
svr,1,16,0.0
detail,1,74,0.0
print,1,359,0.01
control,1,56,0.0
manojbhadane,1,12,0.0
went,1,11,0.0
wrong,1,30,0.0
trace,1,340,0.01
stack,1,371,0.01
make,1,316,0.02
base,1,360,0.01
easyretro,1,7,0.0
create,1,1861,0.02
build,1,888,0.02
easy,1,6,0.0
retro,1,6,0.0
init,1,325,0.01
dsl,1,1497,0.1
rhino,1,736,0.07
ryos,1,715,0.07
sdk,1,722,0.03
simulation,1,419,0.03
users,1,276,0.01
function,1,751,0.01
scope,1,209,0.01
auth,1,725,0.02
not,1,1597,0.03
predicate,1,465,0.02
measurement,1,140,0.01
materializable,1,136,0.01
materializer,1,138,0.01
token,1,963,0.02
duration,1,293,0.01
validate,1,202,0.01
spec,1,337,0.01
business,1,934,0.07
bitmap,1,976,0.03
uri,1,1633,0.03
activity,1,786,0.01
objects,1,845,0.02
debug,1,1161,0.03
enabled,1,755,0.02
image,1,505,0.01
smartnsoft,1,302,0.04
values,1,784,0.01
