keyword,doc_freq,total_freq,tfidf
string,45,64096,0.0
get,45,80588,0.0
set,42,26474,0.01
name,40,24570,0.02
java,39,20376,0.0
exception,35,19509,0.01
util,33,12984,0.01
org,31,25488,0.04
override,30,17468,0.01
list,29,15573,0.01
value,28,19379,0.02
type,27,18884,0.02
com,27,15284,0.02
map,26,13902,0.01
add,22,14828,0.01
file,22,12102,0.02
request,20,16232,0.07
array,19,8838,0.01
object,19,15783,0.04
data,19,11435,0.02
web,19,5526,0.06
stream,19,8643,0.02
path,18,11564,0.03
context,18,13071,0.04
factory,16,5819,0.03
url,15,10069,0.05
response,15,7953,0.04
utils,15,6424,0.02
key,14,10407,0.03
info,14,9180,0.04
config,14,6961,0.03
logger,14,5838,0.02
annotation,13,4622,0.03
http,13,6929,0.05
servlet,12,4373,0.06
text,12,8443,0.02
resource,11,10697,0.1
content,11,4957,0.03
model,11,11881,0.04
server,11,3220,0.03
manager,10,4609,0.02
error,10,5332,0.02
event,10,8049,0.04
input,10,5906,0.02
handler,10,6983,0.04
view,10,5484,0.02
service,10,4848,0.03
log,10,5197,0.02
android,9,2574,0.01
length,9,7400,0.02
json,9,7358,0.04
method,9,4781,0.03
application,9,4047,0.04
message,9,7486,0.03
springframework,9,1148,0.01
create,9,4600,0.02
time,9,5950,0.03
result,9,6377,0.01
configuration,8,2695,0.02
core,8,7776,0.04
state,8,4444,0.02
session,8,6668,0.06
field,8,6453,0.04
builder,8,5266,0.02
client,8,4718,0.03
user,7,5894,0.04
append,7,5250,0.03
put,7,6670,0.03
tag,7,7563,0.06
filter,7,6317,0.05
javax,7,2525,0.02
element,7,7741,0.05
listener,7,4855,0.02
api,7,3021,0.02
activity,7,1370,0.01
index,6,7176,0.02
start,6,4157,0.02
size,6,6854,0.01
source,6,5029,0.03
hash,6,5302,0.03
code,6,4990,0.03
html,6,6890,0.15
layout,6,3063,0.02
status,6,3283,0.02
entity,6,6409,0.06
headers,6,1871,0.03
