keyword,doc_freq,total_freq,tfidf
string,4,1495,0.0
get,4,1090,0.0
file,4,400,0.01
list,4,507,0.0
size,3,374,0.02
array,3,234,0.01
java,3,361,0.0
map,3,576,0.01
vector,3,786,0.3
set,3,213,0.0
util,3,273,0.0
pair,3,336,0.13
stream,3,193,0.01
exception,3,302,0.0
put,3,166,0.02
model,3,220,0.02
word,2,343,0.13
path,2,145,0.01
value,2,166,0.0
hash,2,207,0.03
words,2,97,0.05
integer,2,129,0.02
min,2,128,0.03
vectors,2,223,0.2
data,2,143,0.01
max,2,119,0.02
length,2,140,0.01
name,2,179,0.0
real,2,196,0.14
org,2,586,0.02
index,2,156,0.01
token,2,175,0.04
tokens,2,141,0.08
vocab,1,256,0.3
target,1,183,0.03
context,1,147,0.01
line,1,162,0.02
ind,1,97,0.08
reader,1,141,0.03
layer,1,73,0.03
instance,1,69,0.01
count,1,93,0.01
key,1,135,0.01
vecf,1,59,0.07
vec,1,68,0.05
writer,1,65,0.02
add,1,131,0.0
result,1,77,0.0
com,1,100,0.0
config,1,55,0.01
buffered,1,64,0.02
contexts,1,32,0.03
results,1,108,0.04
weight,1,50,0.03
pos,1,70,0.02
sent,1,45,0.04
top,1,85,0.04
isaac,1,44,0.05
str,1,45,0.02
pointer,1,55,0.03
second,1,43,0.02
first,1,66,0.02
text,1,118,0.01
fta,1,31,0.03
std,1,24,0.02
label,1,29,0.01
cast,1,22,0.02
fast,1,21,0.01
allocate,1,29,0.03
ref,1,20,0.01
prob,1,14,0.01
info,1,39,0.0
predict,1,12,0.01
proba,1,12,0.01
strings,1,6,0.0
predictions,1,12,0.01
load,1,45,0.02
args,1,18,0.0
test,1,30,0.0
wrapper,1,9,0.0
bytedeco,1,8,0.01
val,1,8,0.0
javacpp,1,8,0.01
api,1,12,0.0
loader,1,15,0.01
log,1,19,0.0
cmd,1,7,0.0
run,1,18,0.01
labels,1,5,0.0
types,1,6,0.0
input,1,119,0.01
ids,1,70,0.03
code,1,66,0.01
point,1,53,0.01
sequence,1,41,0.02
inputs,1,33,0.02
sequences,1,36,0.03
tokenizer,1,49,0.03
mask,1,28,0.02
segment,1,28,0.02
builder,1,117,0.01
tokenize,1,28,0.03
vocabulary,1,64,0.06
character,1,30,0.02
characters,1,22,0.02
buffer,1,72,0.01
lower,1,45,0.03
arrays,1,35,0.01
output,1,59,0.01
embedding,1,41,0.04
start,1,31,0.0
feed,1,12,0.01
bundle,1,13,0.0
tensor,1,13,0.01
embed,1,12,0.01
converted,1,12,0.01
lists,1,15,0.01
punctuation,1,13,0.01
bert,1,12,0.01
basic,1,55,0.03
whitespace,1,11,0.01
indra,1,578,0.63
request,1,435,0.05
term,1,256,0.15
terms,1,233,0.18
factory,1,300,0.04
relatedness,1,288,0.31
metadata,1,249,0.08
analyzed,1,218,0.21
response,1,208,0.03
logger,1,188,0.02
corpus,1,164,0.14
space,1,152,0.07
override,1,177,0.0
composer,1,135,0.13
filter,1,132,0.03
pairs,1,75,0.07
translated,1,117,0.11
translator,1,104,0.09
function,1,103,0.02
neighbors,1,82,0.07
core,1,107,0.01
entry,1,140,0.02
mongo,1,87,0.06
collection,1,96,0.03
error,1,83,0.01
client,1,81,0.01
