keyword,doc_freq,total_freq,tfidf
callback,3,24,0.05
detector,3,29,0.08
view,3,29,0.02
recognition,2,14,0.06
main,2,11,0.01
activity,2,17,0.02
image,2,62,0.09
service,2,9,0.01
test,2,38,0.02
model,2,28,0.01
utils,2,24,0.01
feature,2,17,0.04
mat,2,90,0.42
optical,2,18,0.1
camera,2,33,0.1
flow,2,18,0.05
point,2,26,0.06
tonemap,2,30,0.17
open,2,11,0.03
descriptor,2,20,0.06
base,2,22,0.02
matcher,2,16,0.04
merge,2,24,0.08
subtractor,2,18,0.1
loader,2,18,0.02
classifier,2,18,0.06
background,2,18,0.06
calibrate,2,18,0.1
renderer,2,18,0.04
stereo,2,18,0.09
rect,2,18,0.08
video,2,18,0.05
helper,2,14,0.01
cascade,2,12,0.07
key,2,12,0.02
meter,2,8,0.04
robertson,2,12,0.07
match,2,12,0.03
align,2,12,0.05
exposures,2,12,0.07
trees,2,12,0.05
debevec,2,12,0.07
food,1,15,0.1
task,1,6,0.01
util,1,6,0.0
client,1,3,0.0
exception,1,9,0.0
json,1,3,0.0
example,1,5,0.01
instrumented,1,5,0.01
card,1,83,0.31
predict,1,82,0.46
training,1,47,0.2
data,1,53,0.03
preprocess,1,48,0.3
train,1,48,0.22
create,1,37,0.09
features,1,34,0.11
find,1,28,0.11
set,1,29,0.04
cards,1,15,0.1
images,1,15,0.06
number,1,18,0.05
shape,1,15,0.05
predictor,1,15,0.09
raw,1,10,0.03
shading,1,9,0.07
colour,1,8,0.05
conv,1,11,0.07
net,1,8,0.02
geometry,1,7,0.03
processing,1,7,0.03
pipeline,1,7,0.02
finder,1,7,0.02
play,1,6,0.02
labelled,1,6,0.05
check,1,5,0.01
triple,1,5,0.03
sort,1,5,0.02
prediction,1,4,0.02
suppliers,1,3,0.02
diff,1,3,0.01
sets,1,2,0.01
color,1,2,0.0
per,1,2,0.01
attribute,1,2,0.01
label,1,2,0.01
vector,1,1,0.0
using,1,1,0.01
simple,1,1,0.0
webcam,1,1,0.01
domain,1,17,0.03
interactor,1,11,0.06
face,1,11,0.05
opencv,1,10,0.06
eyes,1,5,0.04
impl,1,5,0.0
widgets,1,4,0.01
math,1,4,0.01
drawer,1,4,0.02
extractor,1,8,0.02
sparse,1,4,0.02
bow,1,4,0.02
numtrans,1,31,0.23
ann,1,6,0.03
line,1,6,0.01
sgbm,1,6,0.04
dual,1,6,0.03
mlp,1,6,0.03
imgcodecs,1,6,0.05
core,1,6,0.01
reinhard,1,6,0.05
svm,1,6,0.03
converters,1,6,0.02
mantiuk,1,6,0.04
capture,1,6,0.03
criteria,1,6,0.03
segment,1,6,0.03
