keyword,doc_freq,total_freq,tfidf
image,31,16274,0.07
activity,29,722,0.0
main,25,415,0.0
test,24,2454,0.0
view,22,4235,0.01
utils,20,1898,0.0
example,14,164,0.0
instrumented,14,119,0.0
adapter,14,823,0.0
util,13,4933,0.0
file,12,4244,0.01
listener,12,2274,0.01
list,11,2241,0.01
helper,11,579,0.0
item,11,689,0.0
base,11,20909,0.05
fragment,10,140,0.0
bitmap,10,519,0.01
application,9,131,0.0
model,9,6879,0.01
callback,8,302,0.0
filter,8,24164,0.06
dialog,8,7172,0.04
data,8,8693,0.01
exception,7,3121,0.0
sample,7,527,0.0
info,7,2433,0.01
crop,6,1063,0.02
drawable,6,212,0.0
text,6,2174,0.01
factory,6,9832,0.02
color,6,5647,0.04
video,6,1068,0.01
blur,5,1477,0.02
impl,5,2357,0.0
click,5,96,0.0
gallery,5,56,0.0
core,5,19466,0.07
set,5,4845,0.02
settings,5,2525,0.01
type,5,4322,0.01
action,5,1211,0.0
manager,5,1260,0.0
media,5,185,0.0
picker,5,647,0.01
select,4,312,0.0
parser,4,781,0.0
window,4,1628,0.01
task,4,359,0.0
load,4,244,0.0
gesture,4,188,0.0
input,4,1823,0.01
generic,4,165,0.0
node,4,24938,0.09
panel,4,4048,0.03
options,4,2342,0.01
images,4,44,0.0
grid,4,251,0.0
custom,4,685,0.0
renderer,4,1947,0.01
service,4,4101,0.01
container,4,407,0.0
writer,4,8735,0.04
handler,4,3822,0.01
storage,4,1997,0.01
camera,4,372,0.0
background,4,155,0.0
loader,4,477,0.0
config,4,882,0.0
thread,4,368,0.0
preview,4,625,0.01
lib,3,1352,0.01
gui,3,1588,0.01
error,3,850,0.0
widget,3,357,0.0
overlay,3,2425,0.03
change,3,314,0.0
state,3,480,0.0
progress,3,149,0.0
result,3,134,0.0
transform,3,1110,0.01
detector,3,838,0.01
app,3,215,0.0
event,3,5074,0.01
threshold,3,528,0.01
add,3,538,0.0
pixel,3,540,0.01
output,3,1265,0.01
bar,3,216,0.0
menu,3,606,0.0
album,3,44,0.0
activities,3,70,0.0
constants,3,1042,0.0
img,3,9780,0.18
edit,3,2048,0.02
query,3,269,0.0
group,3,1388,0.01
old,3,218,0.0
cache,3,2556,0.01
request,3,178,0.0
internal,3,59,0.0
content,3,67,0.0
provider,3,703,0.0
size,3,610,0.01
buffer,3,1155,0.01
holder,3,426,0.0
builder,3,255,0.0
path,3,1527,0.01
surface,3,108,0.0
motion,3,490,0.01
pager,3,33,0.0
controls,3,462,0.01
square,3,204,0.0
frame,3,237,0.0
layout,3,211,0.0
worker,3,119,0.0
bucket,2,4,0.0
choose,2,9,0.0
formula,2,6715,0.15
parse,2,40,0.0
aspect,2,55,0.0
ratio,2,114,0.0
fast,2,213,0.0
rect,2,410,0.01
horizontal,2,203,0.0
wheel,2,31,0.0
exif,2,433,0.01
egl,2,108,0.0
http,2,54,0.0
client,2,369,0.0
store,2,678,0.0
object,2,1259,0.0
property,2,3822,0.02
grayscale,2,236,0.01
code,2,96,0.0
labeling,2,5178,0.11
photo,2,192,0.0
wrapper,2,323,0.0
style,2,621,0.01
stream,2,3838,0.02
graphics,2,397,0.01
printer,2,270,0.0
mode,2,635,0.0
table,2,2473,0.01
thumbnail,2,433,0.01
two,2,510,0.01
abs,2,114,0.0
recycler,2,7,0.0
models,2,253,0.0
feature,2,2413,0.02
algorithm,2,1886,0.02
annotation,2,2675,0.02
metadata,2,9162,0.07
component,2,2170,0.01
misc,2,1725,0.02
label,2,1757,0.02
selection,2,1761,0.02
tools,2,2328,0.02
display,2,531,0.01
ome,2,9226,0.23
reader,2,33056,0.14
codec,2,4820,0.04
encoder,2,2434,0.02
block,2,2133,0.01
compressor,2,1929,0.03
decode,2,2,0.0
bottom,2,154,0.0
save,2,400,0.0
point,2,1065,0.01
merge,2,282,0.0
descriptor,2,382,0.0
async,2,8,0.0
touch,2,9,0.0
validator,2,58,0.0
uri,2,55,0.0
placeholder,2,19,0.0
executor,2,210,0.0
compress,2,136,0.0
api,2,73,0.0
cut,2,112,0.0
permissions,2,26,0.0
explore,2,38,0.0
utility,2,54,0.0
picture,2,448,0.01
controller,2,59,0.0
texture,2,45,0.0
transition,2,3758,0.04
composite,2,3620,0.04
gradient,2,1181,0.02
tool,2,2085,0.02
angle,2,552,0.01
box,2,2509,0.02
slider,2,438,0.01
halftone,2,764,0.02
element,2,683,0.0
number,2,438,0.0
animation,2,158,0.0
decoration,2,6,0.0
behavior,2,8,0.0
device,2,9,0.0
commands,2,402,0.0
wall,2,102,0.0
tag,2,1362,0.01
adapters,2,61,0.0
control,2,571,0.0
button,2,247,0.0
tags,2,65,0.0
invert,2,346,0.01
gray,2,205,0.0
gaussian,2,566,0.01
glow,2,375,0.01
changed,2,203,0.0
loading,2,38,0.0
map,2,1280,0.0
get,2,85,0.0
plugin,2,416,0.0
update,2,66,0.0
send,2,47,0.0
tap,2,23,0.0
pool,2,319,0.0
demo,2,249,0.0
buckets,1,1,0.0
files,1,235,0.0
slide,1,117,0.0
pretty,1,12,0.0
mzurowie,1,11,0.0
vanesa,1,5,0.0
antlr,1,4,0.0
visitor,1,2,0.0
rules,1,1,0.0
detailed,1,53,0.0
cancellation,1,1,0.0
lexer,1,1,0.0
throwing,1,1,0.0
cubic,1,30,0.0
rotation,1,90,0.0
easing,1,30,0.0
selected,1,83,0.0
header,1,1196,0.01
bounds,1,247,0.0
parameters,1,237,0.0
process,1,1023,0.01
components,1,126,0.0
dispatcher,1,46,0.0
mirroring,1,38,0.0
transferable,1,132,0.0
reflection,1,55,0.0
information,1,331,0.0
multicaster,1,23,0.0
actions,1,55,0.0
network,1,21,0.0
extraction,1,67,0.0
suen,1,69,0.0
markdown,1,19,0.0
chooser,1,335,0.01
limit,1,19,0.0
remove,1,83,0.0
resize,1,173,0.0
laplace,1,172,0.0
sobel,1,186,0.0
closing,1,19,0.0
translate,1,19,0.0
stentiford,1,19,0.0
median,1,244,0.0
erosion,1,19,0.0
holt,1,19,0.0
photofilterlibrary,1,16,0.0
escpos,1,166,0.01
barcode,1,40,0.0
esc,1,27,0.0
