keyword,doc_freq,total_freq,tfidf
message,20,48185,0.05
exception,19,21761,0.01
utils,18,26976,0.01
handler,17,21814,0.01
service,15,26997,0.01
user,14,13709,0.01
client,13,44442,0.04
util,13,21195,0.0
data,13,13263,0.01
config,13,17699,0.01
listener,13,11213,0.01
factory,12,22487,0.01
test,11,17765,0.01
manager,11,21206,0.01
api,11,22265,0.02
chat,11,1071,0.0
info,11,6763,0.0
view,10,4425,0.0
activity,10,4084,0.0
server,9,51264,0.04
session,9,13841,0.02
context,9,9072,0.01
impl,9,69755,0.03
adapter,9,3427,0.0
connection,9,18648,0.02
core,8,129614,0.11
main,8,5532,0.0
task,8,10340,0.01
filter,8,7964,0.0
request,8,4904,0.0
list,8,3546,0.0
jms,7,49633,0.18
model,7,11251,0.0
login,7,2173,0.0
provider,7,15763,0.01
receiver,7,3849,0.01
image,7,793,0.0
base,7,3891,0.0
type,7,16112,0.01
queue,7,18126,0.04
common,6,20551,0.02
admin,6,4668,0.01
application,6,2739,0.0
http,6,3934,0.0
transport,6,18327,0.05
resource,6,9415,0.01
event,6,6812,0.0
processor,6,5322,0.01
messaging,6,8882,0.03
example,6,2955,0.0
amqp,6,35896,0.18
bean,5,6908,0.01
internal,5,11796,0.02
views,5,4504,0.01
file,5,7668,0.0
security,5,18638,0.03
cache,5,4084,0.0
response,5,4927,0.0
messages,5,2038,0.0
cluster,5,12400,0.03
callback,5,6735,0.01
auth,5,5791,0.01
sasl,5,10709,0.05
consumer,5,6013,0.01
fragment,5,1448,0.0
models,5,1043,0.0
error,5,3087,0.0
token,5,1743,0.0
services,4,4528,0.01
registry,4,5846,0.01
constants,4,5860,0.01
configuration,4,11027,0.01
object,4,4045,0.0
entity,4,2200,0.0
app,4,1387,0.0
protocol,4,37905,0.08
store,4,8555,0.01
management,4,18115,0.06
status,4,2610,0.0
netty,4,6767,0.02
profile,4,931,0.0
address,4,8310,0.02
stream,4,4424,0.0
helper,4,4233,0.0
builder,4,3354,0.0
dao,4,1078,0.0
contact,4,953,0.0
adapters,4,1160,0.0
topic,4,5297,0.02
friend,4,383,0.0
agent,3,1886,0.0
reader,3,2924,0.0
text,3,1720,0.0
web,3,2464,0.0
endpoint,3,8868,0.02
authentication,3,1726,0.0
add,3,1915,0.0
mapper,3,1263,0.0
map,3,2515,0.0
sender,3,2950,0.01
time,3,1464,0.0
instrumented,3,92,0.0
activities,3,187,0.0
policy,3,6019,0.02
module,3,3354,0.0
selector,3,5629,0.01
exceptions,3,3228,0.0
set,3,1464,0.0
link,3,1942,0.0
rest,3,8327,0.01
spi,3,6235,0.02
broker,3,6546,0.02
transaction,3,7209,0.02
member,3,965,0.0
group,3,3730,0.0
account,3,1009,0.0
controller,3,3540,0.0
parser,3,3992,0.0
state,3,3331,0.0
firebase,3,133,0.0
holder,3,1195,0.0
users,3,306,0.0
integration,2,18010,0.06
clients,2,7067,0.02
page,2,4759,0.01
sample,2,2024,0.0
dataservices,2,9482,0.05
integrator,2,29864,0.18
mediation,2,2317,0.01
transports,2,2530,0.02
component,2,7432,0.01
panel,2,2205,0.0
execution,2,731,0.0
xml,2,4147,0.0
menu,2,537,0.0
sql,2,6052,0.01
driver,2,3215,0.01
description,2,1944,0.01
handlers,2,1840,0.0
database,2,1594,0.0
register,2,331,0.0
key,2,1732,0.0
generator,2,2040,0.0
serializer,2,1583,0.0
delete,2,2467,0.0
search,2,895,0.0
global,2,285,0.0
get,2,1068,0.0
socket,2,1466,0.0
mode,2,711,0.0
ack,2,1127,0.0
sync,2,1190,0.0
future,2,1686,0.01
network,2,2901,0.0
lock,2,2556,0.01
codec,2,17023,0.03
retry,2,1415,0.0
broadcast,2,3071,0.01
local,2,2172,0.0
channel,2,3353,0.01
repository,2,5577,0.01
roster,2,4545,0.03
action,2,3360,0.0
item,2,2051,0.0
open,2,2390,0.0
presence,2,975,0.0
scram,2,2018,0.01
start,2,1769,0.0
report,2,1089,0.0
memory,2,1206,0.0
types,2,1170,0.0
exchange,2,3871,0.01
properties,2,3576,0.0
content,2,1446,0.0
artemis,2,139616,0.85
commands,2,6229,0.01
proton,2,39375,0.3
conversation,2,5424,0.02
async,2,2445,0.0
attachment,2,869,0.0
router,2,1228,0.0
device,2,1057,0.0
connector,2,3762,0.01
