keyword,doc_freq,total_freq,tfidf
bot,25,4891,0.12
message,18,21085,0.17
utils,18,8080,0.01
command,17,19224,0.14
util,16,7295,0.01
user,16,7727,0.05
manager,16,4017,0.02
event,14,28274,0.16
handler,13,6596,0.03
commands,13,19143,0.23
client,13,6116,0.04
exception,13,5077,0.01
type,12,3719,0.01
chat,11,7304,0.16
listener,11,10250,0.05
api,11,8724,0.05
action,11,5135,0.04
data,10,4286,0.01
update,10,3821,0.04
impl,10,18498,0.07
config,10,3911,0.01
service,10,7406,0.03
file,10,2013,0.01
request,10,10869,0.08
main,9,560,0.0
guild,9,6818,0.28
info,9,2536,0.01
model,9,20910,0.06
response,9,7968,0.06
parser,8,2234,0.01
set,8,1798,0.02
channel,8,16027,0.23
entity,8,10291,0.11
list,8,946,0.0
audio,8,3987,0.08
test,7,1597,0.01
game,7,2099,0.04
factory,7,1733,0.01
auto,7,455,0.01
configuration,7,2282,0.01
create,7,4247,0.06
base,7,1922,0.01
json,7,2825,0.02
controller,7,1780,0.01
player,7,1547,0.03
result,7,2295,0.01
core,7,7512,0.05
custom,7,2878,0.03
text,7,2661,0.02
session,6,401,0.01
log,6,1846,0.02
web,6,2565,0.02
task,6,1480,0.01
add,6,2048,0.03
status,6,1234,0.01
adapter,5,1688,0.01
constants,5,239,0.0
gui,5,400,0.01
location,5,852,0.01
random,5,664,0.01
database,5,2430,0.02
search,5,577,0.01
internal,5,5161,0.05
cache,5,1980,0.02
object,5,979,0.01
settings,5,1047,0.01
position,5,804,0.02
server,5,15268,0.09
component,5,1204,0.01
processor,5,614,0.0
item,5,1910,0.01
entities,5,2834,0.05
invite,5,1633,0.07
role,5,5609,0.11
image,5,1333,0.01
profile,5,1130,0.02
reply,5,855,0.02
member,5,3411,0.11
edit,5,1473,0.02
builder,5,3003,0.02
music,4,3292,0.11
general,4,1300,0.03
moderation,4,1376,0.06
playlist,4,1274,0.05
poll,4,465,0.02
rest,4,11574,0.13
modules,4,2585,0.05
engine,4,1359,0.02
group,4,2831,0.03
properties,4,1747,0.02
attachment,4,966,0.03
content,4,4734,0.06
discord,4,1647,0.07
order,4,354,0.01
strategy,4,1140,0.01
network,4,1561,0.02
input,4,1384,0.01
plugin,4,1056,0.01
webhook,4,1731,0.07
state,4,1333,0.01
listeners,4,1390,0.03
entry,4,759,0.01
application,4,1027,0.01
voice,4,4502,0.14
delete,4,2726,0.04
send,4,2173,0.04
template,4,1881,0.02
query,4,3350,0.03
get,4,2593,0.03
callback,4,1431,0.02
button,4,1027,0.02
messages,4,348,0.01
activity,3,935,0.01
irc,3,25,0.0
wrapper,3,304,0.0
options,3,1581,0.02
scheduler,3,395,0.01
currency,3,1899,0.05
module,3,4935,0.04
provider,3,2187,0.01
http,3,1689,0.01
document,3,965,0.02
room,3,213,0.01
node,3,926,0.01
build,3,1447,0.03
unit,3,657,0.01
managers,3,397,0.01
transport,3,104,0.0
special,3,718,0.02
java,3,341,0.0
repository,3,2084,0.02
helper,3,674,0.0
spawn,3,326,0.01
slot,3,312,0.01
reaction,3,2568,0.09
updater,3,1070,0.02
level,3,1455,0.03
login,3,745,0.01
cmd,3,2124,0.05
gif,3,283,0.01
help,3,474,0.01
option,3,778,0.01
events,3,3324,0.04
not,3,478,0.0
found,3,604,0.01
support,3,646,0.01
admin,3,572,0.01
name,3,927,0.01
audit,3,1880,0.05
payload,3,1229,0.03
interaction,3,2328,0.06
check,3,785,0.01
context,3,1174,0.01
trader,3,35,0.0
change,3,5563,0.08
filter,3,1381,0.01
inline,3,2821,0.13
sticker,3,987,0.04
cached,3,847,0.02
photo,3,794,0.02
keyboard,3,606,0.02
element,3,457,0.01
video,3,911,0.02
contact,3,464,0.01
menu,3,1875,0.03
example,2,123,0.0
slack,2,11,0.0
version,2,359,0.0
protocol,2,1192,0.02
logging,2,571,0.01
attack,2,150,0.0
line,2,1897,0.02
mod,2,377,0.01
objects,2,803,0.02
permissions,2,1260,0.03
report,2,94,0.0
welcome,2,397,0.01
you,2,200,0.01
shard,2,1018,0.04
ban,2,898,0.04
output,2,2223,0.02
utilities,2,1464,0.02
git,2,955,0.02
