keyword,doc_freq,total_freq,tfidf
model,3,7997,0.1
util,3,1068,0.01
factory,3,788,0.01
exception,3,2296,0.03
stream,3,440,0.02
rdf,3,121,0.02
impl,2,9517,0.16
listener,2,2508,0.05
provider,2,3196,0.08
filter,2,751,0.02
file,2,511,0.01
update,2,670,0.03
info,2,442,0.01
resource,2,785,0.03
not,2,225,0.01
service,1,8127,0.14
topic,1,3883,0.41
event,1,3705,0.09
association,1,2739,0.44
plugin,1,2544,0.11
type,1,2546,0.03
migrations,1,1838,0.27
pre,1,1308,0.12
storage,1,1310,0.07
topicmaps,1,1164,0.24
role,1,1163,0.1
accesscontrol,1,1151,0.23
assoc,1,1057,0.19
related,1,1027,0.16
post,1,936,0.07
access,1,933,0.07
files,1,802,0.06
topics,1,392,0.06
view,1,876,0.02
attached,1,779,0.14
mehta,1,756,0.15
deepa,1,754,0.15
config,1,688,0.01
object,1,710,0.02
topicmap,1,467,0.1
create,1,591,0.04
webservice,1,589,0.08
control,1,502,0.04
dmx,1,497,0.1
value,1,491,0.02
workspaces,1,474,0.1
facets,1,442,0.07
send,1,460,0.04
check,1,432,0.03
migration,1,250,0.03
delete,1,424,0.03
events,1,156,0.01
player,1,408,0.03
web,1,423,0.01
kns,1,875,0.24
kibe,1,822,0.22
install,1,519,0.06
utils,1,625,0.0
apple,1,383,0.09
server,1,444,0.01
visitor,1,297,0.02
app,1,244,0.01
list,1,361,0.01
locate,1,182,0.05
tdb,1,170,0.05
zip,1,158,0.02
box,1,189,0.01
console,1,138,0.01
binder,1,132,0.02
path,1,209,0.01
input,1,131,0.0
result,1,228,0.01
set,1,142,0.01
custom,1,88,0.0
fusca,1,88,0.02
resolver,1,64,0.0
kbkns,1,58,0.02
resolved,1,57,0.01
dereferencing,1,54,0.01
url,1,44,0.0
param,1,36,0.0
params,1,68,0.0
gzip,1,36,0.01
compressed,1,35,0.01
array,1,34,0.0
source,1,33,0.0
iterator,1,158,0.01
triple,1,30,0.0
main,1,30,0.0
installer,1,30,0.0
search,1,31,0.0
start,1,29,0.0
address,1,29,0.0
table,1,29,0.0
assertion,1,26,0.0
csv,1,105,0.01
output,1,15,0.0
transformer,1,15,0.0
processor,1,15,0.0
json,1,422,0.01
writer,1,11,0.0
mapper,1,1872,0.1
vocabulary,1,495,0.07
template,1,360,0.02
jena,1,285,0.05
query,1,279,0.01
base,1,212,0.0
builder,1,201,0.01
application,1,290,0.01
parameter,1,183,0.01
http,1,181,0.01
ontology,1,175,0.03
violation,1,161,0.02
constraint,1,161,0.02
graph,1,141,0.01
call,1,125,0.01
skolemizing,1,95,0.02
validating,1,95,0.02
found,1,96,0.01
response,1,379,0.01
queried,1,75,0.02
dataset,1,75,0.01
matcher,1,75,0.0
sparql,1,71,0.01
endpoint,1,71,0.01
store,1,71,0.0
parse,1,67,0.0
sioc,1,67,0.01
xhv,1,67,0.01
item,1,181,0.01
skolemizer,1,67,0.01
validator,1,66,0.0
configuration,1,431,0.01
rule,1,62,0.0
printer,1,62,0.01
skolemization,1,61,0.01
hypermedia,1,61,0.01
riot,1,52,0.01
datatype,1,51,0.01
format,1,51,0.0
