keyword,doc_freq,total_freq,tfidf
feature,2,340,0.2
train,2,90,0.1
model,2,83,0.01
file,2,56,0.01
utils,2,182,0.01
eval,2,84,0.09
sequential,1,56,0.09
provider,1,56,0.01
training,1,48,0.05
part,1,42,0.05
sequence,1,42,0.02
reader,1,35,0.01
extractor,1,30,0.02
template,1,28,0.01
learner,1,28,0.04
struct,1,28,0.03
executor,1,28,0.01
overlapped,1,28,0.06
config,1,27,0.0
features,1,14,0.01
vector,1,30,0.02
fixed,1,19,0.02
dataset,1,17,0.02
sentence,1,14,0.01
name,1,14,0.01
light,1,14,0.01
buffer,1,14,0.01
extract,1,14,0.02
crf,1,14,0.02
loader,1,14,0.0
joint,1,14,0.02
conll,1,14,0.02
crfxx,1,14,0.03
sgd,1,14,0.02
ring,1,14,0.02
path,1,14,0.01
svm,1,14,0.02
literal,1,14,0.01
exec,1,14,0.01
encoder,1,14,0.01
state,1,14,0.0
scorer,1,14,0.02
vec,1,12,0.01
producer,1,9,0.01
json,1,9,0.0
lifecycle,1,8,0.01
event,1,6,0.0
with,1,6,0.0
word,1,6,0.01
runner,1,6,0.0
gbdt,1,385,0.76
data,1,273,0.03
optimizer,1,203,0.21
predictor,1,189,0.26
loss,1,154,0.18
dataflow,1,147,0.22
params,1,112,0.07
param,1,105,0.07
function,1,126,0.04
approximate,1,105,0.19
online,1,91,0.13
flow,1,84,0.06
sampler,1,70,0.09
tree,1,70,0.03
hoag,1,70,0.14
operation,1,70,0.04
missing,1,63,0.08
worker,1,63,0.04
sample,1,56,0.02
factory,1,56,0.01
hinge,1,42,0.08
linear,1,42,0.03
multiclass,1,42,0.08
evaluator,1,42,0.03
quantile,1,35,0.07
type,1,35,0.0
compute,1,28,0.04
core,1,28,0.01
system,1,28,0.01
maker,1,28,0.03
normlization,1,28,0.06
gbmlr,1,28,0.06
map,1,21,0.01
random,1,21,0.01
continuous,1,21,0.02
tuple,1,21,0.02
value,1,21,0.01
gbhmlr,1,21,0.04
gbsdt,1,21,0.04
ffm,1,21,0.04
gbhsdt,1,21,0.04
norm,1,21,0.03
stats,1,14,0.01
point,1,14,0.01
