keyword,doc_freq,total_freq,tfidf
math,5,60,0.01
activity,4,1523,0.11
test,4,44,0.0
main,3,83,0.0
view,3,192,0.01
text,3,793,0.06
fragment,3,436,0.05
settings,3,174,0.02
parser,3,159,0.01
not,2,26,0.0
arrays,2,9,0.0
big,2,11,0.0
util,2,1232,0.03
type,2,31,0.0
factory,2,45,0.0
example,2,21,0.0
dialog,2,600,0.08
converter,2,310,0.04
app,2,206,0.02
info,2,176,0.01
adapter,2,137,0.01
application,2,29,0.0
mathjs,1,6,0.0
state,1,2,0.0
and,1,7,0.0
shift,1,1,0.0
multiply,1,1,0.0
divide,1,1,0.0
xor,1,1,0.0
division,1,1,0.0
pow,1,1,0.0
subtract,1,1,0.0
bits,1,1,0.0
misc,1,1,0.0
add,1,1,0.0
string,1,28,0.0
support,1,107,0.02
buffer,1,40,0.01
fast,1,24,0.01
vec,1,24,0.01
linear,1,66,0.02
allocator,1,16,0.01
mat,1,16,0.01
precision,1,8,0.0
literal,1,8,0.0
compare,1,8,0.0
jglm,1,8,0.0
config,1,8,0.0
calc,1,8,0.0
matrices,1,8,0.0
instrumented,1,9,0.0
format,1,2034,0.34
utils,1,453,0.01
markdown,1,717,0.31
highlighter,1,573,0.25
preference,1,497,0.13
todotxt,1,448,0.28
span,1,423,0.13
general,1,398,0.11
color,1,378,0.06
todo,1,374,0.15
plaintext,1,337,0.18
txt,1,328,0.16
filesystem,1,300,0.14
document,1,297,0.06
actions,1,274,0.05
editor,1,239,0.05
paragraph,1,217,0.09
file,1,206,0.01
creator,1,178,0.04
hleditor,1,208,0.13
renderer,1,202,0.04
viewer,1,190,0.05
share,1,182,0.06
openeditor,1,176,0.11
open,1,175,0.03
search,1,170,0.02
compat,1,161,0.05
background,1,159,0.04
property,1,159,0.02
backend,1,159,0.05
pattern,1,152,0.03
base,1,151,0.01
auto,1,146,0.03
builder,1,133,0.01
slider,1,133,0.05
custom,1,126,0.02
stt,1,124,0.08
listener,1,120,0.01
item,1,67,0.01
user,1,3,0.0
keys,1,3,0.0
adaptor,1,3,0.0
priority,1,10,0.0
queue,1,10,0.0
stack,1,10,0.0
comparator,1,10,0.0
jlatexmath,1,797,0.61
core,1,596,0.05
atom,1,365,0.13
exception,1,95,0.0
box,1,99,0.02
formula,1,44,0.02
font,1,95,0.03
invalid,1,35,0.01
symbol,1,30,0.01
delimiter,1,30,0.02
registration,1,26,0.01
found,1,25,0.0
over,1,25,0.01
macro,1,20,0.01
dynamic,1,20,0.0
parse,1,20,0.0
under,1,20,0.01
alphabet,1,16,0.01
mapping,1,15,0.0
predefined,1,15,0.01
arrow,1,15,0.01
scale,1,15,0.0
style,1,20,0.0
row,1,15,0.0
glue,1,15,0.01
atoms,1,5,0.0
greek,1,14,0.01
gebra,1,10,0.01
external,1,10,0.0
predef,1,10,0.01
geo,1,10,0.0
logo,1,10,0.0
java,1,10,0.0
rendering,1,10,0.0
scripts,1,10,0.0
resource,1,10,0.0
environment,1,10,0.0
empty,1,10,0.0
reflect,1,10,0.0
expreval,1,40,0.03
expr,1,8,0.0
eval,1,8,0.0
edit,1,63,0.01
context,1,121,0.01
variable,1,4,0.0
function,1,4,0.0
writer,1,4,0.0
expression,1,3,0.0
library,1,3,0.0
localizer,1,3,0.0
