keyword,doc_freq,total_freq,tfidf
activity,13,407,0.02
view,9,961,0.04
test,9,94,0.0
main,9,80,0.0
instrumented,7,114,0.01
example,7,36,0.0
helper,6,51,0.0
adapter,6,156,0.01
data,6,74,0.0
util,5,538,0.01
utils,5,169,0.0
listener,5,282,0.01
fragment,5,91,0.01
base,4,206,0.01
key,4,288,0.03
date,4,33,0.0
exception,4,872,0.02
custom,4,40,0.0
application,4,22,0.0
model,4,2675,0.07
item,4,31,0.0
list,4,286,0.01
server,4,1688,0.1
android,4,2541,0.35
detector,3,18,0.0
point,3,68,0.01
callback,3,12,0.0
open,3,64,0.01
constants,3,11,0.0
dialog,3,33,0.0
file,3,61,0.0
app,3,250,0.02
manager,3,160,0.01
handler,3,4896,0.24
device,3,610,0.1
request,3,201,0.01
home,3,60,0.01
check,3,6,0.0
image,3,11,0.0
models,3,186,0.02
response,3,267,0.02
client,3,152,0.01
mat,2,48,0.01
optical,2,15,0.0
flow,2,17,0.0
camera,2,19,0.0
tonemap,2,15,0.0
loader,2,44,0.0
descriptor,2,12,0.0
merge,2,12,0.0
matcher,2,61,0.01
background,2,43,0.01
subtractor,2,9,0.0
feature,2,9,0.0
classifier,2,9,0.0
stereo,2,9,0.0
video,2,11,0.0
rect,2,9,0.0
calibrate,2,9,0.0
renderer,2,102,0.01
cascade,2,6,0.0
extractor,2,6,0.0
match,2,6,0.0
align,2,6,0.0
exposures,2,6,0.0
trees,2,6,0.0
log,2,453,0.04
demo,2,36,0.0
impl,2,414,0.02
receiver,2,16,0.0
internal,2,1142,0.12
formatter,2,44,0.01
network,2,128,0.01
http,2,561,0.04
adapters,2,47,0.01
array,2,11,0.0
pager,2,34,0.01
text,2,252,0.02
recycler,2,6,0.0
about,2,13,0.0
currency,2,101,0.03
get,2,1049,0.11
signup,2,24,0.01
favorites,2,27,0.01
alert,2,318,0.09
details,2,64,0.01
screen,2,418,0.08
detail,2,12,0.0
presenter,2,40,0.01
service,2,36,0.0
web,2,424,0.03
updater,2,18,0.0
click,2,64,0.01
touch,2,633,0.13
action,2,739,0.05
tree,2,199,0.02
session,2,477,0.06
robertson,1,6,0.0
ann,1,4,0.0
mlp,1,4,0.0
scan,1,2,0.0
trainer,1,6,0.0
bow,1,6,0.0
meter,1,6,0.0
debevec,1,6,0.0
sparse,1,6,0.0
svm,1,3,0.0
videoio,1,3,0.0
moments,1,3,0.0
term,1,3,0.0
criteria,1,7,0.0
converters,1,3,0.0
extras,1,2,0.0
pdfviewer,1,2,0.0
record,1,34,0.0
upload,1,22,0.0
trojan,1,20,0.01
config,1,16,0.0
writer,1,15,0.0
uploader,1,12,0.0
lancet,1,8,0.0
executor,1,37,0.0
recorder,1,8,0.0
hook,1,7,0.0
string,1,4,0.0
gson,1,4,0.0
prepare,1,4,0.0
permission,1,37,0.01
wait,1,157,0.05
mmap,1,4,0.0
dispatcher,1,4,0.0
lean,1,4,0.0
cloud,1,6,0.0
normal,1,7,0.0
life,1,4,0.0
logger,1,55,0.01
task,1,107,0.01
contract,1,9,0.0
update,1,8,0.0
edit,1,8,0.0
button,1,6,0.0
picker,1,6,0.0
second,1,3,0.0
radio,1,3,0.0
articles,1,3,0.0
message,1,3,0.0
spinner,1,3,0.0
box,1,3,0.0
field,1,3,0.0
order,1,32,0.01
display,1,29,0.01
masterdata,1,21,0.01
sales,1,19,0.01
misc,1,19,0.0
create,1,64,0.01
employee,1,15,0.01
customer,1,15,0.0
material,1,14,0.0
modify,1,14,0.01
purchase,1,12,0.01
purchasing,1,10,0.01
status,1,91,0.01
orders,1,3,0.0
materials,1,4,0.0
sellers,1,4,0.0
expandable,1,4,0.0
code,1,35,0.0
help,1,3,0.0
auto,1,3,0.0
fit,1,3,0.0
grid,1,59,0.01
layout,1,3,0.0
graphical,1,3,0.0
analysis,1,3,0.0
employees,1,2,0.0
seller,1,2,0.0
compat,1,2,0.0
preference,1,2,0.0
current,1,53,0.02
tapjoy,1,26,0.02
placement,1,13,0.01
balance,1,13,0.0
connect,1,13,0.0
earned,1,13,0.01
module,1,13,0.0
shopping,1,24,0.01
cart,1,24,0.01
menu,1,75,0.01
login,1,15,0.0
favorite,1,20,0.01
entry,1,39,0.0
movies,1,3,0.0
movie,1,3,0.0
connection,1,113,0.01
splash,1,5,0.0
info,1,11,0.0
payment,1,3,0.0
confirm,1,3,0.0
boarding,1,15,0.01
flight,1,12,0.0
input,1,10,0.0
router,1,4,0.0
worker,1,4,0.0
configurator,1,4,0.0
interactor,1,4,0.0
empty,1,2,0.0
past,1,2,0.0
trip,1,2,0.0
activities,1,85,0.02
handlers,1,24,0.0
game,1,18,0.0
classes,1,10,0.0
dependence,1,10,0.0
fragments,1,8,0.0
collection,1,8,0.0
socket,1,4,0.0
setting,1,4,0.0
resizer,1,3,0.0
cryptobuddy,1,411,0.19
rest,1,128,0.01
currencylist,1,57,0.03
currencydetails,1,42,0.02
coin,1,40,0.02
markets,1,35,0.02
formatters,1,25,0.01
node,1,78,0.01
singletons,1,25,0.01
singleton,1,19,0.0
all,1,22,0.0
cmc,1,21,0.01
market,1,15,0.0
sections,1,18,0.01
tabs,1,17,0.0
month,1,16,0.01
slash,1,16,0.01
trading,1,14,0.0
pair,1,14,0.0
chartandtable,1,12,0.01
chartandprice,1,12,0.01
progress,1,10,0.0
graph,1,10,0.0
chrome,1,10,0.0
coins,1,7,0.0
controls,1,28,0.01
commands,1,16,0.0
virtual,1,8,0.0
pad,1,4,0.0
converter,1,40,0.0
turn,1,4,0.0
state,1,124,0.01
slide,1,4,0.0
direction,1,36,0.01
connectivity,1,4,0.0
start,1,4,0.0
settings,1,6,0.0
locale,1,4,0.0
keyboard,1,55,0.01
frame,1,43,0.01
modules,1,58,0.01
dialogs,1,29,0.01
react,1,29,0.01
mac,1,32,0.01
decomposition,1,20,0.01
methods,1,16,0.0
fast,1,19,0.0
mfcc,1,16,0.01
math,1,13,0.0
operations,1,9,0.0
actclassification,1,9,0.01
operation,1,59,0.01
gaussian,1,10,0.0
binding,1,9,0.0
act,1,8,0.0
classification,1,8,0.0
random,1,8,0.0
collector,1,8,0.0
cache,1,8,0.0
votes,1,8,0.0
recording,1,6,0.0
clustering,1,5,0.0
limited,1,5,0.0
value,1,8,0.0
singularity,1,5,0.0
frequency,1,5,0.0
properties,1,35,0.0
mixture,1,5,0.0
invalid,1,5,0.0
component,1,5,0.0
strong,1,5,0.0
reference,1,56,0.01
singular,1,5,0.0
cholesky,1,5,0.0
covariance,1,5,0.0
fft,1,5,0.0
