keyword,doc_freq,total_freq,tfidf
resource,4,2834,0.02
common,3,7988,0.05
entry,3,1367,0.01
helper,3,1463,0.01
impl,3,6908,0.02
client,3,3315,0.02
file,3,2515,0.01
service,3,2199,0.01
exception,3,3069,0.01
application,3,318,0.0
repository,3,159,0.0
list,2,2413,0.01
util,2,1425,0.0
builder,2,1861,0.01
server,2,4833,0.02
auth,2,3829,0.04
factory,2,3853,0.01
provider,2,2875,0.01
domain,2,1986,0.02
token,2,2347,0.02
data,2,1269,0.0
config,2,1500,0.0
filter,2,1119,0.0
request,2,1214,0.01
container,2,1298,0.01
resources,2,2850,0.04
api,2,3523,0.02
tools,2,16703,0.19
cli,2,1777,0.02
docker,2,1516,0.05
registry,2,3849,0.05
test,2,1623,0.0
image,2,3285,0.02
event,2,1219,0.01
guestbook,2,230,0.01
error,2,624,0.0
controller,2,32,0.0
verticle,2,40,0.0
rest,2,280,0.0
configuration,2,1241,0.01
immutable,1,1391,0.03
map,1,1067,0.01
tree,1,959,0.01
array,1,897,0.01
hash,1,962,0.01
node,1,803,0.0
set,1,560,0.0
cursors,1,453,0.02
cursor,1,429,0.01
value,1,397,0.0
proxy,1,509,0.0
serialization,1,339,0.01
trie,1,318,0.01
empty,1,307,0.01
timing,1,224,0.01
insert,1,222,0.0
iterator,1,191,0.0
order,1,221,0.0
iterators,1,171,0.01
btree,1,198,0.01
adaptor,1,199,0.01
indexed,1,194,0.01
function,1,168,0.0
sequence,1,176,0.0
multiset,1,167,0.01
result,1,256,0.0
comparison,1,148,0.0
multi,1,143,0.0
listmap,1,141,0.01
branch,1,129,0.0
single,1,250,0.0
leaf,1,126,0.0
setmap,1,126,0.01
iocursors,1,121,0.01
immutables,1,35,0.0
transform,1,97,0.0
inorder,1,105,0.0
closeable,1,96,0.0
delete,1,92,0.0
mutable,1,90,0.0
functions,1,69,0.0
collision,1,87,0.0
loop,1,88,0.0
stack,1,109,0.0
zts,1,10007,0.44
zms,1,8953,0.39
store,1,5568,0.05
cert,1,4912,0.13
zpe,1,2490,0.11
notification,1,2229,0.03
instance,1,2149,0.03
key,1,1789,0.01
utils,1,1369,0.0
log,1,1761,0.01
role,1,1562,0.02
record,1,1589,0.02
policy,1,1396,0.02
authority,1,1040,0.03
aws,1,975,0.02
access,1,1004,0.01
ssh,1,880,0.03
connection,1,876,0.01
identity,1,776,0.02
msd,1,775,0.03
signer,1,740,0.02
match,1,729,0.01
metric,1,637,0.01
audit,1,691,0.02
workload,1,668,0.03
change,1,664,0.01
jdbc,1,652,0.01
dynamo,1,611,0.02
object,1,700,0.0
athenz,1,605,0.03
core,1,3580,0.02
helpers,1,2431,0.04
tool,1,1363,0.02
jdbi,1,1436,0.05
dao,1,1351,0.01
workflow,1,909,0.02
permissions,1,927,0.02
version,1,982,0.01
source,1,993,0.01
language,1,600,0.01
rss,1,658,0.02
handler,1,977,0.0
repo,1,612,0.01
yaml,1,621,0.01
languages,1,448,0.01
user,1,968,0.01
metadata,1,600,0.01
cwl,1,458,0.02
doi,1,448,0.02
code,1,416,0.0
git,1,399,0.01
extended,1,402,0.01
dockstore,1,394,0.02
model,1,380,0.0
type,1,571,0.0
hub,1,357,0.01
tag,1,425,0.0
proposed,1,330,0.01
nested,1,329,0.01
database,1,283,0.0
constants,1,332,0.0
chat,1,177,0.0
springboot,1,165,0.0
grpc,1,155,0.0
metrics,1,574,0.01
interceptor,1,91,0.0
echo,1,70,0.0
jwt,1,384,0.01
eureka,1,54,0.0
trace,1,57,0.0
kubernetes,1,30,0.0
name,1,35,0.0
resolver,1,275,0.0
example,1,384,0.0
greeting,1,27,0.0
cmd,1,25,0.0
armeria,1,24,0.0
prometheus,1,159,0.0
goodbye,1,19,0.0
average,1,19,0.0
zipkin,1,19,0.0
call,1,19,0.0
subscribe,1,19,0.0
credential,1,606,0.01
constant,1,19,0.0
unknown,1,74,0.0
status,1,452,0.0
description,1,190,0.0
handling,1,15,0.0
custom,1,97,0.0
side,1,15,0.0
load,1,84,0.0
balanced,1,15,0.0
simple,1,335,0.0
servlet,1,119,0.0
vaadin,1,12,0.0
inventory,1,136,0.0
catalog,1,102,0.0
product,1,34,0.0
gateway,1,34,0.0
fruit,1,2,0.0
helloworld,1,78,0.0
message,1,348,0.0
jax,1,18,0.0
main,1,193,0.0
activator,1,18,0.0
cors,1,17,0.0
badword,1,7,0.0
jib,1,16911,0.74
plugins,1,1961,0.03
gradle,1,2043,0.05
json,1,2228,0.01
blob,1,1462,0.03
maven,1,1444,0.03
steps,1,1192,0.03
cache,1,1654,0.01
layer,1,1121,0.02
integration,1,1031,0.02
step,1,758,0.01
build,1,982,0.02
manifest,1,1012,0.02
template,1,1528,0.01
skaffold,1,836,0.04
credentials,1,834,0.02
parameters,1,629,0.01
mojo,1,607,0.01
extension,1,605,0.01
plugin,1,529,0.0
http,1,1131,0.01
project,1,485,0.01
task,1,851,0.0
tar,1,442,0.01
progress,1,460,0.01
buildplan,1,416,0.02
files,1,426,0.01
digest,1,393,0.01
logging,1,373,0.0
invalid,1,364,0.0
filesystem,1,354,0.01
buildfile,1,353,0.02
properties,1,432,0.0
spec,1,328,0.01
