keyword,doc_freq,total_freq,tfidf
message,2,211,0.02
notice,2,162,0.11
commands,2,99,0.02
msg,2,43,0.01
types,1,1046,0.17
builder,1,358,0.03
impl,1,271,0.01
usernotice,1,256,0.21
twitch,1,233,0.14
mode,1,171,0.03
type,1,58,0.0
users,1,136,0.04
clear,1,154,0.07
emote,1,151,0.11
cheer,1,144,0.12
host,1,142,0.04
target,1,141,0.04
roomstate,1,137,0.11
chat,1,136,0.04
user,1,103,0.01
twirk,1,90,0.07
event,1,82,0.01
reconnect,1,72,0.06
userstate,1,69,0.06
example,1,68,0.01
subtype,1,60,0.05
subscription,1,60,0.02
command,1,51,0.0
gikk,1,50,0.04
subscriber,1,48,0.02
parser,1,48,0.0
listener,1,42,0.0
thread,1,36,0.01
output,1,36,0.0
events,1,24,0.0
size,1,29,0.01
tag,1,27,0.0
map,1,24,0.0
ritual,1,24,0.02
gift,1,24,0.01
raid,1,24,0.02
base,1,22,0.0
maintainance,1,18,0.01
queue,1,18,0.0
input,1,18,0.0
clearchat,1,17,0.01
hosttarget,1,17,0.01
sub,1,17,0.0
pattern,1,17,0.0
prefix,1,17,0.01
mobibot,1,1099,0.9
modules,1,306,0.07
tell,1,99,0.07
entry,1,98,0.01
entries,1,75,0.04
module,1,39,0.0
twitter,1,65,0.03
quote,1,51,0.02
mgr,1,50,0.03
feed,1,49,0.02
reader,1,52,0.01
search,1,49,0.01
comment,1,49,0.01
link,1,49,0.01
converter,1,49,0.01
stock,1,49,0.02
google,1,49,0.01
currency,1,49,0.02
info,1,49,0.0
release,1,45,0.02
war,1,40,0.03
utils,1,35,0.0
auth,1,32,0.01
weather,1,31,0.01
messages,1,34,0.01
delicious,1,26,0.02
poster,1,26,0.02
time,1,25,0.0
lookup,1,25,0.01
world,1,25,0.01
dice,1,25,0.01
swing,1,23,0.01
worker,1,23,0.0
joke,1,23,0.02
ping,1,19,0.01
calc,1,19,0.01
pinboard,1,14,0.01
exception,1,10,0.0
threaded,1,10,0.01
constants,1,10,0.0
versions,1,7,0.0
jaiku,1,5,0.0
error,1,5,0.0
identica,1,4,0.0
