keyword,doc_freq,total_freq,tfidf
utils,12,1651,0.01
util,12,6190,0.02
type,12,3151,0.02
exception,11,1845,0.01
file,10,2555,0.01
method,8,3976,0.08
string,8,1696,0.02
attribute,8,1249,0.04
item,7,3500,0.04
code,7,2602,0.05
info,7,1918,0.02
value,6,11275,0.15
resource,6,1830,0.03
node,6,1070,0.01
impl,6,1686,0.01
map,5,512,0.01
xml,5,1925,0.03
pool,5,1888,0.04
annotation,5,1867,0.04
field,5,1785,0.03
list,5,1320,0.01
local,5,913,0.02
table,5,821,0.01
java,5,556,0.01
data,4,4737,0.03
writer,4,3617,0.06
analysis,4,2103,0.06
section,4,713,0.03
graph,4,836,0.02
event,4,787,0.01
text,4,676,0.01
parser,4,1875,0.02
tree,4,2709,0.05
source,4,1108,0.02
constant,4,202,0.01
decompiler,3,3988,0.32
helper,3,415,0.0
instruction,3,8875,0.45
res,3,5759,0.28
builder,3,6419,0.07
dex,3,3654,0.25
base,3,3242,0.03
adaptors,3,1791,0.11
debug,3,1862,0.06
array,3,1091,0.02
attr,3,998,0.06
set,3,734,0.01
element,3,599,0.01
configuration,3,1346,0.01
metadata,3,192,0.01
context,3,770,0.01
plugin,3,1140,0.02
custom,3,177,0.0
visitor,3,718,0.02
frame,3,206,0.0
command,3,728,0.01
line,3,365,0.01
config,3,1526,0.01
insn,3,1221,0.09
result,3,741,0.01
listener,3,512,0.0
validation,3,429,0.01
signature,3,448,0.02
name,3,431,0.01
inner,3,108,0.01
parameter,3,529,0.01
reader,3,347,0.01
exceptions,3,140,0.0
constants,3,203,0.0
struct,3,1158,0.05
main,3,614,0.0
task,3,413,0.01
hash,3,64,0.0
model,3,1239,0.01
generic,3,258,0.01
handler,3,720,0.01
helpers,2,30,0.0
methods,2,53,0.0
parse,2,1842,0.05
immutable,2,6610,0.28
dexbacked,2,4096,0.3
iface,2,4072,0.29
encoded,2,3364,0.21
decoder,2,2371,0.07
backed,2,2496,0.15
reference,2,2575,0.08
formats,2,1439,0.08
format,2,919,0.02
stream,2,1000,0.01
raw,2,1160,0.04
payload,2,592,0.02
rewriter,2,975,0.06
serializer,2,468,0.01
manifest,2,413,0.02
chunk,2,733,0.03
apk,2,273,0.01
android,2,294,0.01
end,2,437,0.02
start,2,203,0.01
activity,2,69,0.0
entry,2,296,0.01
screen,2,70,0.0
with,2,145,0.0
service,2,165,0.0
doc,2,400,0.02
view,2,553,0.0
relation,2,463,0.02
options,2,243,0.01
one,2,275,0.01
simple,2,257,0.0
key,2,131,0.0
property,2,57,0.0
api,2,458,0.0
controls,2,1227,0.05
control,2,1598,0.05
size,2,353,0.01
ast,2,2097,0.09
search,2,1405,0.03
editor,2,846,0.02
decompile,2,733,0.06
mapping,2,696,0.02
hex,2,631,0.04
variable,2,585,0.02
member,2,383,0.02
number,2,433,0.01
jar,2,152,0.01
access,2,434,0.01
load,2,105,0.0
stack,2,176,0.01
common,2,120,0.0
similarity,2,24,0.0
classfile,2,1167,0.1
annotations,2,273,0.01
gui,2,508,0.01
runtime,2,194,0.01
pair,2,135,0.0
formatter,2,399,0.01
adapter,2,316,0.0
processor,2,269,0.0
files,2,211,0.01
stats,2,156,0.0
buffer,2,110,0.0
request,2,119,0.0
support,2,915,0.03
factory,2,1056,0.01
validator,2,184,0.0
types,2,601,0.01
jni,1,33,0.0
analyzer,1,164,0.01
apat,1,3,0.0
information,1,52,0.0
function,1,17,0.0
values,1,322,0.01
smali,1,652,0.06
register,1,539,0.02
ext,1,407,0.02
permission,1,164,0.0
uses,1,211,0.02
namespace,1,33,0.0
chunks,1,11,0.0
library,1,39,0.0
resources,1,218,0.01
screens,1,45,0.0
cdata,1,11,0.0
grant,1,28,0.0
uri,1,28,0.0
spec,1,221,0.01
unknown,1,304,0.02
parsing,1,16,0.0
intent,1,28,0.0
serializable,1,135,0.01
supports,1,28,0.0
identifier,1,45,0.0
application,1,45,0.0
receiver,1,28,0.0
matcher,1,316,0.01
doclet,1,290,0.03
uml,1,174,0.02
test,1,280,0.0
pattern,1,129,0.0
