keyword,doc_freq,total_freq,tfidf
trade,5,602,0.03
strategy,5,1540,0.03
base,4,583,0.0
helper,4,292,0.0
command,3,1395,0.02
stop,3,340,0.02
trades,3,283,0.02
data,3,623,0.0
profit,3,316,0.03
exception,3,253,0.0
indicator,3,10828,0.53
trading,3,1777,0.11
criterion,3,1808,0.12
bollinger,3,779,0.06
candles,3,727,0.05
price,3,898,0.05
simple,3,1092,0.01
bar,3,661,0.02
series,3,511,0.02
value,3,462,0.01
ema,3,365,0.03
bands,3,340,0.02
upper,3,249,0.02
order,3,840,0.03
util,3,501,0.0
csv,3,192,0.01
view,2,167,0.0
chart,2,62,0.0
tick,2,205,0.01
transaction,2,309,0.01
error,2,290,0.0
margin,2,44,0.0
model,2,212,0.0
history,2,70,0.0
type,2,165,0.0
range,2,176,0.0
client,2,31,0.0
balance,2,225,0.01
indicators,2,10531,0.78
helpers,2,2430,0.08
rules,2,1762,0.06
rule,2,1727,0.04
analysis,2,1911,0.05
criteria,2,1654,0.08
volume,2,913,0.04
trackers,2,1376,0.11
ichimoku,2,800,0.06
statistics,2,610,0.02
average,2,644,0.04
keltner,2,437,0.04
loss,2,414,0.02
directional,2,532,0.04
strategies,2,552,0.03
and,2,395,0.01
number,2,313,0.01
down,2,382,0.02
time,2,309,0.0
movement,2,400,0.03
aroon,2,264,0.03
stochastic,2,260,0.02
factory,2,460,0.0
market,2,393,0.02
report,2,519,0.02
portfolio,2,347,0.02
position,2,267,0.01
config,2,151,0.0
currency,2,110,0.01
lib,2,303,0.01
backtest,2,161,0.01
main,2,163,0.0
entry,2,51,0.0
lower,2,249,0.02
message,1,646,0.01
response,1,371,0.01
records,1,210,0.01
record,1,321,0.01
api,1,185,0.0
streaming,1,184,0.01
tester,1,86,0.0
codes,1,70,0.0
symbol,1,71,0.0
sync,1,70,0.0
subscribe,1,99,0.01
presenter,1,45,0.0
status,1,42,0.0
candle,1,38,0.0
code,1,28,0.0
info,1,33,0.0
activity,1,33,0.0
prices,1,28,0.0
server,1,28,0.0
calendar,1,27,0.0
viewer,1,26,0.0
content,1,23,0.0
trader,1,22,0.0
sampler,1,21,0.0
keep,1,21,0.0
alive,1,21,0.0
version,1,21,0.0
step,1,21,0.0
hours,1,21,0.0
demo,1,56,0.0
oscillator,1,403,0.04
pivotpoints,1,326,0.03
cost,1,348,0.02
num,1,315,0.02
fixed,1,276,0.01
adx,1,216,0.02
aggregator,1,225,0.01
standard,1,230,0.01
linear,1,222,0.01
dao,1,1659,0.03
jpa,1,571,0.03
run,1,442,0.01
service,1,465,0.0
mode,1,449,0.01
xchange,1,426,0.04
update,1,147,0.0
fill,1,132,0.01
listener,1,141,0.0
console,1,132,0.0
listing,1,115,0.01
save,1,126,0.01
ticks,1,181,0.01
ohlc,1,117,0.01
exchange,1,101,0.0
annotation,1,110,0.0
amount,1,212,0.02
parse,1,112,0.0
injector,1,105,0.0
book,1,102,0.0
plug,1,94,0.01
replay,1,93,0.01
listings,1,68,0.01
generic,1,84,0.0
exchanges,1,70,0.01
cryptobot,1,238,0.02
bitfinex,1,98,0.01
manager,1,167,0.0
crypto,1,48,0.0
entity,1,78,0.0
bot,1,42,0.0
donchian,1,36,0.0
channel,1,229,0.01
commands,1,11,0.0
state,1,73,0.0
forex,1,10,0.0
size,1,9,0.0
breakout,1,9,0.0
hibernate,1,9,0.0
historical,1,55,0.0
cli,1,9,0.0
tools,1,9,0.0
direction,1,9,0.0
processor,1,9,0.0
merger,1,9,0.0
math,1,57,0.0
support,1,38,0.0
resistance,1,38,0.0
detector,1,8,0.0
oscillators,1,468,0.04
buy,1,296,0.02
gain,1,221,0.02
hold,1,223,0.02
true,1,132,0.01
bollingerbands,1,124,0.01
deviation,1,214,0.02
tracker,1,50,0.0
observers,1,88,0.01
observer,1,88,0.0
kalman,1,82,0.01
context,1,86,0.0
orders,1,54,0.0
back,1,55,0.0
test,1,74,0.0
meanrevertion,1,44,0.0
score,1,44,0.0
exit,1,208,0.01
exist,1,33,0.0
open,1,139,0.0
not,1,162,0.0
runner,1,106,0.0
all,1,36,0.0
symbols,1,36,0.0
enough,1,22,0.0
cointegration,1,27,0.0
closed,1,22,0.0
filter,1,43,0.0
account,1,92,0.0
calculate,1,22,0.0
application,1,42,0.0
available,1,22,0.0
multiple,1,22,0.0
yahoo,1,22,0.0
common,1,22,0.0
violation,1,11,0.0
