keyword,doc_freq,total_freq,tfidf
activity,99,1908,0.02
main,83,2428,0.02
test,75,817,0.01
view,67,1593,0.02
example,53,373,0.0
instrumented,49,335,0.01
animation,37,5291,0.23
listener,33,666,0.01
application,31,286,0.0
utils,31,1440,0.01
adapter,30,344,0.0
fragment,25,394,0.01
animator,20,1385,0.1
base,19,579,0.01
util,18,421,0.0
sample,16,384,0.01
custom,15,172,0.0
layout,14,294,0.01
drawable,14,309,0.02
pager,13,78,0.0
image,13,541,0.01
recycler,13,88,0.0
helper,13,347,0.0
item,12,533,0.01
text,11,624,0.01
list,11,222,0.0
simple,10,370,0.01
demo,10,1008,0.02
model,10,4230,0.03
callback,10,565,0.01
bar,10,359,0.01
circle,10,234,0.01
button,9,517,0.02
color,8,1261,0.04
value,8,2020,0.03
menu,8,347,0.01
data,8,1161,0.01
android,8,584,0.02
progress,8,163,0.01
card,8,55,0.0
out,7,513,0.02
zoom,7,270,0.02
builder,7,33,0.0
interpolator,7,171,0.01
horizontal,7,99,0.01
background,7,224,0.01
content,7,3627,0.09
page,7,38,0.0
drag,7,175,0.01
slide,6,185,0.01
animations,6,141,0.01
transition,6,143,0.01
vertical,6,59,0.0
type,6,529,0.0
line,6,277,0.01
touch,6,40,0.0
manager,6,439,0.0
bitmap,6,210,0.01
change,6,148,0.0
path,6,1073,0.03
point,6,322,0.01
app,6,203,0.0
flip,5,100,0.01
widget,5,320,0.01
animate,5,16,0.0
library,5,1070,0.04
chart,5,5826,0.25
arc,5,34,0.0
and,5,215,0.01
screen,5,43,0.0
compat,5,59,0.0
back,5,75,0.0
click,5,40,0.0
controller,5,7,0.0
anim,5,147,0.01
rect,5,79,0.0
state,5,183,0.0
tab,5,196,0.01
shape,5,1387,0.06
spring,5,20,0.0
container,5,40,0.0
factory,5,132,0.0
loader,5,488,0.01
parser,5,3768,0.05
down,4,197,0.01
fade,4,169,0.02
rotate,4,179,0.02
drop,4,68,0.0
wave,4,48,0.0
action,4,55,0.0
config,4,48,0.0
fragments,4,80,0.0
ripple,4,32,0.0
round,4,36,0.0
style,4,328,0.01
indicator,4,18,0.0
transform,4,263,0.01
property,4,179,0.0
evaluator,4,110,0.0
wrapper,4,52,0.0
