keyword,doc_freq,total_freq,tfidf
data,26,37182,0.03
exception,25,24561,0.02
factory,24,24453,0.02
service,23,47226,0.05
config,21,59442,0.06
type,19,13176,0.01
configuration,19,17217,0.03
util,19,18349,0.01
client,18,42672,0.08
impl,18,36223,0.04
handler,17,20408,0.03
utils,17,20696,0.01
metrics,17,10837,0.04
metric,16,14075,0.08
filter,16,47342,0.07
model,15,27018,0.02
http,15,15571,0.03
agent,14,13126,0.06
event,13,39295,0.06
request,13,11860,0.02
manager,13,19288,0.03
server,13,17117,0.03
reporter,12,4125,0.03
controller,12,27062,0.05
plugin,11,23286,0.06
connection,11,12538,0.04
module,10,6836,0.02
provider,9,8658,0.01
jmx,9,15347,0.12
core,9,30701,0.06
string,9,4248,0.01
map,9,13658,0.02
parser,9,3968,0.01
web,9,23694,0.05
collector,9,13070,0.07
resource,9,12487,0.03
message,9,8122,0.02
view,9,15801,0.02
info,8,5947,0.01
base,8,5652,0.01
time,8,6741,0.02
servlet,8,15449,0.07
query,8,11078,0.03
json,8,4352,0.01
main,8,1441,0.0
error,8,3889,0.01
context,8,10132,0.02
loader,8,3742,0.01
api,8,8024,0.01
response,8,11328,0.02
application,8,4820,0.01
state,8,3572,0.01
meta,7,2170,0.01
adapter,7,4609,0.01
timer,7,3495,0.02
log,7,4672,0.01
stream,7,4857,0.01
input,7,4739,0.01
common,7,29396,0.06
listener,7,10766,0.01
socket,7,2005,0.01
list,7,12250,0.02
monitor,7,14969,0.08
thread,6,3853,0.01
method,6,7193,0.02
transport,6,1151,0.01
counter,6,520,0.0
gauge,6,529,0.01
rest,6,8248,0.03
executor,6,2338,0.01
processor,6,9174,0.02
stats,6,4447,0.02
task,6,5334,0.01
cache,6,13906,0.03
group,6,12389,0.03
network,6,2012,0.01
dto,6,5504,0.02
repository,6,7865,0.02
app,6,4288,0.01
file,6,4464,0.0
alarm,6,13961,0.12
trace,5,10672,0.07
statistics,5,8391,0.04
memory,5,2482,0.01
pool,5,1743,0.01
point,5,3692,0.01
prometheus,5,1020,0.01
elasticsearch,5,4217,0.04
protocol,5,4217,0.02
logging,5,2339,0.01
udp,5,2783,0.02
transformer,5,2076,0.01
code,5,953,0.0
exporter,5,3548,0.02
call,5,1571,0.01
bean,5,9651,0.04
command,5,8130,0.02
output,5,3247,0.01
simple,5,9383,0.02
cluster,5,7453,0.03
scope,5,4013,0.02
entity,5,2497,0.01
environment,5,681,0.0
value,5,7058,0.01
settings,5,4592,0.01
test,5,7371,0.01
status,5,8333,0.03
spring,5,5645,0.02
endpoint,5,2079,0.01
