keyword,doc_freq,total_freq,tfidf
model,13,13670,0.02
util,13,13098,0.01
utils,13,9453,0.01
data,11,21515,0.03
exception,10,5238,0.01
config,9,9806,0.02
factory,8,8434,0.01
test,8,3761,0.01
base,8,11339,0.02
random,8,4468,0.03
function,7,13049,0.05
input,7,3592,0.01
manager,7,2790,0.01
impl,7,55228,0.1
handler,7,2252,0.01
request,7,1822,0.01
api,7,58590,0.16
state,7,2088,0.01
output,6,4361,0.02
task,6,2296,0.01
service,6,2094,0.0
client,6,2352,0.01
controller,6,312,0.0
response,6,6482,0.02
node,6,1085,0.0
type,6,7222,0.01
server,6,4571,0.01
term,5,3062,0.03
result,5,4520,0.01
action,5,1459,0.0
configuration,5,4596,0.01
process,5,1000,0.01
image,5,3304,0.01
application,5,460,0.0
filter,5,3223,0.01
search,5,1381,0.01
tree,5,1666,0.01
main,5,394,0.0
text,5,2060,0.01
file,4,4708,0.01
set,4,12251,0.05
behavior,4,2494,0.03
http,4,2758,0.01
parser,4,2183,0.01
score,4,2145,0.02
processor,4,3234,0.01
classifier,4,176,0.0
example,4,406,0.0
classification,4,585,0.01
strategy,4,1646,0.01
worker,4,1805,0.01
path,4,2526,0.01
core,4,6696,0.02
common,4,2347,0.01
message,4,3334,0.01
graph,4,10394,0.07
models,4,3655,0.02
info,4,2491,0.01
activity,4,58,0.0
rule,3,2430,0.01
plugins,3,4609,0.04
resource,3,2868,0.01
build,3,707,0.01
component,3,1225,0.01
module,3,5115,0.02
binary,3,1440,0.01
connection,3,694,0.0
bootstrap,3,1551,0.02
user,3,1177,0.0
properties,3,1401,0.01
nlp,3,5454,0.09
gui,3,101,0.0
bar,3,423,0.0
tool,3,634,0.0
reader,3,6826,0.03
sentence,3,2551,0.03
iterator,3,16530,0.11
sequence,3,8325,0.06
transform,3,28544,0.2
visualization,3,989,0.01
error,3,983,0.0
view,3,264,0.0
entity,3,3944,0.02
list,3,1903,0.0
field,3,986,0.0
map,3,4089,0.01
found,3,431,0.0
string,3,4550,0.01
analysis,3,6641,0.05
agent,3,1529,0.01
pane,3,83,0.0
command,3,397,0.0
xml,3,3702,0.02
stream,3,3201,0.01
executor,3,307,0.0
parameter,3,2414,0.01
listener,3,5121,0.01
json,3,1525,0.0
storage,3,5210,0.03
sum,2,1018,0.01
importer,2,212,0.0
variable,2,953,0.01
shape,2,4593,0.04
average,2,99,0.0
block,2,405,0.0
constant,2,1550,0.01
expression,2,818,0.01
discrete,2,1504,0.03
internal,2,7032,0.03
testing,2,419,0.0
registry,2,250,0.0
provider,2,4345,0.01
script,2,301,0.0
java,2,793,0.0
cache,2,1898,0.01
source,2,1432,0.01
store,2,8057,0.04
mongo,2,1233,0.01
modules,2,898,0.01
memory,2,5239,0.03
document,2,1218,0.01
group,2,2090,0.01
pre,2,2443,0.02
mms,2,2304,0.04
training,2,2934,0.03
lang,2,70,0.0
multi,2,4691,0.03
menu,2,309,0.0
stats,2,5721,0.03
record,2,6381,0.04
prediction,2,249,0.0
vec,2,1687,0.02
vector,2,1260,0.01
local,2,2078,0.01
codec,2,343,0.0
csv,2,1356,0.01
spark,2,2923,0.03
basic,2,1528,0.01
position,2,593,0.01
finder,2,612,0.01
avoid,2,138,0.0
unit,2,468,0.0
point,2,718,0.0
buildings,2,60,0.0
construction,2,90,0.0
building,2,243,0.0
environment,2,793,0.01
neural,2,843,0.01
network,2,2683,0.01
regression,2,728,0.01
ann,2,1083,0.01
steer,2,2965,0.07
callback,2,1266,0.01
array,2,7031,0.03
collision,2,252,0.0
obstacle,2,136,0.0
and,2,1296,0.01
match,2,224,0.0
not,2,863,0.0
session,2,234,0.0
hash,2,348,0.0
buffer,2,5345,0.04
begin,2,10,0.0
auto,2,657,0.0
alpha,2,259,0.0
algorithm,2,2028,0.02
pattern,2,289,0.0
player,2,44,0.0
global,2,452,0.0
master,2,548,0.01
game,2,54,0.0
pair,2,2203,0.02
event,2,1073,0.0
log,2,1332,0.01
viewer,2,123,0.0
generic,2,504,0.0
property,2,2447,0.01
based,2,129,0.0
panel,2,415,0.0
check,2,820,0.01
resources,2,683,0.0
move,2,57,0.0
selector,2,357,0.0
walk,2,622,0.01
forward,2,1847,0.03
writer,2,2186,0.01
driver,2,851,0.01
mapper,2,1398,0.01
predicate,2,856,0.01
condition,2,4424,0.04
vertex,2,5224,0.07
apps,2,328,0.0
auth,2,608,0.0
body,2,251,0.0
method,2,805,0.0
name,2,619,0.0
encoding,2,779,0.01
instance,2,935,0.01
best,2,94,0.0
math,2,1745,0.01
