keyword,doc_freq,total_freq,tfidf
model,7,4871,0.03
impl,7,3666,0.03
exception,6,2101,0.01
data,6,4101,0.02
utils,6,2092,0.01
neural,5,1893,0.12
test,4,158,0.0
util,4,2681,0.01
simple,4,338,0.0
builder,4,2963,0.04
input,4,1065,0.02
basic,4,788,0.02
example,4,240,0.0
reader,4,701,0.01
image,4,77,0.0
main,4,739,0.01
network,4,772,0.02
connection,3,293,0.01
result,3,1552,0.02
set,3,687,0.01
regression,3,608,0.03
manager,3,377,0.0
error,3,610,0.01
info,3,900,0.01
rule,3,317,0.01
analysis,3,937,0.03
average,3,52,0.0
number,3,38,0.0
stochastic,3,40,0.0
random,3,602,0.02
worker,3,3210,0.1
processor,3,3310,0.05
sentence,3,546,0.03
file,3,1088,0.01
vector,3,230,0.01
visualization,3,11,0.0
classification,3,78,0.0
function,3,210,0.0
context,3,618,0.01
wrapper,2,655,0.01
base,2,157,0.0
factory,2,442,0.0
server,2,502,0.01
load,2,162,0.0
meta,2,694,0.02
callable,2,44,0.0
indicator,2,708,0.04
indicators,2,681,0.05
trackers,2,222,0.02
rules,2,108,0.0
trading,2,114,0.01
helpers,2,119,0.0
ichimoku,2,72,0.01
criterion,2,72,0.0
criteria,2,72,0.0
oscillators,2,63,0.01
candles,2,60,0.0
bollinger,2,54,0.0
volume,2,54,0.0
directional,2,48,0.0
price,2,48,0.0
statistics,2,129,0.0
movement,2,36,0.0
keltner,2,36,0.0
down,2,54,0.0
index,2,226,0.0
fixed,2,24,0.0
bands,2,18,0.0
ema,2,18,0.0
channel,2,128,0.0
value,2,405,0.01
and,2,259,0.01
stop,2,175,0.01
loss,2,258,0.01
upper,2,104,0.01
lower,2,18,0.0
span,2,85,0.0
trades,2,12,0.0
trade,2,12,0.0
gain,2,190,0.01
range,2,45,0.0
hold,2,12,0.0
chandelier,2,12,0.0
walk,2,12,0.0
senkou,2,12,0.0
fitness,2,8,0.0
standard,2,115,0.0
train,2,1568,0.08
layer,2,1050,0.04
score,2,948,0.04
update,2,1005,0.02
weight,2,580,0.04
line,2,526,0.01
prediction,2,23,0.0
classifier,2,28,0.0
api,2,175,0.0
vec,2,36,0.0
codec,2,110,0.0
application,2,13,0.0
cnn,2,12,0.0
view,2,47,0.0
predictor,2,57,0.0
thread,2,198,0.0
handler,2,246,0.0
config,2,1537,0.01
node,2,638,0.01
environment,2,96,0.0
neuron,2,29,0.0
genetic,2,18,0.0
output,2,478,0.01
