keyword,doc_freq,total_freq,tfidf
player,8,271,0.28
activity,8,105,0.04
audio,7,259,0.32
main,7,29,0.01
utils,6,110,0.01
service,6,48,0.01
media,6,58,0.06
playback,4,33,0.06
notification,4,70,0.07
helper,4,23,0.01
view,4,85,0.02
list,4,89,0.02
instrumented,4,27,0.02
example,4,27,0.01
test,4,62,0.01
module,3,37,0.02
action,3,30,0.01
manager,3,27,0.01
listener,3,50,0.01
music,3,80,0.16
album,2,11,0.02
art,2,11,0.03
cache,2,21,0.01
bitmap,2,11,0.02
playlist,2,218,0.5
adapter,2,100,0.04
play,2,88,0.13
fragment,2,60,0.04
response,2,24,0.01
record,2,38,0.03
item,2,25,0.01
recorder,2,28,0.05
application,2,47,0.02
app,2,13,0.0
activities,2,17,0.02
data,2,17,0.0
handler,2,19,0.01
builder,2,44,0.02
plugin,2,8,0.0
callback,2,22,0.02
itemmanipulation,1,85,0.28
bass,1,66,0.2
swipedismiss,1,49,0.16
animation,1,48,0.06
swinginadapters,1,49,0.16
adp,1,36,0.12
get,1,35,0.02
albums,1,28,0.07
make,1,32,0.06
task,1,32,0.01
artists,1,31,0.09
act,1,31,0.06
prepared,1,30,0.05
util,1,23,0.0
swipe,1,24,0.04
dismiss,1,24,0.06
domain,1,22,0.02
track,1,20,0.03
cls,1,20,0.07
contextualundo,1,18,0.06
contextual,1,18,0.05
touch,1,18,0.02
swing,1,18,0.03
undo,1,18,0.04
bas,1,12,0.04
sliding,1,16,0.03
tab,1,16,0.02
folders,1,16,0.05
tracks,1,14,0.03
artworks,1,16,0.05
animate,1,12,0.03
string,1,12,0.0
login,1,11,0.01
rcv,1,10,0.03
soft,1,10,0.02
dlg,1,10,0.03
choose,1,10,0.02
store,1,10,0.01
voice,1,6,0.01
visualizer,1,4,0.01
seekbar,1,4,0.01
file,1,14,0.0
theme,1,60,0.12
audiovisualization,1,48,0.18
themed,1,28,0.08
recordingservice,1,32,0.12
presenter,1,24,0.03
mvpbase,1,20,0.08
audiorecording,1,18,0.07
setting,1,16,0.02
visualization,1,16,0.02
base,1,22,0.01
settings,1,12,0.01
constants,1,20,0.01
libs,1,12,0.03
scopes,1,10,0.02
scope,1,10,0.01
qualifiers,1,10,0.03
imvp,1,8,0.03
mvp,1,8,0.02
dbm,1,8,0.02
component,1,8,0.0
recording,1,8,0.02
impl,1,8,0.0
wave,1,8,0.01
renderer,1,8,0.01
context,1,8,0.0
modules,1,6,0.01
components,1,6,0.01
finder,1,8,0.01
config,1,4,0.0
sensei,1,8,0.03
info,1,6,0.0
pausable,1,3,0.01
permission,1,3,0.0
click,1,3,0.0
not,1,3,0.0
provided,1,3,0.01
chronometer,1,3,0.01
target,1,3,0.0
holder,1,3,0.0
exception,1,3,0.0
observer,1,2,0.0
persistent,1,4,0.01
binder,1,4,0.01
queuing,1,4,0.02
event,1,4,0.0
sink,1,4,0.01
video,1,4,0.0
actions,1,16,0.01
mode,1,20,0.02
image,1,10,0.0
from,1,10,0.01
load,1,16,0.01
object,1,10,0.0
url,1,12,0.01
foreground,1,10,0.03
async,1,10,0.01
background,1,10,0.01
name,1,15,0.01
state,1,9,0.0
custom,1,8,0.0
exo,1,2,0.01
hxgse,1,127,0.38
sound,1,80,0.13
engine,1,45,0.03
preferences,1,35,0.04
resources,1,33,0.03
model,1,31,0.01
demo,1,22,0.02
physical,1,12,0.03
song,1,14,0.04
dolby,1,8,0.02
effects,1,8,0.02
log,1,6,0.0
