keyword,doc_freq,total_freq,tfidf
utils,14,5927,0.03
test,13,2254,0.02
config,12,3109,0.03
service,11,1382,0.01
exception,10,1686,0.01
application,10,502,0.01
helper,9,1367,0.02
model,9,3020,0.02
data,9,1787,0.01
file,9,1916,0.02
base,8,1004,0.01
factory,8,900,0.01
app,8,438,0.01
client,7,2120,0.04
api,7,1867,0.03
manager,7,1558,0.02
provider,6,658,0.01
main,6,315,0.0
util,6,490,0.0
command,6,1513,0.03
action,6,2206,0.04
result,6,989,0.02
type,6,1465,0.01
activity,6,354,0.01
runner,5,1081,0.04
report,5,1176,0.05
builder,5,788,0.01
json,5,1222,0.02
impl,5,1081,0.01
message,5,1182,0.03
log,5,588,0.01
processor,5,693,0.01
listener,5,1020,0.01
page,5,569,0.02
task,5,1900,0.03
request,5,969,0.02
configuration,5,497,0.01
handler,5,2887,0.04
server,5,776,0.01
check,5,274,0.01
core,4,6542,0.12
module,4,641,0.01
driver,4,1532,0.08
element,4,1110,0.04
constants,4,275,0.01
user,4,252,0.0
support,4,294,0.01
run,4,308,0.01
xml,4,489,0.01
key,4,671,0.02
status,4,287,0.01
not,4,728,0.02
plugin,4,282,0.01
text,4,472,0.01
contact,4,68,0.0
view,4,278,0.0
script,4,353,0.01
engine,3,2316,0.07
field,3,1210,0.04
executor,3,703,0.02
http,3,974,0.02
scenario,3,473,0.03
array,3,318,0.01
local,3,301,0.01
browser,3,758,0.06
loader,3,253,0.01
search,3,255,0.01
proxy,3,428,0.01
properties,3,314,0.01
logger,3,275,0.01
table,3,604,0.02
retry,3,319,0.02
random,3,189,0.01
reader,3,172,0.0
non,3,64,0.0
console,3,430,0.02
web,3,1693,0.04
event,3,556,0.01
response,3,1231,0.02
auth,3,242,0.01
filter,3,2157,0.03
version,3,186,0.01
appium,3,2925,0.39
device,3,1648,0.07
image,3,524,0.01
ios,3,494,0.04
android,3,575,0.02
get,3,1224,0.04
remote,3,629,0.03
generator,3,627,0.02
set,3,405,0.01
keyboard,3,195,0.01
sql,3,413,0.01
results,3,141,0.01
parameter,3,95,0.0
date,3,551,0.02
database,3,91,0.0
resource,3,388,0.01
actions,3,436,0.02
messages,3,84,0.0
dialog,3,237,0.01
system,3,246,0.01
domain,2,1746,0.05
reports,2,766,0.07
value,2,625,0.01
step,2,874,0.04
httpclient,2,307,0.03
csv,2,666,0.03
consumer,2,211,0.01
steps,2,269,0.02
common,2,1479,0.03
dto,2,622,0.03
execution,2,988,0.04
annotations,2,214,0.01
create,2,181,0.01
decorator,2,156,0.01
html,2,429,0.02
firefox,2,110,0.02
power,2,129,0.01
yaml,2,65,0.0
network,2,54,0.0
start,2,153,0.01
example,2,23,0.0
internal,2,808,0.02
socket,2,361,0.01
strategy,2,327,0.01
error,2,1450,0.03
callback,2,49,0.0
finder,2,58,0.0
source,2,736,0.02
counter,2,22,0.0
timeout,2,59,0.0
elements,2,53,0.0
find,2,106,0.01
selector,2,27,0.0
path,2,411,0.01
apps,2,78,0.01
singleton,2,122,0.01
views,2,49,0.0
group,2,406,0.01
pattern,2,110,0.0
screen,2,455,0.02
capability,2,158,0.02
parser,2,760,0.01
devices,2,59,0.01
record,2,474,0.02
count,2,145,0.01
description,2,148,0.01
desired,2,84,0.01
available,2,73,0.01
tasks,2,367,0.02
mouse,2,363,0.03
add,2,256,0.01
library,2,527,0.03
servlet,2,475,0.02
login,2,231,0.01
helpers,2,161,0.01
out,2,54,0.0
validator,2,658,0.02
verify,2,211,0.02
scanner,2,31,0.0
mock,2,175,0.01
string,2,268,0.0
method,2,217,0.01
send,2,140,0.01
scope,2,11,0.0
repository,2,26,0.0
scheduler,2,113,0.01
adapter,2,54,0.0
profile,2,84,0.0
activities,2,87,0.0
github,2,15,0.0
language,2,64,0.0
switcher,2,13,0.0
settings,2,274,0.01
state,2,193,0.0
label,2,110,0.01
java,2,300,0.01
chrome,2,316,0.03
name,2,133,0.0
services,2,115,0.0
job,2,268,0.01
stream,2,424,0.01
unit,2,288,0.01
issue,2,104,0.01
info,2,215,0.0
providers,2,168,0.01
upload,2,405,0.02
argument,2,63,0.0
capabilities,2,48,0.0
update,2,199,0.01
entry,2,151,0.0
zero,1,1275,0.12
code,1,1456,0.04
kafka,1,1103,0.06
assertion,1,816,0.07
asserter,1,657,0.1
builders,1,347,0.03
chart,1,440,0.02
has,1,307,0.03
preprocessor,1,304,0.03
zzignored,1,296,0.04
ssl,1,269,0.02
converter,1,325,0.01
logbuilder,1,193,0.03
smart,1,191,0.02
number,1,362,0.02
env,1,237,0.02
trick,1,172,0.03
assertions,1,93,0.01
reporting,1,947,0.09
drivers,1,575,0.06
jira,1,793,0.09
capture,1,628,0.04
listeners,1,434,0.02
htmlelements,1,405,0.07
allure,1,223,0.03
cycle,1,238,0.02
spira,1,205,0.03
tests,1,152,0.01
lifecycle,1,185,0.01
pages,1,152,0.01
sauce,1,168,0.03
screenshot,1,285,0.03
zapi,1,150,0.02
endpoint,1,139,0.01
video,1,204,0.01
stack,1,166,0.01
remotes,1,112,0.02
visible,1,104,0.01
attachment,1,96,0.01
examples,1,153,0.01
planetlab,1,54,0.01
cloud,1,125,0.01
mmt,1,20,0.0
sim,1,45,0.0
lrr,1,16,0.0
mad,1,16,0.0
thr,1,16,0.0
