keyword,doc_freq,total_freq,tfidf
activity,3,133,0.0
main,3,23,0.0
backup,3,2393,0.06
util,3,7443,0.01
notes,2,93,0.0
helper,2,68,0.0
note,2,26,0.0
adapter,2,226,0.0
about,2,19,0.0
settings,2,18,0.0
service,2,14152,0.04
provider,2,300,0.0
search,2,15,0.0
utils,2,177,0.0
listener,2,1039,0.0
log,2,638,0.0
save,2,20,0.0
app,2,20,0.0
impl,2,5692,0.02
web,2,3045,0.02
tree,2,1747,0.01
info,2,1327,0.0
file,2,1931,0.0
access,2,947,0.01
config,2,799,0.0
local,2,197,0.0
password,2,267,0.0
crypto,2,553,0.01
methods,2,97,0.0
activities,1,43,0.0
widget,1,20,0.0
adapters,1,17,0.0
checklist,1,9,0.0
intro,1,8,0.0
receiver,1,8,0.0
view,1,94,0.0
recycler,1,6,0.0
cursor,1,6,0.0
network,1,94,0.0
alarm,1,4,0.0
boot,1,47,0.0
views,1,2,0.0
event,1,1,0.0
item,1,1,0.0
script,1,519,0.01
user,1,395,0.0
base,1,137,0.0
delete,1,26,0.0
scripts,1,13,0.0
logs,1,13,0.0
dynamo,1,13,0.0
index,1,13,0.0
link,1,55,0.0
routine,1,13,0.0
flush,1,13,0.0
page,1,291,0.0
pay,1,13,0.0
tcontrol,1,27903,0.94
schedule,1,7665,0.15
monitoring,1,6691,0.15
cmmn,1,5658,0.19
server,1,3316,0.01
controller,1,2841,0.01
lang,1,2624,0.04
transfer,1,2175,0.04
sample,1,2151,0.02
dao,1,2036,0.02
socket,1,1989,0.02
admin,1,1968,0.03
serviceproxy,1,1851,0.06
client,1,1788,0.01
proxy,1,1485,0.01
history,1,1300,0.01
manager,1,1263,0.0
functions,1,1233,0.01
pack,1,1204,0.03
repository,1,1160,0.01
common,1,1095,0.01
code,1,1051,0.01
setting,1,968,0.01
call,1,881,0.01
value,1,823,0.0
agent,1,808,0.01
encrypt,1,784,0.02
restore,1,780,0.02
audit,1,765,0.02
rest,1,665,0.01
login,1,649,0.01
key,1,675,0.0
authority,1,608,0.01
scale,1,586,0.01
type,1,546,0.0
system,1,540,0.0
map,1,516,0.0
mypage,1,507,0.02
add,1,8,0.0
exam,1,8,0.0
student,1,8,0.0
data,1,272,0.0
example,1,4,0.0
instrumented,1,4,0.0
test,1,449,0.0
permissions,1,1,0.0
remote,1,1,0.0
database,1,250,0.0
fragment,1,21,0.0
dialog,1,14,0.0
async,1,14,0.0
toast,1,7,0.0
prng,1,7,0.0
fixes,1,7,0.0
edit,1,7,0.0
cryptox,1,7,0.0
results,1,7,0.0
custom,1,130,0.0
delegate,1,7,0.0
insert,1,7,0.0
string,1,265,0.0
select,1,7,0.0
explain,1,7,0.0
permission,1,105,0.0
load,1,7,0.0
read,1,59,0.0
choose,1,7,0.0
encfs,1,2091,0.07
enc,1,1363,0.04
jfs,1,870,0.03
producer,1,757,0.01
model,1,981,0.0
factory,1,564,0.0
filename,1,539,0.02
strategy,1,490,0.0
stream,1,438,0.0
dav,1,396,0.01
encrypted,1,392,0.01
storage,1,526,0.0
exception,1,452,0.0
encryption,1,294,0.01
decryption,1,245,0.01
block,1,147,0.0
volume,1,179,0.0
meta,1,147,0.0
encoder,1,147,0.0
decoder,1,147,0.0
handler,1,203,0.0
input,1,108,0.0
window,1,98,0.0
basic,1,98,0.0
,1,141,
invalid,1,98,0.0
output,1,98,0.0
bit,1,141,0.0
http,1,128,0.0
response,1,60,0.0
simple,1,59,0.0
windows,1,49,0.0
jfsvfs,1,51,0.0
out,1,50,0.0
sardine,1,50,0.0
pattern,1,49,0.0
